이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
켈리,21, P,5.63,30,30,0,0,0,0,13,8,0,0,177.0,62,64,63.15,744,160,25,0,12,60,11,3,142,7,1,7,3.15,3.25,3.21,3.38,3.76,1.24
켈리,20, P,5.57,28,28,0,1,1,1,15,7,0,0,173.1,64,67,67.00,705,160,29,1,16,40,11,0,134,5,0,4,3.32,3.48,3.48,3.73,4.07,1.15
켈리,22, P,5.26,27,27,0,0,0,0,16,4,0,0,166.1,47,50,50.00,664,144,10,4,10,35,2,0,153,5,0,3,2.54,2.71,2.71,2.93,2.89,1.08
플럿코,22, P,5.26,28,28,0,0,0,0,15,5,0,0,162.0,43,53,50.60,644,125,18,2,13,38,2,2,149,10,0,5,2.39,2.94,2.81,2.95,3.19,1.01
플럿코,23, P,4.58,21,21,0,0,0,0,11,3,0,0,123.1,33,37,37.00,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.70,2.70,2.74,3.14,1.18
수아레즈,21, P,4.52,23,22,1,0,0,0,10,2,0,0,115.1,28,33,33.00,473,91,16,2,4,41,4,0,126,6,0,2,2.18,2.58,2.58,2.75,2.66,1.14
켈리,19, P,4.03,29,29,0,0,0,0,14,12,0,0,180.1,51,70,70.00,747,164,33,3,7,41,16,0,126,8,0,12,2.55,3.49,3.49,3.82,3.50,1.14
윌슨,19, P,3.70,30,30,0,1,1,0,14,7,0,0,185.0,60,77,74.25,763,171,27,2,7,44,10,1,137,14,0,6,2.92,3.75,3.61,3.93,3.23,1.16
켈리,23, P,3.41,30,30,0,0,0,0,10,7,0,0,178.2,76,87,81.90,746,183,31,3,10,39,6,1,129,7,0,6,3.83,4.38,4.13,4.27,3.49,1.24
임찬규,23, P,3.40,30,26,4,1,0,0,14,3,0,1,144.2,55,63,59.75,632,142,22,2,10,54,5,1,103,10,1,1,3.42,3.92,3.72,3.91,4.16,1.35
고우석,19, P,3.34,65,0,65,54,0,0,8,2,35,1,71.0,12,13,14.60,288,47,7,1,4,30,4,4,76,2,0,2,1.52,1.65,1.85,1.89,3.16,1.08
정찬헌,20, P,3.07,19,19,0,1,1,1,7,4,0,0,110.1,43,51,48.05,470,116,22,1,10,31,4,0,85,4,0,5,3.51,4.16,3.92,4.00,4.13,1.33
임찬규,20, P,2.83,27,26,1,0,0,0,10,9,0,0,147.2,67,76,73.95,641,143,29,2,14,65,5,0,138,5,0,4,4.08,4.63,4.51,4.83,4.26,1.41
