이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
홍창기,23, RF,7.91,6.88,1.03,141,643,638,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.069,161.8
오지환,19, SS,7.73,3.72,4.01,134,547,539,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.013,114.9
오지환,20, SS,7.41,3.87,3.54,141,591,585,527,95,158,41,7,10,243,71,20,8,45,9,1,116,4,5,5,0.300,0.362,0.461,0.823,0.018,116.1
오지환,22, SS,6.99,4.87,2.12,142,569,565,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.470,0.827,0.038,135.2
홍창기,21, CF,6.75,7.31,-0.56,144,651,647,524,103,172,26,2,4,214,52,23,8,109,16,4,95,6,0,2,0.328,0.456,0.408,0.864,0.062,153.6
박해민,22, CF,6.52,3.46,3.06,144,636,629,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.003,105.5
오스틴,23, 1B,5.74,6.68,-0.94,139,583,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.066,160.2
오지환,23, SS,5.14,3.42,1.72,126,502,498,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.371,0.396,0.767,0.021,121.4
홍창기,20, RF,5.10,4.08,1.03,135,507,503,408,87,114,29,6,5,170,39,11,5,83,10,1,87,8,3,3,0.279,0.411,0.417,0.828,0.037,130.6
김현수,20, LF,4.97,6.29,-1.31,142,619,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,0.331,0.397,0.523,0.920,0.063,150.4
문보경,22, 3B,4.93,4.39,0.54,126,466,460,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.044,140.5
김현수,22, LF,4.81,5.61,-0.80,141,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.046,142.0
라모스,20, 1B,4.81,5.62,-0.81,117,494,493,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,0.278,0.362,0.592,0.954,0.076,160.2
박해민,23, CF,4.80,2.59,2.21,144,558,534,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,-0.002,102.4
문성주,23, LF,4.76,4.12,0.64,136,534,528,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,0.031,130.1
오지환,21, SS,4.45,1.74,2.71,134,532,528,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5,0.254,0.335,0.356,0.691,-0.014,91.9
문보경,23, 3B,4.45,4.64,-0.20,131,542,533,469,77,141,29,5,10,210,72,9,8,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.042,139.1
이형종,19, LF,4.11,3.38,0.73,120,482,480,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,0.286,0.358,0.442,0.800,0.021,121.6
홍창기,22, RF,4.00,3.77,0.24,118,525,520,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.390,0.355,0.745,0.022,122.0
김현수,21, LF,3.91,4.79,-0.88,140,595,592,506,70,144,23,1,17,220,96,3,0,77,3,5,42,7,0,9,0.285,0.376,0.435,0.811,0.035,131.4
유강남,19, C,3.68,2.91,0.77,132,468,466,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,0.270,0.334,0.438,0.772,0.018,118.7
채은성,19, RF,3.68,4.09,-0.42,128,514,514,470,59,148,18,1,12,204,72,2,2,24,12,1,67,9,0,8,0.315,0.358,0.434,0.792,0.030,129.3
문성주,22, DH,3.62,3.43,0.19,106,390,380,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.044,139.8
김현수,19, LF,3.10,4.36,-1.25,140,595,589,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,0.304,0.370,0.437,0.807,0.023,123.4
유강남,22, C,3.07,2.01,1.06,139,469,463,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,-0.004,99.4
홍창기,24, RF,3.06,3.08,-0.02,62,284,283,220,49,73,4,3,3,92,33,7,5,55,6,2,40,5,1,2,0.332,0.473,0.418,0.891,0.069,150.0
이형종,20, LF,2.98,3.09,-0.11,81,323,322,287,41,85,17,2,17,157,50,1,0,27,7,1,61,7,0,2,0.296,0.368,0.547,0.915,0.050,140.8
박동원,23, C,2.92,3.13,-0.21,130,481,471,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.020,121.0
박동원,24, C,2.77,2.08,0.69,55,209,207,175,26,48,10,0,10,88,36,1,0,30,0,1,42,7,1,3,0.274,0.375,0.503,0.878,0.059,142.1
채은성,21, RF,2.71,3.61,-0.90,110,448,446,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7,0.276,0.359,0.452,0.811,0.033,129.9
김민성,21, 3B,2.71,1.37,1.34,121,426,415,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,0.222,0.313,0.350,0.663,-0.013,92.8
문성주,24, LF,2.44,2.10,0.34,65,254,253,210,34,70,13,2,0,87,38,11,7,38,2,0,26,2,1,3,0.333,0.435,0.414,0.849,0.044,131.6
유강남,21, C,2.43,1.92,0.51,130,441,437,397,39,100,16,0,11,149,60,2,0,25,14,1,75,11,3,2,0.252,0.317,0.375,0.692,-0.003,101.3
오스틴,24, 1B,2.20,3.00,-0.80,64,278,276,232,40,71,13,1,13,125,52,8,2,34,3,3,43,3,0,9,0.306,0.388,0.539,0.927,0.073,153.4
김현수,23, DH,2.19,3.33,-1.14,133,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.014,115.6
채은성,22, 1B,2.06,3.35,-1.29,126,526,524,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.791,0.020,120.4
채은성,20, RF,1.99,2.83,-0.84,109,464,464,416,59,122,17,2,15,188,88,0,3,32,9,1,69,12,0,7,0.293,0.351,0.452,0.803,0.016,115.2
김민성,23, 2B,1.92,1.03,0.89,112,316,307,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,-0.016,91.2
김민성,19, 3B,1.84,1.87,-0.03,107,401,396,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.260,0.323,0.371,0.694,-0.004,100.7
조셉,19, 1B,1.79,1.45,0.35,55,217,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,0.274,0.332,0.426,0.758,0.019,120.2
문보경,21, 2B,1.78,1.46,0.31,107,329,326,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,0.230,0.337,0.363,0.700,-0.004,100.6
이재원,22, DH,1.62,2.06,-0.44,85,253,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.031,129.9
이천웅,19, CF,1.61,3.68,-2.06,138,613,608,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,0.308,0.378,0.374,0.752,0.011,113.0
구본혁,24, SS,1.56,0.50,1.07,57,162,161,141,24,40,7,0,2,53,27,2,2,16,1,0,14,3,1,3,0.284,0.354,0.376,0.730,-0.008,92.0
신민재,23, 2B,1.43,0.97,0.46,122,331,314,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,-0.018,89.1
페게로,19, 1B,1.41,1.98,-0.57,52,214,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,0.286,0.332,0.472,0.804,0.040,137.8
유강남,20, C,1.37,1.95,-0.58,137,478,475,429,51,112,18,0,16,178,74,1,1,32,13,1,84,18,2,2,0.261,0.330,0.415,0.745,-0.006,98.6
오지환,24, SS,1.36,0.85,0.51,54,198,197,168,31,40,16,1,2,64,16,11,3,27,2,0,58,2,1,0,0.238,0.350,0.381,0.731,0.002,99.7
정주현,19, 2B,1.18,0.22,0.96,129,425,409,376,53,87,19,2,2,116,27,15,6,31,1,0,91,10,16,1,0.231,0.291,0.309,0.600,-0.044,67.4
김현수,24, DH,1.05,1.76,-0.71,63,273,273,246,35,77,15,2,6,114,39,2,1,23,1,1,33,6,0,3,0.313,0.370,0.463,0.833,0.025,116.9
서건창,21, 2B,0.99,0.37,0.62,68,267,263,235,33,58,12,1,2,78,24,6,0,24,3,0,34,5,4,1,0.247,0.323,0.332,0.655,-0.039,71.8
박해민,24, CF,0.98,0.63,0.36,65,261,258,227,35,64,6,4,1,81,28,25,5,20,4,0,44,2,3,7,0.282,0.341,0.357,0.698,-0.030,75.4
라모스,21, 1B,0.82,1.10,-0.28,51,205,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.006,108.1
신민재,24, 2B,0.79,0.70,0.09,63,211,205,173,34,43,5,1,0,50,20,20,5,30,1,0,23,4,6,1,0.249,0.361,0.289,0.650,-0.024,80.0
이재원,21, RF,0.75,0.41,0.34,62,171,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,-0.022,85.2
김용의,19, 1B,0.72,0.24,0.49,114,210,205,179,35,39,5,3,0,50,17,8,3,24,2,1,38,1,4,1,0.218,0.316,0.279,0.595,-0.044,67.4
박용택,20, DH,0.67,0.93,-0.25,97,236,235,217,22,65,15,0,2,86,35,2,0,15,0,1,34,7,0,4,0.300,0.339,0.396,0.735,-0.009,96.1
김용의,21, 1B,0.67,0.18,0.49,102,41,37,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1,0.148,0.351,0.222,0.573,-0.040,73.6
박용택,19, DH,0.66,0.89,-0.24,64,215,215,195,19,55,9,0,1,67,22,3,1,18,0,1,30,3,0,2,0.282,0.340,0.344,0.684,-0.012,93.9
정주현,21, 2B,0.65,0.44,0.20,73,214,205,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0,0.238,0.327,0.337,0.664,-0.024,84.9
이형종,21, RF,0.62,1.50,-0.88,90,281,280,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.003,106.0
정주현,20, 2B,0.60,0.44,0.16,134,371,362,328,50,81,10,4,4,111,30,8,7,29,3,0,63,6,9,2,0.247,0.312,0.338,0.650,-0.033,78.2
김호은,20, 1B,0.60,0.38,0.21,69,112,112,103,12,25,5,0,2,36,11,0,0,7,2,0,14,2,0,0,0.243,0.304,0.350,0.654,-0.013,92.7
김민성,20, 3B,0.54,1.01,-0.47,87,333,328,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,0.266,0.325,0.384,0.709,-0.018,89.5
송찬의,22, 2B,0.52,0.27,0.25,33,78,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,0.236,0.282,0.417,0.699,-0.009,95.6
김용의,20, 1B,0.47,0.16,0.31,101,75,74,70,28,19,1,1,1,25,12,7,3,3,0,0,15,2,1,1,0.271,0.297,0.357,0.654,-0.048,66.4
김범석,24, DH,0.39,0.49,-0.10,34,109,108,98,11,28,2,0,5,45,19,0,0,10,1,2,29,1,0,0,0.286,0.358,0.459,0.817,0.008,103.7
신민재,20, 2B,0.38,0.30,0.08,68,32,30,26,26,8,1,0,0,9,5,8,2,4,0,0,4,1,2,0,0.308,0.400,0.346,0.746,0.052,140.7
문성주,21, CF,0.36,0.02,0.34,31,89,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.581,-0.045,66.7
이형종,22, DH,0.34,0.11,0.22,26,63,62,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,0.264,0.323,0.321,0.644,-0.036,72.3
손호영,22, 2B,0.34,0.72,-0.38,36,82,81,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,0.257,0.309,0.432,0.741,0.056,150.3
양석환,20, 1B,0.33,0.43,-0.10,40,132,130,118,8,29,5,0,3,43,13,0,0,10,2,0,25,1,2,0,0.246,0.315,0.364,0.679,-0.016,90.4
가르시아,22, 2B,0.29,0.46,-0.17,39,156,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0,0.206,0.308,0.353,0.661,-0.021,85.1
이성우,19, C,0.26,-0.41,0.67,55,74,71,64,2,10,3,0,0,13,6,0,0,4,3,0,11,2,3,0,0.156,0.239,0.203,0.442,-0.085,34.8
이영빈,21, SS,0.26,0.25,0.01,72,169,167,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1,0.243,0.323,0.345,0.668,-0.031,78.8
장준원,20, SS,0.25,0.07,0.18,46,68,67,60,10,13,3,0,1,19,6,0,0,6,0,0,7,2,1,1,0.217,0.284,0.317,0.601,-0.037,74.7
김현종,24, CF,0.21,0.13,0.07,15,13,13,12,8,3,1,0,0,4,2,0,0,0,1,0,3,0,0,0,0.250,0.308,0.333,0.641,0.030,121.1
신민재,19, 2B,0.17,0.10,0.07,81,94,93,81,25,19,3,0,0,22,5,10,8,8,3,0,17,0,1,1,0.235,0.323,0.272,0.595,-0.037,72.9
이재원,23, LF,0.15,0.31,-0.16,57,129,128,112,15,24,5,0,4,41,18,4,2,12,2,2,40,1,0,3,0.214,0.295,0.366,0.661,-0.029,79.9
이영빈,22, 2B,0.13,-0.06,0.19,60,83,83,76,16,14,3,0,1,20,5,0,0,7,0,0,25,3,0,0,0.184,0.253,0.263,0.516,-0.065,47.3
안익훈,23, RF,0.12,0.13,-0.01,11,23,23,22,1,7,1,0,0,8,2,0,0,0,1,0,2,0,0,0,0.318,0.348,0.364,0.712,0.018,119.2
홍창기,19, RF,0.11,0.06,0.05,23,26,26,24,3,6,2,0,0,8,0,3,0,1,1,0,12,1,0,0,0.250,0.308,0.333,0.641,-0.042,68.4
안익훈,24, RF,0.10,0.01,0.09,4,7,7,6,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.333,0.286,0.500,0.786,-0.026,78.0
한석현,21, LF,0.09,0.22,-0.13,16,26,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1,0.286,0.385,0.476,0.861,0.042,137.4
이천웅,20, CF,0.08,0.68,-0.60,89,359,357,312,44,80,11,2,3,104,36,8,5,35,4,0,44,7,2,6,0.256,0.333,0.333,0.666,-0.031,79.0
이주형,21, 2B,0.07,-0.08,0.15,14,19,18,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,0.125,0.222,0.125,0.347,-0.104,23.5
최원영,24, LF,0.06,-0.02,0.08,21,10,10,9,3,3,0,0,0,3,2,4,3,0,1,0,1,0,0,0,0.333,0.400,0.333,0.733,0.001,98.5
백승현,20, 3B,0.06,0.08,-0.02,27,39,33,28,5,7,1,0,0,8,2,0,0,4,1,0,8,0,6,0,0.250,0.364,0.286,0.650,-0.013,94.0
서상우,19, LF,0.04,0.14,-0.11,13,24,24,21,2,5,1,0,0,6,1,0,0,3,0,0,8,1,0,0,0.238,0.333,0.286,0.619,-0.035,74.1
김재성,19, C,0.01,0.00,0.01,3,7,7,5,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0.200,0.429,0.200,0.629,-0.003,101.3
최승민,24, LF,-0.01,-0.19,0.18,29,6,6,6,9,1,0,0,0,1,0,8,6,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,-0.178,-36.8
이상호,21, 2B,-0.03,0.04,-0.08,45,68,66,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,0.308,0.318,0.338,0.656,-0.039,72.5
김기연,22, C,-0.04,-0.08,0.04,12,9,9,9,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.222,0.222,0.222,0.444,-0.123,-2.2
박지규,19, 2B,-0.04,0.09,-0.13,10,18,17,11,2,1,0,0,0,1,1,0,0,4,2,0,7,0,1,0,0.091,0.412,0.091,0.503,-0.019,88.2
이주형,23, CF,-0.05,0.07,-0.12,18,16,16,15,2,4,2,0,0,6,2,0,0,0,1,0,5,0,0,0,0.267,0.313,0.400,0.713,-0.001,103.4
서건창,22, 2B,-0.05,0.43,-0.49,77,247,244,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,-0.032,76.2
이천웅,22, LF,-0.06,-0.05,0.00,19,23,23,20,3,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0.200,0.304,0.200,0.504,-0.074,39.2
전민수,20, RF,-0.07,-0.01,-0.06,4,6,6,5,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.200,0.333,0.200,0.533,-0.068,51.1
구본혁,21, 3B,-0.08,-0.33,0.25,123,45,44,38,10,5,2,0,0,7,3,0,0,3,1,0,7,0,1,2,0.132,0.205,0.184,0.389,-0.118,9.3
신민재,21, CF,-0.08,-0.12,0.04,32,27,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0,0.130,0.259,0.130,0.389,-0.129,-1.3
최재원,20, 2B,-0.08,-0.12,0.03,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.000,0.000,0.000,0.000,-0.335,-152.3
김주성,23, SS,-0.09,0.05,-0.14,11,7,7,5,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.200,0.429,0.200,0.629,0.005,108.2
한석현,22, RF,-0.10,-0.14,0.04,6,10,9,9,1,2,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0.222,0.222,0.222,0.444,-0.118,12.0
최승민,23, CF,-0.12,-0.11,-0.01,38,15,15,14,10,1,0,0,0,1,1,8,3,1,0,0,4,1,0,0,0.071,0.133,0.071,0.204,-0.152,-25.2
이상호,22, 2B,-0.13,-0.02,-0.11,60,80,77,72,9,18,2,0,0,20,5,1,2,4,1,0,6,1,3,0,0.250,0.299,0.278,0.577,-0.049,62.6
김재율,19, 3B,-0.15,-0.15,0.01,4,9,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,-0.210,-75.0
김주성,21, 2B,-0.16,0.15,-0.31,3,7,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0,0.167,0.286,0.667,0.953,0.151,226.3
이성우,20, C,-0.17,-0.02,-0.16,72,88,83,77,7,18,1,0,3,28,11,0,0,6,0,0,14,3,5,0,0.234,0.289,0.364,0.653,-0.041,73.2
구본혁,19, 3B,-0.19,-0.31,0.12,57,95,94,85,10,15,1,0,1,19,6,2,1,6,2,0,17,0,1,1,0.176,0.245,0.224,0.469,-0.088,29.6
손호영,20, 2B,-0.19,0.24,-0.43,23,31,31,30,9,11,2,0,0,13,3,5,0,1,0,0,6,2,0,0,0.367,0.387,0.433,0.820,0.010,110.7
김호은,21, 1B,-0.20,-0.25,0.05,7,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000,0.000,0.000,0.000,-0.319,-155.6
이성우,21, C,-0.21,-0.26,0.05,36,39,34,33,0,7,0,0,0,7,2,0,0,1,0,0,8,1,5,0,0.212,0.235,0.212,0.447,-0.129,11.3
허도환,22, C,-0.21,0.01,-0.22,64,92,89,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0,0.247,0.281,0.341,0.622,-0.044,66.1
루이즈,22, 3B,-0.22,-0.12,-0.11,27,94,94,84,10,13,4,1,1,22,6,1,0,9,0,0,13,5,0,1,0.155,0.234,0.262,0.496,-0.067,45.9
손호영,21, 3B,-0.22,-0.09,-0.14,8,12,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.100,0.250,0.100,0.350,-0.127,0.6
류형우,19, 1B,-0.23,0.04,-0.27,10,12,12,11,2,2,0,0,0,2,1,0,0,1,0,0,3,1,0,0,0.182,0.250,0.182,0.432,-0.058,54.2
구본혁,20, 3B,-0.25,-0.40,0.15,125,98,95,86,20,14,0,1,1,19,7,0,0,7,2,0,18,2,3,0,0.163,0.242,0.221,0.463,-0.100,28.6
박재욱,20, C,-0.28,-0.08,-0.19,15,17,16,15,0,4,0,0,0,4,1,0,0,0,1,0,4,2,1,0,0.267,0.313,0.267,0.580,-0.078,46.8
