이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
송찬의,22, RF,0.102,6,4,34.0,10,10,0,0,100.0,2.65,1.28,-0.17,0.06,,,,,,1.17,5.11,-0.13,1.04,0.114
장준원,20, SS,0.095,9,0,16.0,7,1,6,0,100.0,3.94,0.97,,0.02,,,,,,0.99,3.11,0.08,1.07,0.088
김민수,24, 3B,0.092,2,0,5.0,5,1,4,0,100.0,9.00,0.97,,0.02,,-0.02,,,,0.97,27.90,0.00,0.97,0.092
이형종,22, RF,0.091,5,2,22.2,8,7,1,0,100.0,3.18,1.40,-0.41,0.04,,,,,,1.02,5.67,-0.09,0.93,0.100
이재원,21, LF,0.089,20,18,140.0,32,30,2,0,100.0,2.06,1.26,0.16,0.13,,,,,,1.55,3.60,-0.62,0.93,0.148
이상호,22, 2B,0.088,32,8,123.0,72,27,43,2,97.2,5.12,0.58,,-0.34,0.22,,,,,0.46,1.11,0.44,0.90,0.045
이형종,20, CF,0.085,2,2,17.0,6,6,0,0,100.0,3.18,0.61,0.33,0.02,,,,,,0.96,1.71,0.00,0.96,0.085
이형종,22, 1B,0.083,3,1,12.0,11,11,0,0,100.0,8.25,0.92,,0.01,,,,,,0.93,5.12,-0.08,0.85,0.090
홍창기,22, RF,0.081,104,97,828.2,172,165,6,1,99.4,1.86,3.95,0.33,0.98,,,,,,5.25,6.41,-4.42,0.83,0.513
이영빈,21, 1B,0.079,26,20,162.1,171,157,12,2,98.8,9.37,2.67,,-0.36,,,,,,2.31,4.62,-1.48,0.83,0.221
문성주,24, LF,0.078,50,39,359.0,95,92,3,0,100.0,2.38,2.02,0.20,0.41,,,,,,2.63,5.83,-1.81,0.82,0.250
박용택,19, LF,0.078,3,3,24.2,4,4,0,0,100.0,1.46,0.90,-0.01,0.02,,,,,,0.91,2.05,-0.12,0.79,0.089
송찬의,22, 2B,0.076,16,13,105.0,76,34,38,4,94.7,6.17,-0.01,,0.12,0.22,,,,,0.34,1.46,0.44,0.78,0.033
이재원,21, CF,0.076,2,1,9.0,5,5,0,0,100.0,5.00,0.31,0.47,0.01,,,,,,0.79,1.83,0.00,0.79,0.076
최승민,23, CF,0.074,12,1,35.0,13,13,0,0,100.0,3.34,1.90,-1.19,0.05,,,,,,0.76,2.89,0.00,0.76,0.074
신민재,24, 2B,0.072,62,55,479.0,269,123,140,6,97.8,4.94,1.00,,-0.82,-1.50,,,,,-1.33,-3.04,2.09,0.76,-0.126
이재원,21, RF,0.071,35,22,217.0,50,49,1,0,100.0,2.07,1.78,-0.39,0.30,,,,,,1.69,3.92,-0.95,0.74,0.162
최재원,20, CF,0.069,3,0,5.0,4,4,0,0,100.0,7.20,0.94,-0.17,0.01,,,,,,0.78,18.77,0.00,0.78,0.069
신민재,23, CF,0.069,7,0,10.0,3,3,0,0,100.0,2.70,0.32,0.38,0.01,,,,,,0.71,0.84,0.00,0.71,0.069
신민재,20, 2B,0.065,11,1,20.0,9,5,4,0,100.0,4.05,0.39,,0.02,0.26,,,,,0.67,1.42,0.07,0.74,0.059
김용의,20, 2B,0.064,4,0,4.2,4,0,4,0,100.0,7.71,0.71,,0.00,,,,,,0.71,1.01,0.01,0.72,0.063
구본혁,20, SS,0.061,42,7,116.2,60,21,37,2,96.7,4.47,1.77,,-0.35,-1.32,,,,,0.11,0.13,0.58,0.69,0.010
안익훈,24, RF,0.059,1,1,9.0,3,3,0,0,100.0,3.00,0.30,0.34,0.03,,,,,,0.66,23.93,-0.04,0.62,0.063
최승민,23, RF,0.059,1,0,1.0,1,1,0,0,100.0,9.00,0.61,,0.00,,,,,,0.62,2.34,-0.01,0.61,0.060
백승현,19, SS,0.056,5,2,22.0,12,4,8,0,100.0,4.91,0.62,,0.03,-0.23,,,,,0.41,4.26,0.16,0.57,0.041
백승현,19, 2B,0.056,4,3,21.0,14,8,6,0,100.0,6.00,0.44,,0.03,,,,,,0.47,4.86,0.10,0.57,0.046
이천웅,21, LF,0.056,26,12,139.1,29,29,0,0,100.0,1.87,0.73,0.41,0.13,,,,,,1.26,2.67,-0.68,0.58,0.121
이성우,21, C,0.055,34,11,112.2,107,101,5,1,99.1,8.47,-0.06,,-0.13,,0.14,-0.43,1.77,-1.54,-0.26,-1.04,0.84,0.58,-0.025
이형종,20, LF,0.052,30,25,211.0,50,45,1,4,92.0,1.96,2.62,0.30,-1.28,,,,,,1.65,2.93,-1.06,0.59,0.146
한석현,20, RF,0.049,4,0,7.1,2,2,0,0,100.0,2.45,0.56,,0.01,,,,,,0.57,9.06,-0.01,0.56,0.050
손호영,22, 3B,0.048,3,0,6.0,2,0,2,0,100.0,3.00,0.49,,0.01,,,,,,0.49,1.98,0.00,0.49,0.048
가르시아,22, 2B,0.048,35,34,297.0,150,58,87,5,96.7,4.39,-0.65,,-0.14,-0.11,,,,,-0.90,-3.32,1.39,0.49,-0.088
한석현,22, CF,0.047,3,0,10.0,2,2,0,0,100.0,1.80,0.32,0.14,0.01,,,,,,0.48,11.44,0.00,0.48,0.047
한석현,22, LF,0.046,1,0,5.0,2,2,0,0,100.0,3.60,0.48,0.01,0.01,,,,,,0.49,11.85,-0.02,0.47,0.048
양종민,19, 1B,0.041,3,3,20.0,21,17,4,0,100.0,9.45,0.56,,0.02,,,,,,0.58,4.67,-0.16,0.42,0.057
문성주,24, RF,0.040,23,15,125.0,31,29,1,1,96.8,2.16,0.67,0.49,-0.11,,,,,,1.05,2.32,-0.63,0.42,0.099
신민재,19, 3B,0.039,2,0,3.0,2,1,1,0,100.0,6.00,0.40,,0.00,,,,,,0.40,0.71,0.00,0.40,0.039
안익훈,23, LF,0.039,5,1,19.2,5,5,0,0,100.0,2.29,0.05,0.39,0.04,,,,,,0.48,6.27,-0.08,0.40,0.046
이재원,22, CF,0.037,3,0,6.0,5,4,1,0,100.0,7.50,-0.51,0.88,0.01,,,,,,0.38,0.65,0.00,0.38,0.037
