이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
이건욱,23, P,0.60,27,1,26,10,0,0,1,0,0,0,38.2,9,13,16.70,169,31,7,0,0,25,2,2,31,2,0,2,2.09,3.03,3.89,3.76,4.01,1.45
앤더슨,24, P,0.59,5,5,0,0,0,0,2,1,0,0,22.0,10,11,11.00,94,22,5,0,2,6,1,0,36,0,0,1,4.09,4.50,4.50,4.37,2.15,1.27
조영우,21, P,0.57,30,8,22,3,0,0,4,8,1,0,66.2,42,46,42.55,291,74,10,2,10,26,0,0,48,4,0,3,5.67,6.21,5.74,5.64,4.96,1.50
강지광,19, P,0.56,25,0,25,1,0,0,2,4,0,6,27.1,12,14,12.10,115,24,5,0,0,11,0,1,15,1,0,3,3.95,4.61,3.98,3.77,3.57,1.28
박민호,19, P,0.54,47,0,47,11,0,0,3,1,0,4,50.1,15,17,25.05,209,49,10,0,2,14,4,0,22,1,0,0,2.68,3.04,4.48,4.43,4.30,1.25
신재웅,19, P,0.53,20,1,19,7,0,0,1,0,0,0,21.2,8,8,6.45,88,14,4,0,1,10,1,0,14,0,0,0,3.32,3.32,2.68,2.77,4.32,1.11
이로운,24, P,0.49,29,0,29,7,0,0,1,0,1,7,32.0,11,16,16.35,142,31,3,2,0,19,0,2,22,2,0,1,3.09,4.50,4.60,4.59,4.19,1.56
르위키,21, P,0.47,4,4,0,0,0,0,1,0,0,0,14.1,6,6,5.65,56,15,3,0,2,2,0,0,9,0,0,0,3.77,3.77,3.55,3.60,4.29,1.19
이태양,20, P,0.45,46,0,46,7,0,0,2,1,0,4,47.1,27,28,29.00,211,57,10,0,7,11,1,1,37,4,0,2,5.13,5.32,5.51,5.21,4.52,1.44
백승건,19, P,0.43,15,0,15,3,0,0,0,0,0,0,19.1,5,5,7.55,81,16,4,0,1,12,1,0,14,0,0,1,2.33,2.33,3.51,3.35,4.70,1.45
하재훈,21, P,0.43,18,0,18,8,0,0,1,0,0,2,18.0,8,8,6.45,88,16,0,1,1,16,3,2,8,0,0,2,4.00,4.00,3.22,3.09,6.59,1.78
박종훈,23, P,0.39,18,16,2,0,0,0,2,6,0,0,80.0,55,57,56.65,382,77,13,1,8,60,19,0,56,4,0,2,6.19,6.41,6.37,6.10,6.35,1.71
이기순,24, P,0.38,10,2,8,2,0,0,1,1,0,0,19.2,8,10,9.15,94,12,1,0,2,23,1,0,24,0,0,1,3.66,4.58,4.19,4.12,6.11,1.78
박민호,24, P,0.38,14,0,14,6,0,0,2,0,0,0,17.0,4,6,7.55,67,11,1,0,1,6,1,1,8,1,0,0,2.12,3.18,4.00,3.82,4.79,1.00
김택형,22, P,0.38,64,0,64,24,0,0,3,5,17,10,60.1,33,33,32.15,261,57,9,0,8,22,3,1,62,2,0,6,4.92,4.92,4.80,4.52,4.03,1.31
김태훈,20, P,0.37,33,8,25,1,0,0,1,6,0,4,62.0,51,52,46.35,281,61,13,0,8,39,4,0,43,0,0,10,7.40,7.55,6.73,6.44,5.95,1.61
서진용,20, P,0.36,63,0,63,24,0,0,2,7,8,12,61.0,28,33,37.65,264,52,4,1,11,34,1,1,56,4,0,7,4.13,4.87,5.55,5.48,5.62,1.41
한두솔,24, P,0.34,33,0,33,3,0,0,0,1,0,2,27.2,16,22,16.70,135,29,4,0,1,18,3,1,29,4,0,0,5.20,7.16,5.43,5.22,4.22,1.70
