이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
박성한,22, SS,2.979,138,131,1176.0,615,215,376,24,96.1,4.52,18.56,,0.50,0.26,,,,,19.31,19.87,11.20,30.51,1.886
박성한,23, SS,1.982,128,124,1090.1,605,218,368,19,96.9,4.84,11.85,,-0.84,-1.10,,,,,9.91,11.15,10.56,20.47,0.960
김민식,23, C,1.445,121,87,786.2,664,601,62,1,99.8,7.59,0.99,,1.60,,0.19,1.90,0.39,2.42,7.48,8.83,7.44,14.92,0.724
이재원,20, C,1.433,79,65,545.1,461,422,36,3,99.3,7.56,-0.28,,0.26,,-0.03,4.37,0.71,5.43,10.46,18.83,5.78,16.24,0.923
박성한,21, SS,1.315,129,111,993.2,530,194,313,23,95.7,4.59,2.33,,0.61,1.61,,,,,4.55,4.85,9.20,13.75,0.435
최지훈,22, CF,1.243,114,106,921.2,250,241,8,1,99.6,2.43,10.13,1.32,1.28,,,,,,12.74,12.74,0.00,12.74,1.243
노수광,19, CF,0.995,39,39,286.0,99,97,2,0,100.0,3.12,9.76,0.04,0.36,,,,,,10.16,12.51,0.00,10.16,0.995
최지훈,21, CF,0.989,105,99,670.1,223,216,6,1,99.6,2.98,9.42,0.73,0.19,,,,,,10.34,10.95,0.00,10.34,0.989
김성현,20, 2B,0.970,62,33,305.0,202,89,111,2,99.0,5.90,9.10,,0.28,0.31,,,,,9.69,10.50,1.30,10.99,0.855
김강민,19, CF,0.906,123,100,947.1,276,264,9,3,98.9,2.59,8.70,0.84,-0.27,,,,,,9.26,10.50,0.00,9.26,0.906
김성현,22, 2B,0.846,105,67,649.0,368,131,230,7,98.1,5.01,4.69,,-0.21,1.56,,,,,6.04,6.69,2.63,8.67,0.590
나주환,19, 2B,0.780,61,49,399.0,251,96,154,1,99.6,5.64,6.52,,0.05,-0.31,,,,,6.26,9.58,1.71,7.97,0.612
최항,20, 2B,0.755,43,35,295.0,187,83,101,3,98.4,5.61,6.92,,-0.24,0.46,,,,,7.14,21.89,1.41,8.55,0.630
이지영,24, C,0.746,52,46,409.1,438,411,24,3,99.3,9.56,0.64,,0.07,,0.12,0.41,2.10,,3.36,8.95,4.51,7.87,0.318
이재원,21, C,0.721,104,80,678.2,596,551,38,7,98.8,7.81,-0.21,,-0.80,,-0.04,0.83,1.09,-0.47,0.38,0.52,7.15,7.54,0.037
김강민,20, CF,0.684,110,69,658.1,216,207,7,2,99.1,2.93,8.02,0.05,-0.31,,,,,,7.76,9.16,0.00,7.76,0.684
오태곤,22, LF,0.601,81,50,488.0,125,117,7,1,99.2,2.29,7.26,0.79,0.25,,,,,,8.30,9.19,-2.14,6.16,0.810
김성현,23, 2B,0.594,69,44,426.0,272,122,144,6,97.8,5.62,5.44,,-0.45,-0.66,,,,,4.34,5.57,1.80,6.14,0.420
김민식,22, C,0.532,77,47,447.0,365,328,34,3,99.2,7.29,0.05,,-0.09,,-0.09,1.52,0.74,-1.17,0.96,1.33,4.49,5.45,0.094
최지훈,20, CF,0.522,63,54,412.0,124,119,4,1,99.2,2.69,5.53,0.46,-0.07,,,,,,5.92,6.71,0.00,5.92,0.522
이재원,22, C,0.497,100,78,660.1,591,567,20,4,99.3,8.00,-0.29,,0.08,,-0.40,-0.32,-1.12,0.66,-1.39,-1.91,6.48,5.09,-0.136
박성한,24, SS,0.490,62,60,526.0,268,107,155,6,97.8,4.48,-1.14,,0.57,0.34,,,,,-0.23,-0.54,5.40,5.17,-0.022
강승호,19, 2B,0.477,9,6,63.0,32,13,19,0,100.0,4.57,4.17,,0.09,0.31,,,,,4.56,43.82,0.31,4.87,0.447
최준우,23, 2B,0.475,23,13,99.0,60,26,34,0,100.0,5.45,4.11,,0.35,0.01,,,,,4.48,16.98,0.43,4.91,0.434
오태곤,24, 1B,0.467,35,5,117.0,118,111,7,0,100.0,9.08,5.16,,0.26,,0.30,,,,5.72,15.25,-0.80,4.92,0.542
김성현,21, 2B,0.452,73,33,357.0,208,86,119,3,98.6,5.17,2.90,,-0.05,0.38,,,,,3.23,4.23,1.49,4.72,0.309
조형우,23, C,0.395,55,38,312.2,293,258,30,5,98.3,8.29,0.09,,-1.64,,0.01,0.62,-0.14,2.19,1.13,2.62,2.95,4.08,0.109
최지훈,22, LF,0.386,27,18,166.1,42,41,1,0,100.0,2.27,4.43,0.11,0.25,,,,,,4.79,4.79,-0.83,3.96,0.468
김성현,24, 3B,0.365,9,7,67.0,21,4,17,0,100.0,2.82,3.62,,0.25,0.00,-0.02,,,,3.85,29.19,0.00,3.85,0.365
정준재,24, 2B,0.363,13,12,89.1,49,13,36,0,100.0,4.94,3.41,,0.31,-0.28,,,,,3.43,27.46,0.39,3.82,0.326
최주환,21, 2B,0.341,74,69,553.2,311,130,173,8,97.4,4.93,0.16,,0.20,0.29,,,,,0.65,0.80,2.92,3.57,0.062
나주환,19, 3B,0.337,17,5,66.0,17,2,15,0,100.0,2.32,3.27,,0.06,,0.12,,,,3.44,5.27,0.00,3.44,0.337
김성현,23, SS,0.334,26,19,179.0,97,40,53,4,95.9,4.68,0.56,,0.59,0.67,,,,,1.83,2.35,1.62,3.45,0.177
최정,21, 3B,0.327,128,124,1029.0,304,83,209,12,96.1,2.55,1.93,,0.27,0.98,0.23,,,,3.42,3.67,0.00,3.42,0.327
고명준,24, 1B,0.315,50,48,365.0,354,328,24,2,99.4,8.68,6.67,,0.31,,0.02,,,,7.00,17.09,-3.68,3.32,0.664
최경모,24, 2B,0.311,20,4,72.2,37,10,26,1,97.3,4.46,3.05,,-0.24,0.28,,,,,3.09,9.68,0.19,3.28,0.293
박성한,20, SS,0.296,37,29,256.0,138,63,71,4,97.1,4.71,4.35,,-0.14,-3.02,,,,,1.18,4.14,2.18,3.36,0.104
최지훈,24, CF,0.294,62,60,528.0,154,146,2,6,96.1,2.52,3.50,1.19,-1.59,,,,,,3.10,7.19,0.00,3.10,0.294
최준우,19, 2B,0.279,12,11,76.0,40,15,25,0,100.0,4.74,2.02,,0.10,0.39,,,,,2.52,24.17,0.33,2.85,0.246
하재훈,23, LF,0.270,41,24,253.0,67,63,3,1,98.5,2.35,3.95,0.02,-0.03,,,,,,3.94,7.37,-1.15,2.79,0.382
최상민,23, CF,0.268,14,3,56.2,23,23,0,0,100.0,3.65,2.89,-0.20,0.08,,,,,,2.77,7.81,0.00,2.77,0.268
정현,19, 2B,0.259,9,6,50.2,30,15,15,0,100.0,5.33,2.05,,0.07,0.31,,,,,2.44,12.99,0.21,2.65,0.238
김성현,20, SS,0.239,94,80,631.2,301,108,185,8,97.3,4.17,-2.62,,0.40,-0.21,,,,,-2.43,-2.63,5.14,2.71,-0.214
라가레스,22, LF,0.235,46,46,394.2,101,97,2,2,98.0,2.26,5.03,-0.29,-0.37,,,,,,4.36,12.82,-1.96,2.40,0.426
최지훈,20, RF,0.233,78,52,468.0,114,109,3,2,98.2,2.15,5.93,-0.55,-0.39,,,,,,4.99,5.66,-2.35,2.64,0.440
오태곤,21, LF,0.231,54,24,248.1,66,63,3,0,100.0,2.39,3.17,0.11,0.23,,,,,,3.50,4.13,-1.08,2.42,0.334
김창평,20, 2B,0.214,32,23,208.1,111,39,69,3,97.3,4.67,0.82,,0.19,0.54,,,,,1.55,6.38,0.88,2.43,0.137
최경모,22, 3B,0.214,62,10,157.2,53,15,35,3,94.3,2.85,2.90,,-0.35,-0.37,,,,,2.19,3.21,0.00,2.19,0.214
김재현,19, CF,0.206,11,5,56.0,18,18,0,0,100.0,2.89,2.07,-0.04,0.07,,,,,,2.10,3.65,0.00,2.10,0.206
이현석,21, C,0.198,38,25,220.0,201,184,15,2,99.0,8.14,0.43,,-0.29,,0.08,0.81,-0.32,-0.68,0.03,0.12,2.04,2.07,0.003
이흥련,20, C,0.198,45,35,297.1,282,262,17,3,98.9,8.45,0.04,,-0.56,,0.08,-2.77,0.68,1.79,-0.73,-2.15,2.98,2.24,-0.065
안상현,22, 2B,0.192,30,9,103.0,64,21,42,1,98.4,5.50,2.07,,0.12,-0.63,,,,,1.56,4.90,0.40,1.96,0.153
노수광,19, RF,0.188,33,22,208.0,52,52,0,0,100.0,2.25,2.72,-0.17,0.35,,,,,,2.91,3.58,-0.99,1.92,0.285
최정,22, 3B,0.179,117,115,958.1,253,71,170,12,95.3,2.26,1.61,,-0.14,0.38,-0.02,,,,1.84,2.18,0.00,1.84,0.179
김강민,21, CF,0.176,116,40,566.1,157,149,6,2,98.7,2.46,1.63,0.13,0.08,,,,,,1.85,2.18,0.00,1.85,0.176
김강민,22, CF,0.175,60,35,341.0,85,85,0,0,100.0,2.24,0.82,0.50,0.47,,,,,,1.79,3.07,0.00,1.79,0.175
최경모,22, 2B,0.172,28,5,76.0,37,17,20,0,100.0,4.38,1.70,,0.09,-0.25,,,,,1.54,2.27,0.22,1.76,0.151
김찬형,21, 2B,0.169,26,15,129.2,72,22,50,0,100.0,5.00,1.74,,0.16,-0.65,,,,,1.25,2.04,0.52,1.77,0.120
최상민,22, RF,0.169,13,0,22.0,10,10,0,0,100.0,4.09,1.73,,0.04,,,,,,1.77,9.43,-0.04,1.73,0.173
최정,20, 3B,0.153,122,118,987.2,257,76,170,11,95.7,2.24,0.61,,-0.43,0.99,0.57,,,,1.74,1.88,0.00,1.74,0.153
안상현,19, 2B,0.150,55,16,250.2,151,53,92,6,96.0,5.21,1.13,,-0.65,0.16,,,,,0.63,1.41,0.90,1.53,0.062
오준혁,22, RF,0.148,17,8,64.0,14,14,0,0,100.0,1.97,1.81,-0.14,0.11,,,,,,1.78,5.45,-0.26,1.52,0.174
김찬형,23, SS,0.147,3,1,9.0,11,4,7,0,100.0,11.00,1.33,,0.03,0.10,,,,,1.45,5.82,0.06,1.51,0.141
정현,21, 2B,0.137,6,3,36.0,23,7,15,1,95.7,5.50,1.08,,-0.45,0.64,,,,,1.27,2.69,0.16,1.43,0.121
김민식,24, C,0.127,9,7,62.0,58,54,4,0,100.0,8.42,0.00,,0.24,,0.12,-0.27,0.55,,0.64,7.70,0.70,1.34,0.061
최민재,19, RF,0.126,1,1,6.0,3,3,0,0,100.0,4.50,1.17,0.12,0.01,,,,,,1.31,188.36,-0.02,1.29,0.128
박지환,24, 2B,0.121,9,8,69.0,43,17,25,1,97.7,5.48,1.24,,-0.26,0.00,,,,,0.98,12.89,0.29,1.27,0.093
김성현,21, 3B,0.120,7,5,44.0,8,1,7,0,100.0,1.64,0.94,,0.03,0.28,,,,,1.25,1.64,0.00,1.25,0.120
오태곤,23, LF,0.118,14,6,62.0,15,13,1,1,93.3,2.03,1.54,0.32,-0.38,,,,,,1.47,1.72,-0.25,1.22,0.143
김찬형,23, 2B,0.117,8,3,31.2,26,9,17,0,100.0,7.39,0.71,,0.11,0.25,,,,,1.08,4.30,0.13,1.21,0.104
로맥,19, 3B,0.117,10,6,67.0,22,8,13,1,95.5,2.82,0.70,,0.06,0.31,0.12,,,,1.19,1.25,0.00,1.19,0.117
유서준,20, CF,0.112,2,0,2.1,3,3,0,0,100.0,11.57,1.07,0.19,0.00,,,,,,1.27,6.51,0.00,1.27,0.112
최경모,19, SS,0.108,10,1,23.0,10,2,8,0,100.0,3.91,1.15,,0.03,-0.19,,,,,0.98,8.33,0.12,1.10,0.096
최지훈,22, RF,0.104,39,14,151.1,44,42,2,0,100.0,2.62,0.97,0.50,0.27,,,,,,1.73,1.73,-0.67,1.06,0.169
나주환,19, 1B,0.101,11,6,63.0,57,56,1,0,100.0,8.14,1.19,,0.06,,0.38,,,,1.64,2.51,-0.60,1.04,0.160
최준우,20, 3B,0.098,5,0,10.0,4,1,3,0,100.0,3.60,1.30,,0.01,-0.19,,,,,1.11,2.43,0.00,1.11,0.098
김성현,19, SS,0.094,144,132,1143.2,563,179,358,26,95.4,4.23,-6.20,,-1.86,-0.42,,,,,-8.48,-8.48,9.44,0.96,-0.830
김재현,20, LF,0.092,5,2,23.1,4,4,0,0,100.0,1.54,1.00,0.09,0.03,,,,,,1.12,20.25,-0.08,1.04,0.099
오준혁,22, LF,0.092,8,4,29.1,5,3,2,0,100.0,1.53,0.61,0.40,0.04,,,,,,1.06,3.24,-0.12,0.94,0.103
안상현,19, SS,0.091,13,3,42.1,16,9,7,0,100.0,3.40,-0.07,,0.06,0.58,,,,,0.57,1.26,0.36,0.93,0.055
최항,19, 2B,0.087,43,38,280.0,148,65,80,3,98.0,4.66,0.27,,-0.11,-0.55,,,,,-0.39,-1.09,1.28,0.89,-0.039
최경모,22, SS,0.086,8,0,15.2,13,4,8,1,92.3,6.89,0.11,,0.03,0.65,,,,,0.78,1.15,0.10,0.88,0.076
최지훈,20, LF,0.085,28,12,127.1,31,29,1,1,96.8,2.12,1.86,0.06,-0.35,,,,,,1.57,1.78,-0.60,0.97,0.138
이재원,23, C,0.084,27,15,134.0,118,105,12,1,99.2,7.86,0.18,,-0.14,,0.01,-1.54,1.20,0.02,-0.26,-1.41,1.13,0.86,-0.026
석정우,22, 3B,0.084,3,1,9.0,4,1,3,0,100.0,4.00,0.44,,0.01,0.41,,,,,0.86,13.71,0.00,0.86,0.084
