이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
최정,21, 3B,7.04,6.55,0.50,134,555,552,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,0.278,0.410,0.562,0.972,0.070,159.8
박성한,22, SS,6.87,3.58,3.30,140,564,557,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,0.298,0.375,0.374,0.749,0.017,117.7
최지훈,22, CF,6.49,4.37,2.12,144,640,627,569,93,173,32,4,10,243,61,31,7,47,7,0,77,7,13,4,0.304,0.362,0.427,0.789,0.018,117.8
최정,19, 3B,6.14,6.12,0.02,141,606,603,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,0.292,0.399,0.519,0.918,0.053,148.8
최정,22, 3B,5.71,5.27,0.44,121,505,504,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.056,151.4
최정,20, 3B,5.33,4.99,0.34,133,553,553,452,90,122,22,0,33,243,96,8,3,75,20,1,98,7,0,6,0.270,0.392,0.538,0.930,0.047,138.5
로맥,20, 1B,5.01,5.66,-0.65,139,586,583,485,85,137,32,0,32,265,91,4,2,91,6,5,116,5,0,4,0.282,0.399,0.546,0.945,0.055,144.4
박성한,21, SS,4.91,3.35,1.56,135,471,459,407,53,123,21,1,4,158,44,12,5,49,1,0,73,1,12,2,0.302,0.377,0.388,0.765,0.022,120.6
최정,23, 3B,4.85,5.76,-0.91,128,552,547,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.057,151.6
한유섬,22, RF,4.46,4.31,0.15,135,545,540,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,0.264,0.372,0.478,0.850,0.034,132.0
박성한,23, SS,4.36,2.24,2.13,128,529,521,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,-0.005,99.8
에레디아,23, LF,4.11,4.45,-0.35,122,523,519,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,0.040,138.1
추신수,21, RF,3.99,5.33,-1.34,137,580,578,461,84,122,19,2,21,208,69,25,9,103,12,4,123,8,0,4,0.265,0.409,0.451,0.860,0.045,139.8
한유섬,21, RF,3.88,4.37,-0.49,135,519,517,442,71,123,18,1,31,236,95,1,0,60,10,4,96,11,1,6,0.278,0.373,0.534,0.907,0.036,133.0
로맥,19, 1B,3.35,5.51,-2.16,137,589,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,0.276,0.370,0.508,0.878,0.045,142.3
추신수,22, DH,3.13,4.14,-1.02,112,499,497,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4,0.259,0.382,0.430,0.812,0.035,132.7
고종욱,19, LF,3.07,3.27,-0.21,137,513,512,492,76,159,25,7,3,207,56,31,10,18,1,1,89,5,0,2,0.323,0.347,0.421,0.768,0.012,113.8
최지훈,21, RF,2.84,1.89,0.95,136,534,526,461,75,121,19,6,5,167,45,26,6,51,8,0,71,6,8,6,0.262,0.342,0.362,0.704,-0.017,89.5
하재훈,23, LF,2.79,2.19,0.60,77,229,226,201,35,61,10,1,7,94,35,11,0,19,5,1,53,0,2,2,0.303,0.374,0.468,0.842,0.038,135.7
최주환,21, 2B,2.52,2.29,0.23,116,470,468,406,50,104,16,0,18,174,67,2,1,53,9,4,84,7,0,2,0.256,0.353,0.429,0.782,0.002,105.2
최정,24, 3B,2.38,2.81,-0.43,55,235,235,197,38,57,13,1,18,126,54,5,0,26,9,0,45,6,0,3,0.289,0.391,0.640,1.031,0.076,155.9
에레디아,24, LF,2.34,2.62,-0.28,59,252,249,227,37,86,12,0,8,122,46,3,3,14,7,3,29,5,0,4,0.379,0.425,0.537,0.962,0.066,147.4
김강민,22, CF,2.18,1.82,0.36,84,202,198,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,0.303,0.375,0.449,0.824,0.049,144.3
김강민,19, CF,2.13,0.88,1.25,127,460,458,422,54,114,14,2,8,156,50,15,8,31,4,3,103,2,0,3,0.270,0.324,0.370,0.694,-0.030,78.5
김성현,21, SS,2.01,1.75,0.26,110,274,270,237,27,67,15,0,6,100,37,5,2,29,0,0,29,8,4,4,0.283,0.356,0.422,0.778,0.018,117.5
노수광,19, LF,2.01,1.28,0.73,117,445,436,388,69,97,16,1,2,121,28,27,10,46,2,0,68,1,9,0,0.250,0.333,0.312,0.645,-0.024,84.1
김강민,20, CF,1.87,1.28,0.60,122,327,320,289,39,73,11,1,12,122,45,7,5,27,4,2,62,10,5,2,0.253,0.323,0.422,0.745,-0.006,98.0
김성현,20, SS,1.85,0.77,1.08,133,392,381,343,34,93,9,1,2,110,25,1,1,30,5,0,27,10,11,3,0.271,0.336,0.321,0.657,-0.028,81.7
라가레스,22, LF,1.84,1.62,0.23,49,202,198,181,24,57,9,0,6,84,32,3,1,14,1,1,18,4,3,3,0.315,0.362,0.464,0.826,0.032,129.6
한동민,19, RF,1.76,2.82,-1.06,125,502,500,427,52,113,20,0,12,169,52,0,1,55,20,4,100,6,0,0,0.265,0.375,0.396,0.771,0.010,111.9
최지훈,20, RF,1.71,0.63,1.09,127,520,512,466,66,120,19,5,1,152,27,18,6,38,5,0,80,4,8,3,0.258,0.318,0.326,0.644,-0.041,71.8
김민식,23, C,1.70,0.24,1.46,122,318,300,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,0.218,0.302,0.316,0.618,-0.043,69.4
김성현,23, 2B,1.55,0.91,0.64,112,354,341,310,35,83,14,0,1,100,27,4,1,29,0,1,36,6,13,2,0.268,0.328,0.323,0.651,-0.024,84.1
최지훈,23, CF,1.55,1.67,-0.12,117,503,495,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,-0.021,86.8
최지훈,24, CF,1.53,1.27,0.25,62,286,284,250,45,67,9,4,3,93,22,20,2,32,1,0,43,5,2,1,0.268,0.352,0.372,0.724,-0.005,94.0
정의윤,19, LF,1.51,2.50,-0.98,110,419,417,380,44,107,24,0,13,170,59,0,0,30,6,1,60,9,0,2,0.282,0.342,0.447,0.789,0.010,112.0
로맥,21, 1B,1.46,2.23,-0.77,107,421,421,355,55,80,11,0,20,151,52,1,0,59,4,1,83,9,0,3,0.225,0.340,0.425,0.765,0.005,107.4
추신수,23, DH,1.46,2.81,-1.36,112,462,462,382,65,97,17,1,12,152,41,6,4,65,13,1,79,8,0,2,0.254,0.379,0.398,0.777,0.012,113.9
김강민,21, CF,1.39,1.03,0.36,122,260,257,223,43,53,11,1,8,90,27,3,3,25,6,1,52,3,3,3,0.238,0.327,0.404,0.731,-0.006,98.6
이재원,21, C,1.38,1.06,0.32,107,313,306,271,29,76,13,0,3,98,30,0,2,29,5,4,47,14,6,2,0.280,0.358,0.362,0.720,-0.010,95.6
최항,20, 2B,1.23,0.45,0.78,47,155,154,132,21,35,3,0,2,44,15,1,0,21,1,1,27,3,0,1,0.265,0.368,0.333,0.701,-0.020,87.7
오태곤,22, LF,1.18,0.54,0.64,130,295,290,263,48,61,14,1,4,89,23,11,4,15,9,1,68,3,5,3,0.232,0.293,0.338,0.631,-0.033,75.4
박성한,24, SS,1.12,0.59,0.52,62,271,268,237,32,65,11,0,3,85,26,7,2,30,1,1,34,5,2,1,0.274,0.357,0.359,0.716,-0.015,87.0
이지영,24, C,1.11,0.41,0.71,54,193,191,177,23,52,3,1,2,63,21,5,1,9,4,0,16,4,2,1,0.294,0.340,0.356,0.696,-0.020,82.7
최주환,23, 2B,1.04,1.77,-0.73,134,478,474,426,48,100,24,0,20,184,63,0,0,44,4,4,94,6,1,3,0.235,0.310,0.432,0.742,-0.009,96.2
오태곤,21, LF,0.99,1.02,-0.03,122,253,252,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1,0.268,0.313,0.426,0.739,-0.009,96.2
나주환,19, 2B,0.92,-0.31,1.23,94,245,241,225,14,50,9,0,3,68,20,1,2,12,3,0,54,6,4,1,0.222,0.270,0.302,0.572,-0.051,60.8
김민식,22, C,0.92,0.31,0.61,82,204,197,168,23,36,7,1,1,48,22,0,0,26,2,1,33,3,6,2,0.214,0.323,0.286,0.609,-0.036,73.2
오태곤,24, 1B,0.85,0.43,0.42,54,85,84,76,11,21,3,0,1,27,6,12,0,8,0,1,19,0,1,0,0.276,0.345,0.355,0.700,-0.017,85.2
이재원,19, C,0.74,1.95,-1.21,139,502,500,451,33,121,19,0,12,176,75,1,0,34,9,2,59,16,1,7,0.268,0.327,0.390,0.717,-0.010,95.5
한동민,20, RF,0.72,1.51,-0.79,62,231,230,193,35,48,5,0,15,98,31,2,0,30,6,1,49,8,0,2,0.249,0.364,0.508,0.872,0.023,119.9
채태인,20, 1B,0.65,1.07,-0.41,71,189,188,160,11,45,5,0,7,71,24,0,0,29,0,2,33,4,0,0,0.281,0.392,0.444,0.836,0.016,115.1
최준우,23, 2B,0.64,0.22,0.43,38,69,69,60,5,16,1,0,0,17,6,0,1,8,0,0,10,3,0,1,0.267,0.348,0.283,0.631,-0.010,95.7
오태곤,20, LF,0.60,0.66,-0.05,54,203,199,184,29,53,11,0,5,79,30,14,6,12,3,0,31,4,4,0,0.288,0.342,0.429,0.771,-0.014,92.1
오태곤,23, 1B,0.56,1.04,-0.47,123,305,297,272,37,65,14,1,7,102,28,20,1,18,4,0,67,6,8,3,0.239,0.293,0.375,0.668,-0.026,82.4
최경모,22, 3B,0.50,0.00,0.50,98,75,74,73,16,22,2,0,0,24,4,2,0,1,0,0,18,1,1,0,0.301,0.311,0.329,0.640,-0.048,62.7
