이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
오재일,19, 1B,-0.158,126,119,1044.0,1111,1031,76,4,99.6,9.54,7.95,,1.01,,-0.21,,,,8.75,9.69,-10.36,-1.61,0.856
최주환,20, 1B,-0.158,21,10,104.1,99,92,7,0,100.0,8.54,-0.87,,0.09,,,,,,-0.77,-0.80,-1.02,-1.79,-0.068
박계범,24, SS,-0.161,3,2,19.0,13,1,10,2,84.6,5.21,-1.21,,-0.42,-0.22,,,,,-1.86,-11.16,0.16,-1.70,-0.176
안권수,22, RF,-0.161,52,39,366.1,92,82,4,6,93.5,2.11,1.85,0.61,-2.25,,,,,,0.21,0.39,-1.86,-1.65,0.020
김민혁,22, C,-0.165,1,0,6.0,9,9,0,0,100.0,13.50,-0.03,,0.02,,,-0.10,-1.38,-0.27,-1.76,-6.68,0.07,-1.69,-0.172
조수행,21, RF,-0.166,15,1,36.2,11,11,0,0,100.0,2.70,-0.94,-0.70,0.05,,,,,,-1.59,-1.99,-0.14,-1.73,-0.152
전민재,24, 2B,-0.171,5,3,32.0,20,8,10,2,90.0,5.06,-1.85,,0.11,-0.23,,,,,-1.97,-6.44,0.16,-1.81,-0.187
신성현,21, 3B,-0.173,2,2,17.0,6,2,4,0,100.0,3.18,-1.82,,0.01,,,,,,-1.81,-23.72,0.00,-1.81,-0.173
홍성호,22, RF,-0.174,6,2,18.0,2,2,0,0,100.0,1.00,-1.49,-0.23,0.03,,,,,,-1.69,-20.29,-0.09,-1.78,-0.165
국해성,20, LF,-0.175,10,6,49.0,10,10,0,0,100.0,1.84,-1.75,-0.06,0.06,,,,,,-1.74,-5.46,-0.24,-1.98,-0.154
전민재,24, SS,-0.176,28,19,173.0,80,35,43,2,97.5,4.06,-3.11,,-0.32,0.08,,,,,-3.35,-10.97,1.50,-1.85,-0.318
박건우,20, CF,-0.179,10,10,62.0,19,19,0,0,100.0,2.76,-1.66,-0.44,0.07,,,,,,-2.03,-2.27,0.00,-2.03,-0.179
김인태,20, LF,-0.180,36,10,124.2,26,26,0,0,100.0,1.88,-2.19,0.50,0.16,,,,,,-1.53,-2.85,-0.51,-2.04,-0.135
강진성,22, RF,-0.181,7,6,35.1,3,3,0,0,100.0,0.76,-1.31,-0.41,0.06,,,,,,-1.65,-5.96,-0.20,-1.85,-0.162
박계범,21, 2B,-0.182,56,37,316.1,186,73,105,8,95.7,5.06,-1.57,,-1.10,-0.65,,,,,-3.31,-4.04,1.41,-1.90,-0.317
장승현,23, C,-0.182,75,37,390.1,343,312,29,2,99.4,7.86,-0.80,,0.54,,0.01,-0.32,-0.21,-4.85,-5.63,-10.66,3.74,-1.88,-0.545
오명진,21, 3B,-0.185,1,0,3.0,0,0,0,0,,0.00,-1.94,,0.00,,,,,,-1.93,-139.25,0.00,-1.93,-0.185
국해성,19, RF,-0.194,12,8,66.0,15,13,0,2,86.7,1.77,0.02,-0.85,-0.87,,,,,,-1.70,-11.69,-0.28,-1.98,-0.167
김재호,24, SS,-0.204,20,13,119.0,51,21,25,5,90.2,3.48,-3.66,,-0.51,0.87,,,,,-3.29,-23.69,1.14,-2.15,-0.312
조수행,20, RF,-0.207,23,8,99.2,24,23,0,1,95.8,2.08,-1.42,-0.72,0.14,,,,,,-2.00,-6.55,-0.34,-2.34,-0.177
류지혁,20, SS,-0.218,11,3,45.0,20,6,12,2,90.0,3.60,-2.07,,0.07,-0.85,,,,,-2.85,-16.40,0.38,-2.47,-0.251
오재원,20, 2B,-0.224,69,33,359.2,199,84,111,4,98.0,4.88,-5.46,,0.33,1.06,,,,,-4.07,-6.89,1.53,-2.54,-0.359
정진호,19, RF,-0.225,22,10,104.0,25,24,1,0,100.0,2.16,-1.21,-0.89,0.18,,,,,,-1.92,-4.19,-0.38,-2.30,-0.188
김대한,24, LF,-0.230,15,4,56.0,10,10,0,0,100.0,1.61,-2.62,0.32,0.06,,,,,,-2.24,-7.67,-0.19,-2.43,-0.212
김민혁,22, 1B,-0.231,17,12,106.1,102,95,5,2,98.0,8.46,-1.39,,0.08,,,,,,-1.31,-4.97,-1.06,-2.37,-0.128
오재원,22, 1B,-0.244,8,3,35.2,26,24,2,0,100.0,6.56,-2.27,,0.03,,,,,,-2.24,-17.92,-0.26,-2.50,-0.219
서예일,20, 3B,-0.244,12,3,30.0,7,4,2,1,85.7,1.80,-3.13,,0.02,0.34,,,,,-2.77,-9.97,0.00,-2.77,-0.244
김대한,22, RF,-0.245,43,20,222.2,44,43,1,0,100.0,1.78,-1.97,-0.07,0.39,,,,,,-1.65,-4.65,-0.86,-2.51,-0.161
박건우,20, RF,-0.258,121,114,902.0,223,214,7,2,99.1,2.21,-0.30,2.16,0.21,,,,,,2.06,2.30,-4.98,-2.92,0.182
박건우,21, CF,-0.268,57,55,361.1,110,109,0,1,99.1,2.71,-3.23,0.56,-0.13,,,,,,-2.80,-3.20,0.00,-2.80,-0.268
안승한,23, C,-0.278,20,8,80.0,57,52,3,2,96.5,6.19,-0.06,,-0.78,,0.01,-1.63,-0.73,-0.26,-3.44,-22.54,0.58,-2.87,-0.333
박계범,24, 3B,-0.283,10,0,15.2,5,2,2,1,80.0,2.30,-2.32,,-0.44,-0.23,,,,,-2.98,-17.89,0.00,-2.98,-0.283
박건우,21, RF,-0.284,88,63,571.2,132,129,3,0,100.0,2.08,0.05,-0.82,0.79,,,,,,0.02,0.02,-2.99,-2.97,0.002
권민석,20, 3B,-0.290,25,5,75.0,15,6,8,1,93.3,1.68,-3.56,,0.05,-0.23,0.46,,,,-3.29,-8.61,0.00,-3.29,-0.290
김경호,19, CF,-0.324,7,3,23.2,6,6,0,0,100.0,2.28,-2.16,-1.18,0.03,,,,,,-3.31,-14.90,0.00,-3.31,-0.324
조수행,22, RF,-0.326,40,6,117.2,22,21,1,0,100.0,1.68,-3.26,0.08,0.21,,,,,,-2.97,-3.65,-0.37,-3.34,-0.290
이유찬,20, 3B,-0.337,30,17,145.0,49,17,30,2,95.9,2.92,-3.49,,0.09,-0.54,0.12,,,,-3.82,-5.45,0.00,-3.82,-0.337
최주환,19, 3B,-0.337,4,2,23.0,4,0,4,0,100.0,1.57,-3.33,,0.02,-0.13,,,,,-3.44,-5.70,0.00,-3.44,-0.337
김인태,23, RF,-0.352,20,15,126.0,29,28,0,1,96.6,2.00,-2.92,0.13,-0.25,,,,,,-3.03,-9.30,-0.60,-3.63,-0.294
페르난데스,19, 1B,-0.360,15,15,117.0,111,105,3,3,97.3,8.31,-1.72,,-0.38,,-0.24,,,,-2.34,-2.34,-1.34,-3.68,-0.229
김태근,23, LF,-0.363,13,2,36.0,9,6,0,3,66.7,1.50,-1.98,-0.25,-1.42,,,,,,-3.66,-12.84,-0.09,-3.75,-0.354
페르난데스,22, 1B,-0.365,29,29,243.0,240,227,11,2,99.2,8.81,-0.31,,-0.30,,-0.51,,,,-1.12,-1.16,-2.62,-3.74,-0.109
국해성,20, RF,-0.394,30,13,113.0,27,25,1,1,96.3,2.07,-4.39,0.26,0.16,,,,,,-3.97,-12.44,-0.49,-4.46,-0.350
김재환,24, LF,-0.414,14,14,105.1,23,23,0,0,100.0,1.97,-3.90,-0.01,0.12,,,,,,-3.79,-8.80,-0.58,-4.37,-0.359
송승환,22, LF,-0.426,7,6,57.0,12,12,0,0,100.0,1.89,-3.98,-0.25,0.09,,,,,,-4.14,-54.15,-0.23,-4.37,-0.404
홍성호,23, RF,-0.442,10,7,61.0,10,9,0,1,90.0,1.33,-2.90,-1.00,-0.37,,,,,,-4.27,-29.29,-0.29,-4.56,-0.414
권민석,20, SS,-0.494,19,6,67.2,25,6,18,1,96.0,3.19,-6.26,,0.10,0.08,,,,,-6.08,-15.93,0.48,-5.60,-0.537
양석환,24, 1B,-0.519,63,63,541.0,513,473,37,3,99.4,8.48,-1.19,,0.72,,0.36,,,,-0.11,-0.25,-5.36,-5.47,-0.011
페르난데스,21, 1B,-0.561,18,17,140.0,115,107,5,3,97.4,7.20,-4.27,,0.12,,-0.19,,,,-4.35,-4.44,-1.52,-5.87,-0.416
라모스,24, RF,-0.650,53,53,441.0,89,85,2,2,97.8,1.78,-4.89,-0.06,0.39,,,,,,-4.55,-12.37,-2.30,-6.85,-0.432
로하스,23, RF,-0.670,31,30,230.0,50,47,1,2,96.0,1.88,-5.28,-0.45,-0.04,,,,,,-5.77,-6.81,-1.15,-6.92,-0.558
김재환,23, LF,-0.749,58,55,440.0,118,114,3,1,99.2,2.39,-5.10,-0.70,0.32,,,,,,-5.47,-5.97,-2.26,-7.73,-0.530
김대한,23, RF,-0.880,30,21,183.0,37,33,1,3,91.9,1.67,-6.43,-0.70,-1.12,,,,,,-8.26,-36.03,-0.83,-9.09,-0.799
오재원,19, 2B,-0.926,88,44,480.2,289,122,160,7,97.6,5.28,-8.94,,-0.83,-1.61,,,,,-11.38,-16.72,1.92,-9.46,-1.114
김재환,19, LF,-0.949,124,125,1010.0,233,228,5,0,100.0,2.08,-4.18,-1.12,0.97,,,,,,-4.32,-4.58,-5.38,-9.70,-0.423
로하스,23, LF,-1.079,69,63,508.0,115,112,3,0,100.0,2.04,-9.72,0.26,0.94,,,,,,-8.52,-10.06,-2.62,-11.14,-0.825
김재환,22, LF,-1.288,105,104,825.2,200,191,6,3,98.5,2.15,-7.82,-0.90,-0.21,,,,,,-8.93,-10.04,-4.26,-13.19,-0.872
허경민,22, 3B,-1.341,120,117,976.1,278,111,158,9,96.8,2.48,-14.19,,0.36,0.24,-0.14,,,,-13.74,-16.35,0.00,-13.74,-1.341
김재환,21, LF,-1.475,126,125,948.0,207,199,4,4,98.1,1.93,-7.96,-1.11,-1.14,,,,,,-10.21,-10.73,-5.21,-15.42,-0.976
양석환,22, 1B,-1.514,85,83,685.0,694,629,55,10,98.6,8.99,-8.37,,0.03,,-0.23,,,,-8.56,-11.52,-6.94,-15.50,-0.836
오재일,20, 1B,-1.551,115,110,927.1,872,833,36,3,99.7,8.43,-8.20,,0.31,,-0.03,,,,-7.92,-8.98,-9.66,-17.58,-0.699
김재환,20, LF,-1.593,127,127,1014.2,254,247,5,2,99.2,2.24,-12.09,-0.66,0.28,,,,,,-12.47,-12.83,-5.59,-18.06,-1.100
양석환,21, 1B,-1.899,127,125,1014.1,920,854,58,8,99.1,8.09,-10.04,,0.34,,0.34,,,,-9.36,-10.13,-10.50,-19.86,-0.895
허경민,21, 3B,-2.361,130,116,984.2,261,92,161,8,96.9,2.31,-23.75,,-0.76,0.01,-0.19,,,,-24.68,-26.14,0.00,-24.68,-2.361
김민규,23, P,,6,1,8.1,0,0,0,0,,0.00,,,,,,,,,0.00,,,,0.000
박정수,22, P,,12,0,19.2,3,1,2,0,100.0,1.37,,,,,,,,,0.00,0.00,,,0.000
권민석,22, 1B,,6,0,9.0,10,10,0,0,100.0,10.00,0.00,,0.01,,,,,,0.01,0.05,,,0.001
권민석,23, 2B,,1,0,1.2,0,0,0,0,,0.00,0.00,,0.01,,,,,,0.00,0.16,,,0.000
문대원,21, P,,2,0,1.1,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000
박계범,24, 1B,,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.01,,,0.000
배영수,19, P,,36,0,45.1,13,5,7,1,92.3,2.38,,,,,,,,,0.00,0.00,,,0.000
서예일,19, 2B,,3,0,5.0,3,1,2,0,100.0,5.40,0.47,,0.01,,,,,,0.48,9.87,,,0.047
윤명준,21, P,,44,0,45.2,14,1,13,0,100.0,2.76,,,,,,,,,0.00,0.00,,,0.000
김민규,21, P,,30,6,56.1,4,3,1,0,100.0,0.64,,,,,,,,,0.00,0.00,,,0.000
박정수,24, P,,18,1,19.0,1,0,1,0,100.0,0.47,,,,,,,,,0.00,0.00,,,0.000
장원준,22, P,,27,0,17.0,1,0,0,1,0.0,0.00,,,,,,,,,0.00,0.00,,,0.000
박세혁,20, RF,,1,0,2.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,,,0.000
김지용,22, P,,17,0,19.1,3,1,2,0,100.0,1.40,,,,,,,,,0.00,0.00,,,0.000
최승용,23, P,,34,20,111.0,23,3,19,1,95.7,1.78,,,,,,,,,0.00,0.00,,,0.000
남호,21, P,,4,0,2.2,1,0,1,0,100.0,3.38,,,,,,,,,0.00,0.00,,,0.000
이영하,24, P,,24,1,29.1,4,0,3,1,75.0,0.92,,,,,,,,,0.00,0.00,,,0.000
강승호,22, 3B,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,,,0.000
김태근,19, RF,,1,0,2.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.05,,,0.000
박지훈,20, SS,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.02,,,0.000
서예일,21, 2B,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.03,,,0.000
박치국,24, P,,29,0,26.0,7,1,5,1,85.7,2.08,,,,,,,,,0.00,0.00,,,0.000
허경민,19, SS,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,,,0.000
정철원,24, P,,13,0,12.2,1,0,1,0,100.0,0.71,,,,,,,,,0.00,0.00,,,0.000
박신지,23, P,,15,1,26.0,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000
이승진,21, P,,46,0,48.1,8,2,5,1,87.5,1.30,,,,,,,,,0.00,0.00,,,0.000
이용찬,19, P,,26,26,148.1,36,11,22,3,91.7,2.00,,,,,,,,,0.00,,,,0.000
김호준,24, P,,12,1,11.2,2,0,2,0,100.0,1.54,,,,,,,,,0.00,0.00,,,0.000
이형범,23, P,,23,0,27.2,5,2,1,2,60.0,0.98,,,,,,,,,0.00,0.00,,,0.000
김강률,21, P,,50,0,51.2,11,4,7,0,100.0,1.92,,,,,,,,,0.00,0.00,,,0.000
이영하,19, P,,29,27,163.1,29,4,22,3,89.7,1.43,,,,,,,,,0.00,0.00,,,0.000
윤명준,20, P,,42,0,41.0,6,0,6,0,100.0,1.32,,,,,,,,,0.00,0.00,,,0.000
박정수,23, P,,25,0,36.2,9,2,7,0,100.0,2.21,,,,,,,,,0.00,0.00,,,0.000
김강률,22, P,,26,0,24.2,2,1,1,0,100.0,0.73,,,,,,,,,0.00,0.00,,,0.000
최지강,24, P,,33,0,30.1,6,0,6,0,100.0,1.78,,,,,,,,,0.00,0.00,,,0.000
권휘,21, P,,24,0,20.1,4,1,3,0,100.0,1.77,,,,,,,,,0.00,0.00,,,0.000
김태근,19, LF,,2,0,3.0,0,0,0,0,,0.00,-0.08,,0.00,,,,,,-0.08,-1.27,,,-0.008
김명신,22, P,,67,0,79.2,13,4,9,0,100.0,1.47,,,,,,,,,0.00,0.00,,,0.000
함덕주,20, P,,36,6,55.1,6,2,4,0,100.0,0.98,,,,,,,,,0.00,0.00,,,0.000
함덕주,19, P,,58,0,54.2,10,1,9,0,100.0,1.65,,,,,,,,,0.00,0.00,,,0.000
이형범,20, P,,27,0,25.2,6,2,3,1,83.3,1.75,,,,,,,,,0.00,0.00,,,0.000
정철원,22, P,,58,0,72.2,22,4,18,0,100.0,2.72,,,,,,,,,0.00,0.00,,,0.000
조수행,20, LF,,10,0,14.0,1,1,0,0,100.0,0.64,-0.48,0.14,0.02,,,,,,-0.32,-1.05,,,-0.028
홍건희,23, P,,64,0,61.2,10,1,7,2,80.0,1.17,,,,,,,,,0.00,0.00,,,0.000
오재원,21, CF,,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.00,,,0.000
박치국,21, P,,23,0,22.0,6,2,4,0,100.0,2.45,,,,,,,,,0.00,,,,0.000
김강률,20, P,,30,0,28.0,6,2,3,1,83.3,1.61,,,,,,,,,0.00,0.00,,,0.000
김민규,20, P,,29,4,53.1,5,3,2,0,100.0,0.84,,,,,,,,,0.00,0.00,,,0.000
임창민,22, P,,30,0,27.1,4,1,2,1,75.0,0.99,,,,,,,,,0.00,0.00,,,0.000
김동주,24, P,,9,6,29.2,3,1,2,0,100.0,0.91,,,,,,,,,0.00,0.00,,,0.000
이영하,22, P,,21,20,98.2,23,3,18,2,91.3,1.92,,,,,,,,,0.00,,,,0.000
권휘,20, P,,13,0,13.2,1,0,1,0,100.0,0.66,,,,,,,,,0.00,0.00,,,0.000
신성현,23, CF,,1,0,2.0,1,1,0,0,100.0,4.50,0.16,0.04,0.00,,,,,,0.20,2.36,,,0.019
권민석,21, SS,,1,1,1.0,0,0,0,0,,0.00,-0.08,,0.00,0.00,,,,,-0.08,-0.36,,,-0.008
윤명준,22, P,,20,0,22.1,5,1,4,0,100.0,2.01,,,,,,,,,0.00,0.00,,,0.000
김대한,19, RF,,2,0,3.0,2,2,0,0,100.0,6.00,0.02,-0.31,0.01,,,,,,-0.28,-2.16,,,-0.028
