이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
이주엽,20, P,0.00,4,0,4,2,0,0,0,0,0,0,3.1,3,3,3.00,19,3,1,0,0,7,0,0,2,0,0,1,8.10,8.10,8.10,7.28,9.01,3.00
홍상삼,19, P,0.00,3,1,2,1,0,0,0,0,0,0,5.2,3,3,3.00,26,5,0,0,1,4,1,0,5,0,0,5,4.76,4.76,4.76,5.48,6.44,1.59
최승용,21, P,-0.01,15,2,13,1,0,0,0,0,0,2,18.1,8,10,12.45,83,20,3,1,3,10,1,0,16,3,0,0,3.93,4.91,6.11,6.31,5.39,1.64
문대원,21, P,-0.01,2,0,2,1,0,0,0,0,0,0,1.1,1,1,1.35,9,2,0,0,1,2,0,0,1,1,0,0,6.75,6.75,9.11,9.12,15.47,3.00
이형범,22, P,-0.02,31,0,31,14,0,0,0,1,0,0,31.0,15,17,19.00,142,34,7,0,1,11,4,0,17,4,0,2,4.35,4.94,5.52,5.93,4.30,1.45
남호,21, P,-0.03,5,0,5,1,0,0,0,1,0,0,2.2,3,3,2.00,13,3,1,0,0,3,0,0,2,0,0,0,10.13,10.13,6.75,7.58,5.38,2.25
권휘,22, P,-0.03,10,0,10,1,0,0,0,0,0,1,9.1,6,6,5.85,40,8,0,0,1,5,1,0,5,0,0,2,5.79,5.79,5.64,6.17,5.71,1.39
박정수,24, P,-0.03,19,1,18,2,0,0,1,2,0,3,19.2,13,14,14.55,89,24,3,0,1,9,0,0,15,0,0,2,5.95,6.41,6.66,6.77,4.29,1.68
고봉재,21, P,-0.03,1,0,1,0,0,0,0,0,0,0,1.1,4,4,4.00,8,5,0,0,1,0,0,0,0,0,0,0,27.00,27.00,27.00,24.28,12.69,3.75
이영하,21, P,-0.04,35,11,24,4,0,0,5,6,1,2,78.2,55,58,56.95,364,81,18,0,9,57,1,0,53,3,0,7,6.29,6.64,6.52,6.78,5.73,1.75
조제영,20, P,-0.04,4,1,3,3,0,0,0,1,0,0,6.0,7,7,5.45,31,6,1,0,1,7,1,0,6,0,0,1,10.50,10.50,8.18,7.58,7.61,2.17
박신지,23, P,-0.04,15,1,14,7,0,0,0,0,0,0,26.0,16,16,16.70,129,39,13,0,1,11,3,0,15,0,0,2,5.54,5.54,5.78,5.99,4.53,1.92
최종인,24, P,-0.04,2,0,2,1,0,0,0,0,0,0,1.2,4,4,4.50,12,6,0,0,2,1,0,0,3,0,0,0,21.60,21.60,24.30,24.33,15.81,4.20
정철원,23, P,-0.05,67,0,67,24,0,0,7,6,13,11,72.2,32,36,40.60,315,66,6,0,8,32,2,2,55,6,1,6,3.96,4.46,5.03,5.25,4.63,1.35
