이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
이승현,24, P,0.41,25,0,25,1,0,0,4,1,0,3,28.1,12,12,13.40,113,27,8,1,1,7,2,0,25,0,0,0,3.81,3.81,4.26,4.03,3.37,1.20
이승현,22, P,0.41,58,0,58,12,0,0,2,4,1,14,47.2,24,28,28.90,212,43,10,1,5,21,3,2,57,5,0,6,4.53,5.29,5.46,5.26,3.47,1.34
문용익,22, P,0.40,39,0,39,11,0,0,1,2,1,2,37.2,14,20,20.85,163,31,5,0,2,22,2,0,23,2,0,2,3.35,4.78,4.98,4.84,4.86,1.41
노성호,20, P,0.38,45,0,45,7,0,0,2,3,0,10,36.1,18,23,21.60,166,28,5,0,3,29,2,1,34,3,0,7,4.46,5.70,5.35,5.11,5.28,1.57
노성호,21, P,0.38,16,0,16,4,0,0,0,2,0,1,19.0,10,10,8.95,82,10,1,0,2,14,1,0,19,0,0,2,4.74,4.74,4.24,3.88,4.97,1.26
백정현,20, P,0.36,11,11,0,0,0,0,4,4,0,0,59.0,34,43,43.00,258,67,15,2,13,17,1,0,46,4,0,1,5.19,6.56,6.56,6.56,5.61,1.42
최하늘,22, P,0.33,14,5,9,4,0,0,1,4,0,1,33.2,23,23,22.25,156,42,4,1,5,15,2,0,18,0,1,0,6.15,6.15,5.95,5.60,5.78,1.69
김태훈,24, P,0.30,26,0,26,4,0,0,2,1,0,8,27.2,11,11,13.40,117,25,3,1,1,8,3,0,16,1,0,2,3.58,3.58,4.36,4.32,4.39,1.19
심창민,21, P,0.30,59,0,59,7,0,0,3,2,0,16,51.1,29,32,31.30,238,47,12,0,8,32,6,0,58,3,1,2,5.08,5.61,5.49,5.34,5.09,1.54
김대우,23, P,0.29,44,5,39,5,0,0,0,2,0,4,64.0,32,37,39.90,277,66,9,1,7,22,3,1,49,3,0,1,4.50,5.20,5.61,5.47,4.40,1.38
이재익,23, P,0.29,51,0,51,5,0,0,1,3,0,11,41.0,18,19,24.50,181,46,5,1,3,17,0,3,26,3,0,3,3.95,4.17,5.38,5.20,4.27,1.54
문용익,21, P,0.25,22,0,22,6,0,0,2,0,0,2,22.0,11,11,12.40,98,21,3,0,3,10,1,0,19,1,0,4,4.50,4.50,5.07,4.76,4.78,1.41
장필준,20, P,0.25,31,2,29,9,0,0,0,3,0,4,36.0,23,24,23.85,170,46,9,0,6,16,0,0,26,2,0,5,5.75,6.00,5.96,5.76,5.55,1.72
문용익,23, P,0.23,14,0,14,7,0,0,1,0,0,0,13.0,6,6,5.50,59,8,1,0,0,12,2,0,12,0,0,5,4.15,4.15,3.81,3.62,4.88,1.54
허윤동,22, P,0.23,12,12,0,0,0,0,4,3,0,0,55.0,40,43,40.05,264,64,13,0,8,34,6,0,36,1,0,2,6.55,7.04,6.55,6.26,6.13,1.78
최채흥,23, P,0.21,15,14,1,0,0,0,1,7,0,0,63.1,47,52,46.85,295,90,13,3,9,16,3,1,33,6,1,1,6.68,7.39,6.66,6.55,5.12,1.67
이승민,22, P,0.20,2,0,2,0,0,0,0,0,0,0,5.1,1,1,1.00,23,2,1,0,0,5,0,0,2,0,0,0,1.69,1.69,1.69,1.57,5.75,1.31
양창섭,20, P,0.18,7,0,7,4,0,0,0,0,0,0,6.2,2,2,2.00,29,6,1,0,1,3,0,1,4,0,0,0,2.70,2.70,2.70,2.65,5.21,1.35
김시현,19, P,0.18,14,0,14,6,0,0,0,0,0,0,16.1,8,9,8.30,71,16,2,0,3,8,1,0,10,1,0,1,4.41,4.96,4.57,4.00,6.17,1.47
우규민,20, P,0.17,52,0,52,17,0,0,3,3,7,11,48.0,33,34,31.30,210,61,10,1,3,9,1,1,30,0,0,0,6.19,6.38,5.87,5.45,3.76,1.46
김윤수,19, P,0.17,5,2,3,1,0,0,1,1,0,0,11.2,6,6,6.35,54,10,3,1,2,10,0,0,9,0,0,0,4.63,4.63,4.90,4.27,6.58,1.71
김윤수,20, P,0.16,61,0,61,14,0,0,3,5,0,12,58.0,30,34,39.85,266,66,9,0,6,31,1,3,41,3,0,7,4.66,5.28,6.18,5.79,5.06,1.67
이상민,21, P,0.15,30,0,30,6,0,0,1,1,0,3,24.2,13,15,16.55,110,28,6,1,2,14,0,0,14,2,0,1,4.74,5.47,6.04,5.92,5.07,1.70
우규민,23, P,0.15,56,0,56,4,0,0,3,1,0,13,43.0,23,25,25.25,188,55,9,0,3,5,3,0,28,1,0,0,4.81,5.23,5.28,5.16,3.63,1.40
김윤수,22, P,0.15,37,1,36,5,0,0,3,3,0,3,35.0,23,29,22.95,168,39,9,0,2,22,2,1,32,5,0,6,5.91,7.46,5.90,5.59,4.22,1.74
김대우,22, P,0.15,4,0,4,1,0,0,1,0,0,0,4.1,1,1,1.00,16,4,0,0,0,0,0,0,5,0,0,0,2.08,2.08,2.08,2.33,0.90,0.92
이승민,20, P,0.14,7,5,2,2,0,0,1,3,0,0,26.1,20,21,20.50,128,34,5,0,5,19,0,1,16,1,0,0,6.84,7.18,7.01,6.70,6.97,2.01
박주혁,22, P,0.14,8,0,8,6,0,0,0,0,0,0,6.2,1,3,2.15,29,5,0,0,1,4,0,0,3,0,0,1,1.35,4.05,2.90,2.76,6.30,1.35
홍정우,21, P,0.13,15,0,15,4,0,0,2,0,0,0,15.2,6,6,8.60,64,14,3,1,3,4,0,0,12,0,0,1,3.45,3.45,4.94,4.99,4.92,1.15
김대우,24, P,0.13,16,1,15,9,0,0,0,0,0,0,23.1,13,16,15.00,103,27,7,0,2,4,1,1,15,3,0,1,5.01,6.17,5.79,5.61,4.11,1.33
이재희,23, P,0.12,2,1,1,0,0,0,0,0,0,0,8.0,3,3,3.00,33,4,1,0,1,5,0,0,5,0,0,1,3.38,3.38,3.38,3.52,5.71,1.13
홍원표,23, P,0.12,3,0,3,0,0,0,0,0,0,0,3.2,1,1,0.50,15,2,0,0,0,2,0,0,1,0,0,0,2.45,2.45,1.23,1.22,4.86,1.09
최충연,22, P,0.11,38,0,38,13,0,0,0,1,0,0,38.1,20,24,25.25,177,39,10,1,3,20,5,3,29,5,0,3,4.70,5.63,5.93,5.82,4.60,1.54
권오준,19, P,0.11,43,0,43,17,0,0,3,0,0,3,43.0,25,25,28.10,187,49,10,1,7,12,2,0,26,0,0,0,5.23,5.23,5.88,5.45,5.24,1.42
김대우,19, P,0.11,44,0,44,12,0,0,5,1,0,1,59.2,34,38,39.95,253,61,16,2,11,16,5,0,40,0,0,2,5.13,5.73,6.03,5.35,5.42,1.29
백정현,24, P,0.10,2,2,0,0,0,0,0,0,0,0,8.1,5,5,5.00,38,9,1,1,0,7,0,0,3,0,0,0,5.40,5.40,5.40,5.36,5.87,1.92
정인욱,19, P,0.07,12,2,10,2,0,0,0,2,0,0,21.2,17,17,16.00,106,24,9,0,1,15,2,0,15,1,0,3,7.06,7.06,6.65,6.16,5.06,1.80
이승현,23, P,0.05,48,0,48,12,0,0,1,5,5,7,43.1,24,26,27.20,199,41,6,0,6,29,2,1,37,4,0,2,4.98,5.40,5.65,5.47,5.51,1.62
최지광,24, P,0.04,2,0,2,0,0,0,0,0,0,0,2.2,1,1,1.00,14,3,0,0,0,3,0,0,2,0,0,0,3.38,3.38,3.38,3.25,5.78,2.25
이상민,20, P,0.04,17,1,16,2,0,0,0,1,0,1,14.0,10,10,9.80,69,17,2,0,4,11,1,1,13,1,0,2,6.43,6.43,6.30,5.80,7.51,2.00
장필준,22, P,0.04,19,1,18,1,0,0,0,3,0,0,30.0,19,20,20.35,139,38,11,1,1,15,3,2,17,1,0,1,5.70,6.00,6.11,5.87,4.42,1.77
윤성환,20, P,0.04,5,5,0,1,1,0,0,2,0,0,18.2,12,14,14.00,84,19,4,2,0,11,3,0,4,2,0,0,5.79,6.75,6.75,6.45,5.78,1.61
이수민,22, P,0.02,4,0,4,0,0,0,0,0,0,0,4.2,3,3,3.00,23,3,0,0,1,5,1,0,2,1,0,0,5.79,5.79,5.79,6.19,9.25,1.71
최하늘,24, P,0.02,26,0,26,4,0,0,1,1,0,1,32.0,19,20,20.85,138,25,4,0,2,16,4,0,18,3,0,2,5.34,5.63,5.86,5.74,5.44,1.28
임현준,21, P,0.01,27,0,27,2,0,0,1,2,0,5,11.0,8,8,8.95,52,11,1,2,0,7,4,0,8,0,0,0,6.55,6.55,7.32,6.91,5.05,1.64
홍원표,24, P,0.01,4,0,4,4,0,0,0,0,0,0,6.1,3,3,4.20,28,4,1,0,1,6,0,0,5,0,0,0,4.26,4.26,5.97,5.50,7.01,1.58
박세웅,22, P,0.01,5,0,5,2,0,0,0,0,0,0,2.2,2,2,2.00,14,1,0,0,0,5,1,0,2,0,0,0,6.75,6.75,6.75,7.05,8.88,2.25
이재익,21, P,0.01,11,0,11,4,0,0,2,0,0,0,10.0,5,6,7.55,51,11,0,0,1,12,0,1,5,1,0,0,4.50,5.40,6.80,6.60,7.12,2.30
이상민,22, P,0.01,46,0,46,6,0,0,0,0,0,9,29.1,12,13,19.75,138,30,6,1,5,15,3,1,23,2,0,2,3.68,3.99,6.06,5.99,5.75,1.53
박권후,23, P,0.00,4,0,4,2,0,0,0,0,0,0,2.2,1,2,2.00,13,4,0,0,1,1,0,0,0,0,1,0,3.38,6.75,6.75,6.31,9.47,1.88
양현,24, P,0.00,8,0,8,1,0,0,0,0,0,0,6.2,5,5,4.85,34,12,2,0,1,3,1,0,6,0,0,0,6.75,6.75,6.55,6.19,5.56,2.25
노성호,22, P,-0.01,3,0,3,0,0,0,0,0,0,0,2.0,1,1,1.50,11,2,0,0,0,3,0,0,2,0,0,0,4.50,4.50,6.75,6.28,5.93,2.50
이재익,22, P,-0.01,42,0,42,9,0,0,3,2,0,7,33.1,22,25,23.95,149,41,7,0,4,9,1,0,21,3,0,0,5.94,6.75,6.47,6.22,4.57,1.50
