이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
피렐라,22, LF,6.23,7.79,-1.57,141,630,619,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,0.073,164.9
구자욱,21, RF,5.56,5.20,0.36,139,610,609,543,107,166,30,10,22,282,88,27,4,48,6,3,98,9,1,12,0.306,0.361,0.519,0.880,0.031,129.0
박해민,20, CF,5.48,2.01,3.48,132,541,534,489,84,142,18,5,11,203,55,34,12,39,3,1,77,7,7,3,0.290,0.345,0.415,0.760,-0.015,91.6
구자욱,23, RF,5.44,5.28,0.15,119,515,511,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,0.336,0.407,0.494,0.901,0.053,148.9
박해민,21, CF,4.19,3.21,0.98,127,542,532,454,78,132,22,1,5,171,54,36,15,69,3,2,82,3,9,7,0.291,0.383,0.377,0.760,0.012,112.7
러프,19, 1B,4.13,5.24,-1.12,133,568,564,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,0.292,0.396,0.515,0.911,0.044,141.0
구자욱,20, RF,3.96,3.81,0.15,118,510,508,446,70,137,27,2,15,213,78,19,5,51,8,3,91,4,1,4,0.307,0.385,0.478,0.863,0.029,124.9
박해민,19, CF,3.92,1.17,2.74,144,581,569,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,-0.030,78.8
강민호,21, C,3.91,3.22,0.69,123,462,460,406,55,118,22,0,18,194,67,0,0,45,4,4,53,18,0,7,0.291,0.361,0.478,0.839,0.020,120.0
김지찬,22, 2B,3.79,2.29,1.51,113,429,410,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2,0.280,0.361,0.332,0.693,-0.002,101.6
구자욱,19, RF,3.25,2.65,0.60,122,526,525,475,66,127,27,6,15,211,71,11,3,38,7,2,88,5,0,6,0.267,0.327,0.444,0.771,0.000,104.1
강민호,20, C,3.11,2.17,0.94,119,393,392,355,46,102,14,0,19,173,61,0,0,31,4,2,54,17,0,3,0.287,0.349,0.487,0.836,0.008,108.7
피렐라,21, LF,3.10,4.44,-1.34,140,621,619,553,102,158,25,2,29,274,97,9,6,57,8,2,89,8,0,3,0.286,0.359,0.495,0.854,0.026,124.2
김상수,20, 2B,3.06,3.19,-0.13,120,471,469,404,71,123,18,3,5,162,47,10,3,55,8,1,55,16,2,2,0.304,0.397,0.401,0.798,0.020,118.0
이재현,23, SS,2.98,1.58,1.41,143,538,522,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.330,0.378,0.708,-0.017,90.2
오재일,21, 1B,2.88,3.08,-0.19,120,484,478,418,64,119,20,0,25,214,97,1,0,58,0,8,106,5,0,8,0.285,0.366,0.512,0.878,0.018,117.9
김상수,19, 2B,2.79,2.90,-0.11,129,543,537,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,0.271,0.358,0.355,0.713,0.000,103.4
강민호,23, C,2.61,3.09,-0.48,125,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.290,0.366,0.445,0.811,0.013,115.4
이학주,19, SS,2.59,1.32,1.28,118,436,431,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,-0.020,86.6
김영웅,24, SS,2.58,1.51,1.08,62,261,260,224,33,61,9,1,13,111,36,6,1,32,2,0,77,2,1,2,0.272,0.365,0.496,0.861,0.014,108.9
김현준,22, CF,2.53,2.50,0.03,118,422,414,363,57,100,19,4,0,127,22,6,3,45,6,0,80,1,8,0,0.275,0.365,0.350,0.715,0.012,112.8
김지찬,23, 2B,2.46,2.62,-0.16,99,355,348,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.330,0.738,0.020,120.5
오재일,22, 1B,2.42,3.27,-0.85,135,536,529,470,57,126,42,0,21,231,94,2,1,57,2,8,133,7,0,7,0.268,0.345,0.491,0.836,0.014,114.8
강민호,19, C,2.32,0.96,1.36,112,393,390,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.720,-0.022,84.8
구자욱,24, LF,2.26,2.25,0.01,60,267,266,236,36,71,16,1,10,119,41,4,2,21,8,1,40,3,0,2,0.301,0.375,0.504,0.879,0.041,128.8
김성윤,23, RF,2.23,1.58,0.65,101,272,268,245,40,77,4,6,2,99,28,20,4,14,4,0,35,2,4,5,0.314,0.354,0.404,0.758,-0.001,103.3
강한울,22, 3B,1.87,1.57,0.30,94,252,248,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,4,2,0.323,0.375,0.398,0.773,0.015,116.0
김동엽,20, LF,1.85,2.80,-0.95,115,451,450,413,60,129,21,0,20,210,74,4,4,29,4,0,79,14,1,4,0.312,0.360,0.508,0.868,0.017,115.4
이원석,22, 3B,1.69,2.18,-0.49,88,335,332,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,0.267,0.346,0.417,0.763,0.021,120.5
김헌곤,19, LF,1.68,2.09,-0.42,114,467,462,411,57,122,20,1,5,159,46,10,8,37,8,1,41,18,5,6,0.297,0.361,0.387,0.748,0.000,103.9
김지찬,24, CF,1.67,1.38,0.29,62,249,244,211,39,62,9,0,1,74,15,19,1,26,6,0,15,3,5,1,0.294,0.385,0.351,0.736,0.000,98.1
이성규,24, RF,1.63,0.96,0.68,60,156,152,129,22,32,5,0,10,67,27,6,0,12,9,0,43,2,4,2,0.248,0.349,0.519,0.868,0.016,109.7
이학주,20, SS,1.45,0.08,1.38,64,243,239,206,30,47,11,0,4,70,28,6,2,26,2,1,58,3,4,5,0.228,0.314,0.340,0.654,-0.050,65.3
김호재,20, 2B,1.25,1.14,0.11,65,138,137,118,19,38,5,0,1,46,10,2,0,16,3,0,19,1,1,0,0.322,0.416,0.390,0.806,0.030,125.7
김현준,23, CF,1.24,1.38,-0.13,109,479,471,433,62,119,10,6,3,150,46,5,5,30,5,0,84,5,8,3,0.275,0.327,0.346,0.673,-0.018,88.7
맥키넌,24, 1B,1.24,1.28,-0.03,58,261,259,226,26,68,9,0,4,89,25,1,0,33,1,3,25,6,0,1,0.301,0.391,0.394,0.785,0.011,106.7
김지찬,21, 2B,1.23,0.61,0.62,120,336,326,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3,0.274,0.331,0.304,0.635,-0.038,73.1
이원석,19, 3B,1.19,2.08,-0.88,111,455,453,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,0.246,0.327,0.441,0.768,-0.003,101.5
김재성,22, DH,1.17,1.43,-0.25,63,185,184,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3,0.335,0.402,0.453,0.855,0.040,136.9
김헌곤,21, LF,1.08,1.69,-0.61,118,364,361,317,38,89,8,2,4,113,27,5,4,34,5,0,46,9,3,5,0.281,0.355,0.356,0.711,0.000,103.4
살라디노,20, 3B,1.05,1.84,-0.79,44,163,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,0.280,0.411,0.477,0.888,0.061,149.2
김지찬,20, 2B,1.04,-0.34,1.38,135,287,282,254,47,59,5,1,1,69,13,21,4,24,2,0,44,1,5,2,0.232,0.301,0.272,0.573,-0.074,47.3
김동진,23, 2B,1.04,0.40,0.64,44,137,134,122,14,32,7,0,0,39,8,3,0,9,1,0,26,4,3,2,0.262,0.313,0.320,0.633,-0.027,81.7
박승규,21, CF,1.03,0.32,0.71,59,78,77,66,13,12,1,0,3,22,5,1,1,9,2,0,9,4,1,0,0.182,0.299,0.333,0.632,-0.008,97.0
이원석,21, 3B,1.01,1.42,-0.42,131,480,478,399,40,92,19,0,9,138,59,1,0,60,11,2,80,11,2,8,0.231,0.341,0.346,0.687,-0.017,89.5
오재일,23, 1B,0.99,0.26,0.73,106,364,364,315,31,64,15,0,11,112,54,1,0,43,3,1,110,1,0,3,0.203,0.302,0.356,0.658,-0.038,71.4
이원석,23, 1B,0.98,1.07,-0.10,19,72,72,58,6,21,4,0,1,28,10,0,1,14,0,0,8,1,0,0,0.362,0.486,0.483,0.969,0.100,189.2
이재현,24, SS,0.92,0.75,0.17,35,145,144,129,24,39,9,0,4,60,20,1,0,15,0,1,27,1,0,1,0.302,0.372,0.465,0.837,0.011,106.5
김태군,22, C,0.91,1.22,-0.31,102,235,229,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,0.298,0.358,0.380,0.738,0.008,109.5
구자욱,22, RF,0.91,2.09,-1.18,99,442,440,409,69,120,23,3,5,164,38,11,1,27,3,2,84,7,1,2,0.293,0.340,0.401,0.741,-0.003,100.7
피렐라,23, LF,0.70,3.71,-3.01,139,605,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,0.014,115.9
강민호,24, C,0.66,0.56,0.10,61,182,181,159,17,45,4,1,3,60,24,0,0,16,4,1,15,8,0,3,0.283,0.357,0.377,0.734,-0.007,93.0
