이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
박해민,20, CF,3.207,126,121,1019.1,345,340,5,0,100.0,3.05,35.06,0.18,1.11,,,,,,36.36,39.66,0.00,36.36,3.207
박해민,19, CF,2.339,140,130,1147.0,394,385,7,2,99.5,3.08,22.05,1.37,0.47,,,,,,23.90,23.90,0.00,23.90,2.339
강민호,19, C,1.432,109,104,842.0,715,660,47,8,98.9,7.56,-1.57,,-0.42,,-0.26,0.59,5.28,1.79,5.40,6.94,9.24,14.64,0.528
이재현,23, SS,1.403,140,135,1156.1,583,222,341,20,96.6,4.38,2.44,,1.85,-0.44,,,,,3.85,3.88,10.64,14.49,0.373
강민호,20, C,1.359,113,103,862.2,691,640,43,8,98.8,7.13,-0.24,,-0.76,,-0.31,2.28,1.78,3.46,6.22,7.52,9.19,15.41,0.549
이학주,20, SS,1.318,62,57,483.1,273,108,161,4,98.5,5.01,11.34,,0.70,-1.85,,,,,10.20,22.95,4.74,14.94,0.900
김지찬,22, 2B,1.151,96,83,734.1,463,194,251,18,96.1,5.45,8.15,,-0.59,0.54,,,,,8.10,10.32,3.69,11.79,0.791
강민호,21, C,1.144,119,110,934.0,856,800,49,7,99.2,8.18,0.06,,-0.47,,0.14,-1.20,2.40,0.12,1.04,1.22,10.92,11.96,0.099
김영웅,24, SS,1.073,34,29,274.2,143,64,75,4,97.2,4.55,6.40,,0.08,2.24,,,,,8.72,20.24,2.60,11.32,0.827
이학주,19, SS,1.052,116,110,935.1,455,155,281,19,95.8,4.20,1.31,,-0.18,1.02,,,,,2.15,2.63,8.60,10.75,0.211
박해민,21, CF,0.784,125,119,989.2,283,280,2,1,99.6,2.56,7.40,0.28,0.52,,,,,,8.20,9.30,0.00,8.20,0.784
이성규,24, RF,0.669,35,23,208.1,63,59,2,2,96.8,2.64,7.73,0.59,-0.35,,,,,,7.98,19.15,-0.93,7.05,0.757
