이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
스트레일리,20, P,8.18,31,31,0,0,0,0,15,4,0,0,194.2,54,61,60.30,777,148,27,2,10,51,7,0,205,7,0,4,2.50,2.82,2.79,2.65,2.90,1.02
반즈,23, P,5.74,30,30,0,0,0,0,11,10,0,0,170.1,62,68,65.40,734,171,34,1,6,56,15,1,147,7,0,7,3.28,3.59,3.46,3.41,3.40,1.33
반즈,22, P,5.70,31,31,0,0,0,0,12,12,0,0,186.1,75,87,80.15,788,176,27,5,8,47,18,1,160,10,0,7,3.62,4.20,3.87,3.75,3.21,1.20
박세웅,21, P,5.23,28,28,0,1,1,1,10,9,0,0,163.0,72,75,72.40,685,141,24,0,20,53,10,0,125,7,0,17,3.98,4.14,4.00,3.80,4.51,1.19
레일리,19, P,5.16,30,30,0,0,0,0,5,14,0,0,181.0,78,88,83.20,791,191,32,4,10,65,8,1,140,12,1,10,3.88,4.38,4.14,3.98,3.78,1.41
박세웅,23, P,4.63,27,27,0,0,0,0,9,7,0,0,154.0,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.93,3.82,3.62,1.32
스트레일리,21, P,4.37,31,31,0,0,0,0,10,12,0,0,165.2,75,85,81.60,714,162,25,2,12,67,7,0,164,8,1,8,4.07,4.62,4.43,4.24,3.54,1.38
박세웅,22, P,3.97,28,28,0,0,0,0,10,11,0,0,157.1,68,80,77.45,679,179,32,4,8,32,8,1,146,12,0,8,3.89,4.58,4.43,4.31,2.84,1.34
이인복,22, P,3.48,26,23,3,0,0,0,9,9,0,1,126.2,59,63,60.25,547,153,22,1,6,30,4,0,71,6,0,4,4.19,4.48,4.28,4.06,3.78,1.44
나균안,23, P,3.40,23,23,0,0,0,0,6,8,0,0,130.1,55,61,58.75,569,140,27,3,8,42,5,1,114,4,0,6,3.80,4.21,4.06,3.96,3.51,1.40
윌커슨,24, P,3.13,13,13,0,1,1,1,5,5,0,0,81.0,31,33,33.00,326,82,16,1,9,8,1,0,72,4,0,3,3.44,3.67,3.67,3.54,3.61,1.11
윌커슨,23, P,3.03,13,13,0,0,0,0,7,2,0,0,79.2,20,28,27.50,327,67,15,2,3,20,2,0,81,5,1,3,2.26,3.16,3.11,3.04,2.61,1.09
박세웅,20, P,2.74,28,28,0,0,0,0,8,10,0,0,147.1,77,85,84.30,658,177,27,2,20,47,8,0,108,8,0,13,4.70,5.19,5.15,5.03,4.94,1.52
노경은,20, P,2.74,25,24,1,1,1,0,5,10,0,0,133.0,72,76,73.40,574,139,31,1,19,40,3,2,77,6,0,3,4.87,5.14,4.97,4.77,5.20,1.35
나균안,22, P,2.73,39,13,26,1,0,0,3,8,0,2,117.2,52,55,56.55,506,125,36,3,5,37,3,1,123,2,0,6,3.98,4.21,4.33,4.16,2.73,1.38
반즈,24, P,2.55,11,11,0,0,0,0,3,2,0,0,63.1,25,25,24.30,264,61,8,1,7,20,3,0,79,2,0,2,3.55,3.55,3.45,3.28,3.49,1.28
스트레일리,22, P,2.44,11,11,0,0,0,0,4,2,0,0,62.1,16,24,22.45,260,54,8,0,5,22,6,0,55,4,0,2,2.31,3.47,3.24,3.18,3.93,1.22
장시환,19, P,2.27,27,27,0,0,0,0,6,13,0,0,125.1,69,78,71.95,570,147,29,1,12,58,2,1,109,9,0,17,4.95,5.60,5.17,5.09,4.23,1.64
최준용,21, P,2.12,44,0,44,6,0,0,4,2,1,20,47.1,15,16,14.80,195,41,7,0,6,16,1,3,45,1,0,1,2.85,3.04,2.81,2.69,3.95,1.20
프랑코,21, P,2.10,37,27,10,1,0,0,9,8,0,1,150.0,90,97,95.95,677,147,31,2,20,75,20,0,124,6,1,6,5.40,5.82,5.76,5.37,5.25,1.48
진명호,19, P,2.00,60,0,60,6,0,0,3,2,0,9,63.1,24,24,24.45,273,56,12,0,4,35,1,4,51,1,0,3,3.41,3.41,3.47,3.31,4.16,1.44
구승민,22, P,1.89,73,0,73,9,0,0,2,4,0,26,62.0,20,20,23.95,263,46,8,1,3,35,1,4,77,0,0,7,2.90,2.90,3.48,3.43,2.91,1.31
김원중,21, P,1.86,61,0,61,55,0,0,4,4,35,0,62.2,25,26,27.90,268,50,8,0,6,28,3,4,64,2,0,8,3.59,3.73,4.01,3.78,3.79,1.24
