이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
김동혁,24, CF,-0.09,-0.01,-0.08,11,6,6,6,1,2,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0.333,0.333,0.333,0.666,-0.048,61.8
유강남,24, C,-0.09,-0.49,0.40,46,140,138,125,7,24,3,0,5,42,17,0,0,7,6,0,25,2,2,0,0.192,0.268,0.336,0.604,-0.064,50.4
이학주,24, SS,-0.10,0.20,-0.30,37,102,100,93,13,25,2,2,2,37,4,0,1,6,1,0,42,0,2,0,0.269,0.320,0.398,0.718,-0.012,89.0
강로한,21, CF,-0.10,-0.11,0.01,21,35,35,33,7,4,0,0,2,10,4,0,0,2,0,0,18,0,0,0,0.121,0.171,0.303,0.474,-0.088,31.8
서동욱,23, RF,-0.12,-0.15,0.03,13,20,20,17,2,2,1,0,0,3,0,0,0,3,0,0,5,1,0,0,0.118,0.250,0.176,0.426,-0.098,20.8
고승민,19, 2B,-0.13,0.11,-0.24,30,89,88,83,7,21,6,2,0,31,6,0,0,4,0,0,16,1,1,1,0.253,0.284,0.373,0.657,-0.041,69.0
정보근,21, C,-0.14,-0.06,-0.08,11,20,20,18,0,5,0,0,0,5,0,0,1,2,0,0,2,1,0,0,0.278,0.350,0.278,0.628,-0.043,68.8
배성근,20, SS,-0.14,-0.25,0.11,4,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.326,-145.6
이호연,22, 3B,-0.15,0.13,-0.29,88,222,218,205,20,50,10,1,2,68,16,3,1,11,2,1,38,5,4,0,0.244,0.289,0.332,0.621,-0.038,71.2
이주찬,21, 2B,-0.16,-0.23,0.07,3,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0.000,0.000,0.000,0.000,-0.315,-121.0
이병규,19, LF,-0.16,-0.10,-0.06,8,22,22,19,1,3,2,0,0,5,0,0,0,2,1,0,7,1,0,0,0.158,0.273,0.263,0.536,-0.073,42.2
강태율,22, C,-0.18,-0.49,0.31,19,38,35,32,0,3,1,0,0,4,3,0,0,2,1,0,9,2,3,0,0.094,0.171,0.125,0.296,-0.139,-7.0
정보근,22, C,-0.19,-1.15,0.96,95,226,216,199,8,38,2,0,1,43,15,1,0,14,2,0,55,4,10,1,0.191,0.250,0.216,0.466,-0.103,18.3
정훈,19, 1B,-0.20,0.08,-0.28,88,222,218,190,26,43,4,1,2,55,17,4,3,23,5,1,47,4,3,1,0.226,0.324,0.289,0.613,-0.042,68.8
김민석,23, CF,-0.21,1.24,-1.45,129,454,441,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.314,0.338,0.652,-0.024,83.9
나승엽,21, 3B,-0.22,-0.31,0.09,60,128,128,113,16,23,2,0,2,31,10,1,0,14,0,0,33,1,0,1,0.204,0.289,0.274,0.563,-0.072,44.7
추재현,22, RF,-0.23,-0.03,-0.19,33,66,66,58,10,13,4,0,0,17,5,1,0,7,1,0,17,1,0,0,0.224,0.318,0.293,0.611,-0.046,63.3
김민수,23, 3B,-0.23,0.01,-0.24,25,51,50,43,4,9,1,1,0,12,2,0,0,7,0,0,17,2,1,0,0.209,0.320,0.279,0.599,-0.050,62.2
김동한,20, 2B,-0.24,-0.27,0.02,82,73,73,68,23,15,5,0,0,20,5,10,4,5,0,0,8,2,0,0,0.221,0.274,0.294,0.568,-0.068,50.7
강태율,21, C,-0.26,-0.35,0.08,19,31,31,26,1,2,1,0,1,6,5,0,1,4,0,0,10,1,0,1,0.077,0.194,0.231,0.425,-0.129,-1.5
김문호,19, CF,-0.31,-0.03,-0.29,51,109,108,103,6,25,7,0,0,32,4,2,0,4,0,0,30,1,1,1,0.243,0.269,0.311,0.580,-0.062,51.3
김민수,19, 3B,-0.32,0.00,-0.32,11,37,37,34,0,8,3,0,0,11,1,0,0,1,2,0,14,2,0,0,0.235,0.297,0.324,0.621,-0.057,55.6
최항,24, 2B,-0.32,-0.49,0.17,35,83,83,75,4,16,2,0,0,18,6,0,0,8,0,0,19,2,0,0,0.213,0.289,0.240,0.529,-0.091,28.8
조홍석,19, CF,-0.33,-0.79,0.46,42,65,65,60,8,7,2,1,0,11,5,1,0,4,0,0,14,1,0,1,0.117,0.169,0.183,0.352,-0.150,-24.0
김민석,24, LF,-0.34,-0.14,-0.19,25,74,73,68,7,15,3,1,0,20,6,2,1,2,3,0,17,4,1,0,0.221,0.274,0.294,0.568,-0.061,52.1
신윤후,23, LF,-0.35,-0.39,0.05,28,27,27,25,2,1,0,0,0,1,1,1,0,0,2,0,8,0,0,0,0.040,0.111,0.040,0.151,-0.194,-60.3
장두성,21, RF,-0.35,0.13,-0.48,43,41,41,36,12,8,2,1,0,12,4,4,2,5,0,0,12,0,0,0,0.222,0.317,0.333,0.650,-0.035,75.2
윤동희,22, 1B,-0.36,-0.13,-0.22,4,13,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0,0,0.154,0.154,0.231,0.385,-0.157,-31.3
이주찬,24, 3B,-0.37,0.07,-0.45,14,24,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.174,0.208,0.348,0.556,-0.020,82.5
한태양,22, SS,-0.38,-0.34,-0.04,38,72,68,61,14,9,1,0,0,10,3,1,0,5,2,0,24,1,4,0,0.148,0.235,0.164,0.399,-0.107,16.5
정대선,23, 2B,-0.38,-0.33,-0.05,19,47,46,40,5,6,1,0,0,7,6,0,0,2,2,0,8,0,1,2,0.150,0.217,0.175,0.392,-0.113,9.9
신용수,19, 2B,-0.39,-0.18,-0.21,17,20,20,20,4,2,0,0,1,5,2,0,0,0,0,0,4,0,0,0,0.100,0.100,0.250,0.350,-0.140,-15.3
안중열,22, C,-0.42,-0.21,-0.22,33,84,84,71,8,11,0,0,2,17,2,0,1,11,2,0,19,2,0,0,0.155,0.286,0.239,0.525,-0.064,48.0
박승욱,24, SS,-0.45,0.10,-0.55,58,154,154,140,19,37,6,0,3,52,14,1,4,10,4,0,36,2,0,0,0.264,0.331,0.371,0.702,-0.019,83.8
안중열,19, C,-0.49,-0.68,0.19,73,145,144,136,10,26,6,1,2,40,4,0,1,6,2,0,41,2,1,0,0.191,0.236,0.294,0.530,-0.088,29.6
정보근,24, C,-0.49,-0.46,-0.03,30,61,60,59,1,13,0,1,0,15,2,0,0,1,0,0,12,3,1,0,0.220,0.233,0.254,0.487,-0.108,17.3
