이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
김민,24, P,0.36,23,1,22,0,0,0,1,1,0,6,24.2,16,16,12.55,110,27,4,0,2,10,1,0,26,3,0,1,5.84,5.84,4.58,4.64,3.88,1.50
심재민,22, P,0.33,44,1,43,7,0,0,4,1,0,6,43.1,18,19,21.90,184,41,6,2,4,16,2,3,21,2,0,0,3.74,3.95,4.55,4.45,4.82,1.32
슐서,23, P,0.33,9,9,0,0,0,0,1,7,0,0,49.2,31,32,31.00,221,66,9,1,6,14,0,1,35,1,0,2,5.62,5.80,5.62,5.55,4.34,1.61
전용주,23, P,0.28,15,0,15,4,0,0,0,1,0,1,10.1,5,5,3.15,43,6,4,0,0,6,1,0,9,0,0,4,4.35,4.35,2.74,2.74,3.77,1.16
하준호,19, P,0.28,8,0,8,1,0,0,0,0,0,0,8.0,1,1,1.00,33,4,0,0,1,4,0,0,11,0,0,1,1.13,1.13,1.13,1.12,3.41,1.00
이대은,19, P,0.27,44,8,36,30,0,0,4,2,17,0,86.0,39,48,47.70,391,89,17,1,10,39,6,1,59,9,0,5,4.08,5.02,4.99,5.03,5.10,1.49
우규민,24, P,0.23,16,0,16,7,0,0,0,1,0,1,14.2,6,7,8.20,66,22,4,0,0,1,0,0,12,0,0,0,3.68,4.30,5.03,4.71,2.33,1.57
하준호,20, P,0.21,42,1,41,7,0,0,0,3,0,5,41.2,28,30,24.70,189,38,6,0,1,27,2,1,26,2,0,2,6.05,6.48,5.34,5.30,4.88,1.56
박시영,22, P,0.20,17,0,17,6,0,0,0,2,0,5,15.2,8,8,7.10,68,19,1,0,2,4,0,1,11,0,0,0,4.60,4.60,4.08,4.00,4.14,1.47
조현우,22, P,0.20,19,0,19,3,0,0,0,0,0,2,12.0,6,8,5.20,57,14,3,1,0,4,4,0,5,1,0,0,4.50,6.00,3.90,3.72,4.81,1.50
김민,22, P,0.18,6,0,6,0,0,0,0,0,0,2,7.2,2,2,2.50,28,4,0,0,1,2,1,0,8,0,0,0,2.35,2.35,2.93,3.01,3.94,0.78
이상화,20, P,0.17,18,0,18,6,0,0,1,1,0,1,15.0,9,9,7.80,65,11,2,0,2,10,0,2,7,0,0,1,5.40,5.40,4.68,4.55,6.07,1.40
강건,23, P,0.16,4,0,4,3,0,0,0,0,1,0,6.2,1,1,1.70,28,4,2,0,0,3,0,0,8,1,0,1,1.35,1.35,2.30,2.10,2.24,1.05
주권,23, P,0.15,42,3,39,8,0,0,1,2,0,5,47.0,23,23,28.05,205,49,7,1,4,19,2,2,17,2,0,0,4.40,4.40,5.37,5.19,5.28,1.45
전유수,19, P,0.15,62,1,61,13,0,0,3,1,1,7,66.1,25,31,34.90,280,66,16,1,2,18,4,4,46,2,0,6,3.39,4.21,4.74,4.67,3.37,1.27
김민수,24, P,0.15,32,0,32,4,0,0,3,1,0,9,35.2,24,24,24.15,157,41,6,3,3,13,1,0,29,0,0,3,6.06,6.06,6.09,6.01,4.35,1.51
이선우,24, P,0.13,6,1,5,3,0,0,0,0,0,0,10.0,6,6,5.35,45,10,0,0,0,4,2,0,4,0,0,0,5.40,5.40,4.82,5.00,5.03,1.40
박시영,24, P,0.11,15,0,15,3,0,0,0,1,0,0,14.2,8,8,9.90,65,16,4,1,2,5,1,1,12,0,0,3,4.91,4.91,6.07,5.87,4.80,1.43
지명성,21, P,0.09,3,0,3,2,0,0,1,0,0,0,4.0,0,1,1.00,16,1,0,0,0,1,1,0,4,1,0,0,0.00,2.25,2.25,2.26,2.82,0.50
조현우,19, P,0.09,7,0,7,3,0,0,0,0,0,0,7.2,3,3,2.65,35,6,2,0,0,5,1,0,9,0,0,2,3.52,3.52,3.11,3.21,3.30,1.43
이정현,22, P,0.08,3,0,3,2,0,0,0,0,0,0,3.2,1,1,1.00,18,3,0,0,1,4,1,0,1,0,0,0,2.45,2.45,2.45,2.26,10.58,1.91
손동현,20, P,0.07,23,0,23,5,0,0,0,0,0,1,20.1,12,14,13.80,91,21,5,0,5,10,0,1,12,1,0,3,5.31,6.20,6.11,5.98,6.97,1.52
고영표,24, P,0.07,2,2,0,0,0,0,1,1,0,0,10.0,9,9,8.65,51,20,4,2,0,1,0,0,6,1,0,0,8.10,8.10,7.78,7.26,2.98,2.10
금민철,19, P,0.07,14,14,0,0,0,0,1,4,0,0,57.0,32,38,36.10,263,66,7,1,5,25,7,0,26,6,0,4,5.05,6.00,5.70,5.80,5.45,1.60
김성훈,20, P,0.06,3,0,3,2,0,0,0,0,0,0,3.0,1,1,1.00,13,1,0,0,0,4,0,0,3,0,0,0,3.00,3.00,3.00,2.92,5.63,1.67
김영현,23, P,0.04,31,0,31,7,0,0,0,0,1,1,33.0,20,22,20.30,150,30,7,0,4,20,1,1,35,1,0,2,5.45,6.00,5.54,5.18,4.61,1.52
강건,24, P,0.03,3,0,3,2,0,0,0,0,0,0,2.2,1,1,1.85,14,4,0,0,0,3,0,0,2,0,0,0,3.38,3.38,6.24,5.83,5.78,2.63
전유수,21, P,0.02,11,0,11,3,0,0,1,0,0,0,10.2,4,6,6.35,46,9,1,0,1,6,0,0,9,1,0,0,3.38,5.06,5.36,5.27,4.52,1.41
한차현,24, P,0.02,7,3,4,2,0,0,0,2,0,0,15.2,13,14,12.05,76,19,3,1,1,11,0,0,13,1,0,2,7.47,8.04,6.92,6.81,5.03,1.91
안영명,22, P,0.02,4,0,4,2,0,0,0,0,0,0,3.1,1,1,1.35,13,3,1,0,0,0,0,0,1,1,0,0,2.70,2.70,3.64,3.49,3.03,0.90
지명성,22, P,0.02,2,0,2,2,0,0,0,0,0,0,2.0,1,1,1.00,10,3,0,0,0,0,1,0,1,0,0,1,4.50,4.50,4.50,4.15,4.08,1.50
이종혁,19, P,0.02,5,0,5,2,0,0,0,0,0,0,5.1,1,1,2.55,25,6,1,1,0,3,1,0,4,0,0,0,1.69,1.69,4.30,4.59,4.26,1.69
