이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
로하스,20, RF,9.40,9.16,0.24,142,628,625,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,0.349,0.417,0.680,1.097,0.111,187.2
강백호,21, 1B,7.26,7.67,-0.41,142,627,620,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,0.347,0.450,0.521,0.971,0.076,164.7
로하스,19, LF,6.47,6.62,-0.15,142,578,577,521,68,168,30,3,24,276,104,4,4,49,3,5,120,4,0,5,0.322,0.381,0.530,0.911,0.066,159.8
황재균,19, 3B,6.16,3.85,2.31,124,507,505,448,78,127,16,3,20,209,67,10,7,52,2,2,71,10,0,5,0.283,0.357,0.467,0.824,0.029,128.2
강백호,20, 1B,5.81,6.00,-0.20,129,574,568,500,95,165,36,1,23,272,89,7,2,66,5,9,93,7,0,3,0.330,0.411,0.544,0.955,0.065,151.5
황재균,20, 3B,5.70,4.78,0.92,134,600,597,541,108,169,35,5,21,277,97,11,6,47,5,0,98,12,3,4,0.312,0.370,0.512,0.882,0.036,130.0
박병호,22, 1B,5.19,4.55,0.63,124,487,485,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.908,0.045,141.9
배정대,20, CF,4.87,3.69,1.18,144,615,610,533,88,154,25,3,13,224,65,22,13,68,5,0,142,9,5,4,0.289,0.372,0.420,0.792,0.016,114.8
알포드,23, LF,4.82,4.08,0.74,133,547,546,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,0.289,0.356,0.456,0.812,0.022,122.8
강백호,19, RF,4.62,5.69,-1.07,116,505,501,438,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,0.336,0.416,0.495,0.911,0.063,157.2
박병호,23, 1B,4.15,3.61,0.54,132,493,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.800,0.028,127.7
심우준,19, SS,4.07,1.40,2.67,138,433,421,391,54,109,13,1,3,133,28,24,3,23,6,0,68,7,12,1,0.279,0.328,0.340,0.668,-0.025,83.1
조용호,22, RF,3.92,3.21,0.70,131,531,527,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,0.308,0.374,0.382,0.756,0.012,113.2
장성우,22, C,3.85,2.64,1.21,117,420,419,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,0.260,0.353,0.439,0.792,0.016,116.6
김민혁,23, RF,3.85,2.68,1.17,113,448,441,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.011,112.9
