이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김민혁,19, CF,0.277,27,25,192.0,57,57,0,0,100.0,2.67,3.24,-0.65,0.24,,,,,,2.83,3.21,0.00,2.83,0.277
강현우,23, C,0.277,46,24,235.1,187,175,11,1,99.5,7.11,0.14,,0.13,,0.15,-0.41,1.38,-1.01,0.39,1.05,2.47,2.86,0.038
김민혁,23, LF,0.248,46,28,275.2,70,68,1,1,98.6,2.25,4.76,-0.81,0.02,,,,,,3.97,5.06,-1.41,2.56,0.384
김상수,24, SS,0.244,45,43,344.0,173,81,87,5,97.1,4.40,0.85,,0.35,-1.79,,,,,-0.59,-1.90,3.16,2.57,-0.056
김영환,20, 2B,0.241,8,1,18.2,15,5,10,0,100.0,7.23,2.64,,0.02,,,,,,2.65,27.29,0.08,2.73,0.234
장준원,23, 3B,0.240,26,12,109.1,22,5,17,0,100.0,1.81,1.69,,0.36,0.33,0.09,,,,2.47,5.16,0.00,2.47,0.240
안승한,19, C,0.229,36,11,119.0,95,88,5,2,97.9,7.03,0.01,,-0.13,,,-0.16,-0.61,2.14,1.24,4.95,1.10,2.34,0.121
김민혁,23, CF,0.226,30,28,204.0,59,58,0,1,98.3,2.56,2.79,-0.24,-0.22,,,,,,2.34,2.98,0.00,2.34,0.226
오윤석,22, 1B,0.224,39,11,152.2,145,130,14,1,99.3,8.49,3.14,,0.11,,0.14,,,,3.39,4.36,-1.10,2.29,0.331
로하스,24, LF,0.219,43,37,327.0,89,89,0,0,100.0,2.45,5.16,-1.47,0.38,,,,,,4.06,9.29,-1.76,2.30,0.385
허도환,21, C,0.212,57,33,290.1,252,238,13,1,99.6,7.78,-0.08,,0.44,,-0.05,-0.08,0.80,-1.64,-0.61,-1.42,2.83,2.22,-0.059
오윤석,24, 2B,0.206,17,10,98.0,50,20,30,0,100.0,4.59,1.34,,0.34,0.10,,,,,1.78,10.70,0.39,2.17,0.169
박승욱,19, 2B,0.199,37,14,173.0,84,40,42,2,97.6,4.27,1.41,,-0.26,0.13,,,,,1.28,1.83,0.75,2.03,0.126
강민성,23, 3B,0.199,10,7,57.0,20,4,14,2,90.0,2.84,2.64,,-0.31,-0.28,,,,,2.05,24.65,0.00,2.05,0.199
김준태,23, C,0.199,35,16,162.2,123,108,11,4,96.7,6.58,0.15,,-1.55,,0.01,0.48,-2.36,3.64,0.37,0.78,1.68,2.05,0.036
송민섭,20, LF,0.197,54,0,93.2,20,19,1,0,100.0,1.92,1.84,0.44,0.12,,,,,,2.40,3.03,-0.17,2.23,0.212
오윤석,21, 1B,0.192,25,7,79.2,74,66,8,0,100.0,8.36,2.17,,0.07,,0.38,,,,2.61,3.88,-0.60,2.01,0.250
