이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
양현종,19, P,8.18,29,29,0,2,2,2,16,8,0,0,184.2,47,56,54.95,731,165,32,1,6,33,2,0,163,6,0,1,2.29,2.73,2.68,2.64,2.58,1.07
브룩스,20, P,7.93,23,23,0,1,1,1,11,4,0,0,151.1,42,43,42.15,586,131,18,0,4,24,3,0,130,8,1,3,2.50,2.56,2.51,2.56,2.72,1.02
양현종,20, P,4.87,31,31,0,0,0,0,11,10,0,0,172.1,90,99,92.85,746,180,40,4,13,64,5,0,149,6,0,7,4.70,5.17,4.85,4.74,3.97,1.42
가뇽,20, P,4.68,28,28,0,0,0,0,11,8,0,0,159.2,77,86,82.60,702,162,33,8,7,64,9,0,141,9,0,13,4.34,4.85,4.66,4.61,3.73,1.42
놀린,22, P,4.31,21,21,0,0,0,0,8,8,0,0,124.0,34,41,40.00,512,115,19,2,7,24,8,1,108,9,1,4,2.47,2.98,2.90,2.96,3.05,1.12
양현종,23, P,3.54,29,29,0,0,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.70,1.34
멩덴,21, P,3.48,21,21,0,0,0,0,8,3,0,0,120.0,48,53,51.95,502,109,18,2,12,35,8,0,104,7,3,2,3.60,3.97,3.90,3.95,3.90,1.20
네일,24, P,3.36,13,13,0,0,0,0,7,1,0,0,79.1,16,27,26.30,328,70,17,1,4,15,6,0,77,10,1,2,1.82,3.06,2.98,3.11,3.16,1.07
임기영,21, P,3.27,28,28,0,0,0,0,8,8,0,0,153.0,83,85,78.95,662,155,29,1,15,45,11,0,129,7,2,6,4.88,5.00,4.64,4.54,3.96,1.31
양현종,22, P,3.07,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,4.44,3.66,1.25
윌랜드,19, P,3.02,28,28,0,0,0,0,8,10,0,0,165.0,87,95,91.55,726,191,41,1,17,59,5,1,137,9,0,4,4.75,5.18,4.99,4.95,4.14,1.52
임기영,20, P,2.99,25,25,0,0,0,0,9,10,0,0,127.2,73,80,74.15,559,152,26,3,12,33,9,0,106,3,1,3,5.15,5.64,5.23,5.10,4.06,1.45
양현종,24, P,2.98,13,13,0,1,1,0,4,3,0,0,81.0,31,33,30.95,336,76,16,3,8,18,4,0,56,5,0,1,3.44,3.67,3.44,3.55,4.46,1.16
이의리,21, P,2.80,19,19,0,0,0,0,4,5,0,0,94.2,38,42,41.00,404,69,11,0,6,56,2,0,93,6,0,5,3.61,3.99,3.90,3.79,3.96,1.32
이의리,23, P,2.78,28,28,0,0,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49
파노니,22, P,2.63,14,14,0,0,0,0,3,4,0,0,82.2,25,33,29.40,348,78,6,1,5,24,2,0,73,7,0,5,2.72,3.59,3.20,3.28,3.27,1.23
정해영,21, P,2.56,64,0,64,58,0,0,5,4,34,0,65.1,16,18,22.80,272,49,10,0,5,28,4,1,49,2,0,1,2.20,2.48,3.14,3.10,4.27,1.18
박준표,20, P,2.55,50,0,50,15,0,0,7,1,6,11,51.2,9,16,17.55,205,41,3,0,3,8,0,2,44,6,0,2,1.57,2.79,3.06,3.01,2.92,0.95
임기영,22, P,2.51,26,23,3,1,0,0,4,13,1,0,129.1,61,63,60.55,555,137,25,1,18,36,5,1,82,0,0,2,4.24,4.38,4.21,4.26,4.81,1.34
문경찬,19, P,2.46,54,0,54,43,0,0,1,2,24,0,55.0,8,9,16.05,217,45,9,1,2,10,0,1,50,1,0,0,1.31,1.47,2.63,2.51,2.48,1.00
장현식,21, P,2.43,69,0,69,5,0,0,1,5,1,34,76.2,28,28,29.40,336,67,7,1,7,42,3,1,80,3,0,8,3.29,3.29,3.45,3.48,4.06,1.42
이의리,22, P,2.32,29,28,1,0,0,0,10,10,0,0,154.0,66,79,78.80,671,128,26,4,18,74,9,0,161,10,0,7,3.86,4.62,4.61,4.68,4.23,1.31
브룩스,21, P,2.31,13,13,0,0,0,0,3,5,0,0,78.0,29,34,32.10,333,93,12,1,4,16,1,0,55,4,0,0,3.35,3.92,3.70,3.77,3.29,1.40
전상현,19, P,2.30,57,0,57,15,0,0,1,4,0,15,60.2,21,21,18.25,245,45,8,1,3,21,2,2,62,1,0,2,3.12,3.12,2.71,2.69,2.92,1.09
윤영철,23, P,2.27,25,24,1,0,0,0,8,7,0,0,122.2,55,59,56.05,528,124,27,3,10,48,1,1,74,5,1,4,4.04,4.33,4.11,4.21,4.55,1.40
박준표,19, P,2.13,49,0,49,6,0,0,5,2,0,15,56.0,13,15,16.60,210,42,5,1,4,6,4,1,30,1,0,1,2.09,2.41,2.67,2.71,3.82,0.86
파노니,23, P,1.73,16,15,1,0,0,0,6,3,0,0,82.1,39,41,36.90,351,86,14,1,6,23,2,0,66,4,0,0,4.26,4.48,4.03,4.06,3.65,1.32
전상현,20, P,1.72,47,0,47,24,0,0,2,2,15,13,47.2,13,21,21.00,198,35,6,1,4,22,0,0,64,4,0,2,2.45,3.97,3.97,4.01,3.07,1.20
임기영,23, P,1.54,64,0,64,9,0,0,4,4,3,16,82.0,27,29,30.95,324,56,8,3,6,19,6,1,57,2,0,1,2.96,3.18,3.40,3.48,3.93,0.91
전상현,23, P,1.44,64,0,64,8,0,0,8,3,1,13,58.2,14,20,21.25,250,50,8,0,1,26,1,4,50,4,0,3,2.15,3.07,3.26,3.28,3.30,1.30
윤중현,21, P,1.42,30,13,17,6,0,0,5,6,0,2,82.2,36,44,42.60,373,91,7,1,7,31,14,0,33,10,0,2,3.92,4.79,4.64,4.76,5.46,1.48
앤더슨,23, P,1.34,14,14,0,0,0,0,4,7,0,0,79.0,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,4.45,4.53,3.83,1.29
이준영,22, P,1.22,75,0,75,8,0,0,1,1,1,17,46.1,15,17,16.20,202,41,8,0,3,26,0,3,42,5,0,0,2.91,3.30,3.15,3.19,3.89,1.45
정해영,22, P,1.17,55,0,55,47,0,0,3,7,32,0,56.0,21,21,22.05,238,54,12,1,3,18,0,1,43,4,0,0,3.38,3.38,3.54,3.62,3.44,1.29
크로우,24, P,1.16,8,8,0,0,0,0,5,1,0,0,40.1,16,19,18.00,172,41,7,0,2,12,1,1,43,1,0,0,3.57,4.24,4.02,4.30,3.02,1.31
정해영,24, P,1.15,27,0,27,24,0,0,2,1,18,0,27.0,7,7,8.70,117,29,3,0,4,9,1,1,31,0,0,0,2.33,2.33,2.90,2.97,4.21,1.41
정해영,20, P,1.11,47,0,47,14,0,0,5,4,1,11,38.1,14,15,18.90,172,41,5,1,2,24,2,2,32,1,0,7,3.29,3.52,4.44,4.53,4.47,1.70
정해영,23, P,1.06,52,0,52,40,0,0,3,4,23,1,49.1,16,18,19.55,218,53,9,1,3,20,1,3,30,2,0,0,2.92,3.28,3.57,3.59,4.25,1.48
홍상삼,20, P,1.03,57,0,57,4,0,0,4,5,0,17,48.0,27,27,26.30,229,32,11,0,5,54,3,0,61,0,0,8,5.06,5.06,4.93,4.81,5.74,1.79
김기훈,19, P,1.01,19,16,3,0,0,0,3,6,0,0,79.1,49,55,50.00,368,64,15,2,11,65,9,0,49,3,0,5,5.56,6.24,5.67,5.50,6.81,1.63
전상현,22, P,0.96,50,0,50,6,0,0,5,5,2,16,46.1,17,20,18.65,195,42,10,0,2,16,0,2,53,3,0,2,3.30,3.88,3.62,3.65,2.37,1.25
윤영철,24, P,0.93,11,11,0,0,0,0,4,3,0,0,53.2,31,33,31.65,243,58,10,1,8,29,0,0,36,5,0,1,5.20,5.53,5.31,5.43,5.94,1.62
임기준,19, P,0.84,52,0,52,10,0,0,2,2,0,6,36.2,14,17,15.15,162,32,5,0,1,16,4,0,24,4,0,2,3.44,4.17,3.72,3.77,4.19,1.31
장현식,22, P,0.76,54,0,54,5,0,0,2,3,1,19,52.0,18,20,23.30,233,54,11,2,4,26,1,3,40,3,0,4,3.12,3.46,4.03,4.07,4.21,1.54
차명진,19, P,0.75,9,6,3,1,0,0,3,1,0,0,33.0,16,17,15.80,151,35,9,0,1,18,2,0,19,1,0,3,4.36,4.64,4.31,4.31,4.61,1.61
최지민,24, P,0.73,32,0,32,2,0,0,2,2,2,7,26.2,8,9,12.25,126,19,4,0,0,25,2,0,17,2,0,4,2.70,3.04,4.13,4.16,5.71,1.65
터너,19, P,0.73,28,28,0,1,1,0,7,13,0,0,153.1,93,107,104.95,714,179,34,3,12,58,17,0,121,20,0,14,5.46,6.28,6.16,6.24,4.28,1.55
곽도규,24, P,0.71,31,0,31,0,0,0,2,1,0,7,24.1,10,11,10.45,106,16,2,0,2,19,0,0,29,1,0,4,3.70,4.07,3.87,3.92,4.59,1.44
황동하,24, P,0.70,10,7,3,3,0,0,2,3,0,0,38.2,18,23,23.35,171,42,7,0,7,14,2,0,26,3,0,3,4.19,5.35,5.43,5.60,5.93,1.45
이준영,23, P,0.68,64,0,64,4,0,0,1,0,0,10,33.2,12,12,12.65,149,26,3,1,0,23,2,2,30,3,0,1,3.21,3.21,3.38,3.46,3.74,1.46
이민우,20, P,0.61,22,22,0,0,0,0,6,10,0,0,106.0,80,87,84.60,486,129,20,4,11,47,6,0,67,8,0,4,6.79,7.39,7.18,7.33,5.20,1.66
김기훈,22, P,0.52,5,0,5,0,0,0,0,0,0,0,8.2,1,1,1.00,36,4,0,0,0,7,0,0,9,0,0,0,1.04,1.04,1.04,1.01,3.69,1.27
다카하시,21, P,0.49,7,7,0,0,0,0,1,3,0,0,36.2,20,22,22.00,168,46,4,0,4,12,4,0,46,2,0,4,4.91,5.40,5.40,5.40,3.28,1.58
전상현,24, P,0.42,29,0,29,4,0,0,2,3,2,8,26.0,15,15,14.00,103,23,3,0,3,3,2,0,14,0,0,1,5.19,5.19,4.85,5.09,4.79,1.00
김기훈,20, P,0.42,22,7,15,6,0,0,0,4,0,1,52.0,31,35,36.05,238,58,11,1,8,31,2,0,39,3,0,3,5.37,6.06,6.24,6.39,5.92,1.71
전상현,21, P,0.37,15,0,15,0,0,0,1,0,0,7,13.0,5,6,5.15,59,15,3,0,1,6,0,0,8,0,0,1,3.46,4.15,3.57,3.60,4.57,1.62
최지민,23, P,0.37,58,0,58,15,0,0,6,3,3,12,59.1,14,17,29.40,244,45,4,2,4,26,4,1,44,5,0,5,2.12,2.58,4.46,4.56,4.31,1.20
고영창,19, P,0.37,55,0,55,8,0,0,1,3,1,10,54.0,21,22,31.25,243,63,8,3,2,14,8,2,22,7,0,2,3.50,3.67,5.21,5.16,4.38,1.43
임기영,19, P,0.34,12,8,4,2,0,0,2,4,0,0,48.2,31,33,32.15,225,67,14,1,7,19,2,0,37,2,0,0,5.73,6.10,5.95,6.18,4.96,1.77
문경찬,20, P,0.31,25,0,25,20,0,0,0,2,10,0,24.0,14,15,15.35,109,29,5,1,6,6,2,0,26,0,0,0,5.25,5.63,5.76,5.55,5.30,1.46
한승혁,21, P,0.29,8,5,3,2,0,0,0,3,0,0,23.2,12,15,14.50,103,25,5,1,0,10,2,0,17,4,0,2,4.56,5.70,5.51,5.53,3.54,1.48
장현식,23, P,0.25,56,0,56,17,0,0,2,2,3,5,51.0,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,4.81,4.67,1.65
김재열,21, P,0.25,24,0,24,10,0,0,1,0,0,0,32.2,14,18,19.55,152,28,4,0,4,18,4,0,18,5,2,1,3.86,4.96,5.39,5.45,5.93,1.41
장지수,21, P,0.25,9,0,9,5,0,0,0,0,0,0,14.1,5,6,6.00,67,9,2,0,1,13,3,0,5,1,0,1,3.14,3.77,3.77,3.78,7.19,1.53
윤중현,23, P,0.24,31,0,31,10,0,0,2,1,0,0,28.0,12,13,13.20,115,29,3,0,2,10,1,1,8,2,0,0,3.86,4.18,4.24,4.38,5.09,1.39
이준영,20, P,0.23,48,0,48,1,0,0,0,2,0,13,23.2,14,14,17.05,113,31,5,1,1,13,0,0,22,1,0,3,5.32,5.32,6.48,6.38,3.88,1.86
박진태,19, P,0.22,2,2,0,0,0,0,0,1,0,0,8.1,4,4,3.65,42,10,1,0,0,6,3,0,5,0,0,0,4.32,4.32,3.94,4.42,5.66,1.92
김현수,20, P,0.22,15,4,11,3,0,0,1,2,0,0,32.1,26,27,28.40,167,41,7,3,3,31,2,0,19,2,0,1,7.24,7.52,7.91,7.84,6.79,2.23
박정수,20, P,0.21,7,0,7,3,0,0,0,0,0,1,7.1,3,3,2.65,28,5,2,1,1,4,1,0,5,0,0,0,3.68,3.68,3.25,3.42,6.03,1.23
이준영,24, P,0.21,28,0,28,4,0,0,1,0,0,4,16.2,5,8,9.85,74,18,5,0,1,6,2,1,14,2,0,0,2.70,4.32,5.32,5.32,4.09,1.44
고영창,22, P,0.20,27,0,27,10,0,0,0,1,0,0,24.0,5,5,11.65,104,24,3,0,2,10,3,0,9,0,0,0,1.88,1.88,4.37,4.47,5.52,1.42
김건국,24, P,0.15,14,3,11,1,0,0,0,1,0,0,26.1,18,19,16.75,122,33,7,0,4,9,2,0,16,2,0,3,6.15,6.49,5.72,5.95,5.75,1.59
장민기,21, P,0.15,21,0,21,7,0,0,2,1,0,2,23.1,9,11,14.75,114,13,3,1,1,29,4,0,22,1,0,2,3.47,4.24,5.69,5.51,6.30,1.80
장지수,22, P,0.14,1,0,1,0,0,0,0,0,0,0,2.0,0,0,0.00,9,2,0,0,0,1,0,0,1,0,0,1,0.00,0.00,0.00,0.00,4.08,1.50
박건우,21, P,0.13,3,0,3,2,0,0,0,0,0,0,3.0,0,0,0.00,11,2,0,0,0,1,1,0,3,0,0,0,0.00,0.00,0.00,0.00,3.33,1.00
김승현,23, P,0.13,10,0,10,5,0,0,0,0,0,0,12.2,6,6,6.00,57,11,2,0,1,10,1,0,7,1,0,1,4.26,4.26,4.26,4.41,6.10,1.66
홍건희,20, P,0.12,10,0,10,7,0,0,0,0,0,0,12.0,8,8,8.15,48,11,2,2,3,2,0,0,9,0,0,0,6.00,6.00,6.11,5.99,5.61,1.08
김현준,21, P,0.12,19,0,19,7,0,0,0,1,0,2,19.2,12,13,11.80,83,15,1,0,4,12,0,0,19,0,0,0,5.49,5.95,5.40,5.19,5.66,1.37
산체스,23, P,0.12,12,11,1,1,1,0,4,4,0,0,63.2,42,46,43.60,285,79,19,1,7,15,4,1,59,3,1,1,5.94,6.50,6.16,6.10,3.77,1.48
황인준,19, P,0.11,5,2,3,1,0,0,0,0,0,0,11.1,8,8,8.50,53,14,5,1,2,5,0,1,11,0,0,2,6.35,6.35,6.75,6.67,4.85,1.68
이의리,24, P,0.09,4,4,0,0,0,0,1,0,0,0,13.1,8,10,10.00,69,17,3,0,3,14,0,0,14,1,0,0,5.40,6.75,6.75,6.95,7.48,2.33
김윤동,19, P,0.09,11,0,11,8,0,0,1,2,4,0,11.0,8,8,6.50,55,12,1,1,1,11,0,2,12,0,0,1,6.55,6.55,5.32,4.97,4.70,2.09
장현식,24, P,0.09,34,0,34,2,0,0,1,2,0,7,30.0,18,24,19.90,142,33,7,0,5,17,2,1,34,4,0,3,5.40,7.20,5.97,6.21,5.18,1.67
홍건희,19, P,0.09,21,14,7,4,0,0,2,9,0,0,81.2,65,70,65.70,381,112,20,1,12,33,3,0,52,3,0,7,7.16,7.71,7.24,7.08,5.33,1.78
한승혁,22, P,0.07,24,16,8,2,0,0,4,3,0,0,80.1,47,52,52.55,376,100,13,3,4,40,6,0,69,5,0,6,5.27,5.83,5.89,5.97,4.00,1.74
황인준,20, P,0.06,3,0,3,2,0,0,0,0,0,0,4.0,2,2,2.50,18,6,1,0,1,2,0,0,1,0,0,0,4.50,4.50,5.63,5.41,7.90,2.00
김건국,23, P,0.05,6,5,1,1,0,0,0,1,0,0,16.0,12,12,11.15,70,18,6,1,0,4,1,0,9,0,0,0,6.75,6.75,6.27,6.69,3.41,1.38
하준영,19, P,0.04,59,0,59,8,0,0,6,2,0,15,52.2,29,31,33.30,243,59,9,1,5,31,0,2,51,2,0,1,4.96,5.30,5.69,5.71,4.28,1.71
임기영,24, P,0.02,5,1,4,0,0,0,2,1,0,0,10.1,6,6,8.05,49,13,1,0,2,5,0,0,8,0,0,0,5.23,5.23,7.01,7.46,6.04,1.74
이민우,19, P,0.02,32,6,26,13,0,0,2,6,1,2,61.1,37,42,42.30,283,74,11,2,4,26,4,1,56,2,0,3,5.43,6.16,6.21,6.33,3.82,1.63
김현수,22, P,0.02,1,0,1,1,0,0,0,0,0,0,2.0,1,1,1.00,9,3,1,0,0,1,0,0,1,0,0,0,4.50,4.50,4.50,4.19,4.08,2.00
박준표,23, P,0.01,33,0,33,3,0,0,1,0,0,3,28.0,14,16,17.35,118,28,3,1,3,9,0,1,13,2,0,1,4.50,5.14,5.58,5.58,4.96,1.32
김재열,20, P,0.01,14,0,14,3,0,0,0,1,0,2,17.1,14,16,12.75,89,23,6,0,3,12,3,1,13,1,0,0,7.27,8.31,6.62,7.04,6.68,2.02
장재혁,22, P,0.00,3,0,3,2,0,0,0,0,0,0,3.0,2,2,2.00,15,3,0,0,0,3,0,0,4,0,0,2,6.00,6.00,6.00,6.16,3.55,2.00
홍상삼,22, P,0.00,24,0,24,6,0,0,2,1,0,1,21.2,14,16,14.65,100,19,7,0,3,15,1,0,19,2,0,1,5.82,6.65,6.09,6.17,5.53,1.57
박진태,21, P,0.00,59,0,59,10,0,0,3,3,0,9,65.0,43,44,44.90,305,68,10,0,6,36,13,0,45,3,0,5,5.95,6.09,6.22,6.12,5.47,1.60
이준영,21, P,-0.01,50,1,49,4,0,0,3,2,1,9,35.2,22,25,24.70,159,30,5,0,3,19,0,1,26,5,0,3,5.55,6.31,6.23,6.47,4.51,1.37
유승철,24, P,-0.01,2,0,2,1,0,0,0,0,0,0,2.0,3,3,1.80,12,2,0,0,0,5,0,0,1,0,0,1,13.50,13.50,8.10,8.65,10.67,3.50
로니,22, P,-0.03,10,9,1,0,0,0,3,3,0,0,44.1,29,36,32.40,208,47,7,1,7,28,3,0,32,4,1,2,5.89,7.31,6.58,6.70,6.03,1.69
김대유,23, P,-0.03,41,0,41,4,0,0,0,2,0,4,24.2,14,15,15.00,110,26,1,1,2,8,6,1,20,1,0,0,5.11,5.47,5.47,5.62,4.42,1.38
김대유,24, P,-0.03,8,0,8,4,0,0,0,0,0,0,6.0,8,8,7.00,32,10,2,0,2,4,0,0,4,0,0,0,12.00,12.00,10.50,10.99,8.54,2.33
김도현,22, P,-0.03,4,2,2,1,0,0,0,1,0,0,10.2,7,7,6.50,48,14,1,0,2,5,0,0,11,0,0,0,5.91,5.91,5.48,5.08,4.89,1.78
서덕원,20, P,-0.03,11,0,11,8,0,0,0,0,0,0,12.2,12,12,12.00,59,14,2,0,5,4,3,0,6,0,0,1,8.53,8.53,8.53,8.32,9.22,1.42
남재현,20, P,-0.04,8,0,8,5,0,0,0,0,0,0,15.2,7,12,14.25,79,20,5,1,1,11,1,0,8,3,0,0,4.02,6.89,8.19,7.83,5.85,1.98
변시원,20, P,-0.04,4,0,4,0,0,0,1,0,0,0,5.0,2,4,5.55,25,8,1,0,0,3,0,0,1,1,0,0,3.60,7.20,9.99,9.55,5.36,2.20
