이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김선빈,21, 2B,-0.308,125,125,1015.2,518,206,305,7,98.6,4.53,-8.58,,1.28,-1.49,,,,,-8.79,-9.73,5.57,-3.22,-0.840
김석환,21, 1B,-0.314,4,4,35.0,42,40,0,2,95.2,10.29,-2.97,,0.03,,,,,,-2.94,-84.76,-0.34,-3.28,-0.281
이창진,24, RF,-0.321,28,20,145.0,30,29,0,1,96.7,1.80,-1.73,-0.93,-0.05,,,,,,-2.71,-7.64,-0.68,-3.39,-0.257
김태진,20, 3B,-0.328,45,45,396.0,139,53,79,7,95.0,3.00,-2.85,,0.24,-1.22,0.11,,,,-3.72,-6.53,0.00,-3.72,-0.328
서건창,24, 1B,-0.333,23,12,126.0,121,107,11,3,97.5,8.43,-2.27,,0.28,,-0.25,,,,-2.25,-7.19,-1.26,-3.51,-0.213
소크라테스,24, CF,-0.333,18,16,125.2,37,35,1,1,97.3,2.58,-3.85,0.13,0.21,,,,,,-3.51,-8.03,0.00,-3.51,-0.333
나지완,19, RF,-0.343,2,2,16.0,3,3,0,0,100.0,1.69,-2.49,-0.99,0.03,,,,,,-3.45,-8.87,-0.06,-3.51,-0.337
박준태,19, RF,-0.346,25,9,104.0,25,24,1,0,100.0,2.16,-4.26,0.92,0.18,,,,,,-3.16,-11.98,-0.37,-3.53,-0.309
이창진,23, LF,-0.364,69,40,392.0,95,92,2,1,98.9,2.16,-1.74,-0.39,0.23,,,,,,-1.90,-2.63,-1.86,-3.76,-0.184
이창진,20, CF,-0.366,22,21,177.2,32,30,2,0,100.0,1.62,-5.82,1.48,0.19,,,,,,-4.15,-27.15,0.00,-4.15,-0.366
문선재,19, 1B,-0.373,13,4,45.0,36,33,1,2,94.4,6.80,-3.51,,0.04,,,,,,-3.47,-17.21,-0.34,-3.81,-0.339
이우성,22, RF,-0.374,29,8,91.0,20,19,1,0,100.0,1.98,-3.32,-0.32,0.16,,,,,,-3.48,-6.26,-0.35,-3.83,-0.340
김주찬,19, LF,-0.375,15,8,65.2,14,12,2,0,100.0,1.92,-4.13,0.57,0.06,,,,,,-3.50,-5.03,-0.34,-3.84,-0.342
유민상,19, 1B,-0.376,38,31,285.0,304,283,18,3,99.0,9.51,-1.45,,0.28,,,,,,-1.18,-2.78,-2.66,-3.84,-0.115
최형우,24, LF,-0.403,11,11,82.1,10,9,0,1,90.0,0.98,-3.75,0.35,-0.40,,,,,,-3.80,-9.27,-0.45,-4.25,-0.360
김민식,19, C,-0.441,49,29,260.0,221,204,14,3,98.6,7.55,-0.17,,-0.70,,0.19,-0.79,-2.36,-3.27,-7.10,-19.29,2.59,-4.51,-0.695
최원준,19, 3B,-0.489,40,35,309.0,83,22,55,6,92.8,2.24,-5.06,,0.27,-0.39,0.18,,,,-4.99,-7.99,0.00,-4.99,-0.489
안치홍,19, 2B,-0.493,94,89,729.1,398,158,229,11,97.2,4.78,-8.75,,0.49,-0.43,,,,,-8.69,-11.92,3.66,-5.03,-0.851
류지혁,23, 3B,-0.526,55,48,402.2,114,38,72,4,96.5,2.46,-4.67,,0.33,-0.93,-0.17,,,,-5.44,-5.93,0.00,-5.44,-0.526
이우성,19, LF,-0.537,22,17,129.2,27,26,0,1,96.3,1.80,-4.19,-0.35,-0.37,,,,,,-4.91,-11.79,-0.58,-5.49,-0.481
변우혁,23, 1B,-0.576,55,44,358.0,340,311,24,5,98.5,8.42,-2.47,,-0.18,,-0.17,,,,-2.81,-4.88,-3.14,-5.95,-0.272
최원준,23, 1B,-0.577,39,35,321.0,311,289,15,7,97.7,8.52,-1.25,,-1.25,,,,,,-2.50,-5.37,-3.46,-5.96,-0.242
최원준,21, RF,-0.590,140,133,1163.1,308,291,10,7,97.7,2.33,0.39,1.58,-1.89,,,,,,0.07,0.07,-6.24,-6.17,0.007
최형우,23, LF,-0.619,15,14,107.0,19,18,0,1,94.7,1.51,-5.27,-0.26,-0.30,,,,,,-5.83,-6.93,-0.57,-6.40,-0.564
류지혁,22, 3B,-0.786,103,93,785.2,212,62,139,11,94.8,2.30,-7.49,,-0.29,0.08,-0.34,,,,-8.05,-9.13,0.00,-8.05,-0.786
김주찬,19, 1B,-0.828,76,65,538.2,526,481,39,6,98.9,8.69,-3.15,,0.03,,0.16,,,,-2.96,-4.27,-5.50,-8.46,-0.290
나성범,23, RF,-0.833,50,49,410.2,93,88,4,1,98.9,2.02,-7.51,0.27,0.81,,,,,,-6.43,-15.97,-2.17,-8.60,-0.623
나지완,21, LF,-0.967,24,23,176.0,38,38,0,0,100.0,1.94,-9.11,-0.24,0.16,,,,,,-9.19,-42.68,-0.92,-10.11,-0.879
이우성,24, 1B,-1.005,48,43,374.2,377,353,21,3,99.2,8.98,-5.99,,-0.65,,-0.23,,,,-6.87,-16.77,-3.72,-10.59,-0.652
터커,19, LF,-1.038,48,40,335.0,72,68,2,2,97.2,1.88,-8.65,0.41,-0.66,,,,,,-8.90,-13.49,-1.70,-10.60,-0.871
소크라테스,24, LF,-1.056,55,42,372.0,76,71,3,2,97.4,1.79,-8.88,0.18,-0.56,,,,,,-9.25,-21.15,-1.88,-11.13,-0.878
터커,21, LF,-1.125,91,88,693.0,145,143,1,1,99.3,1.87,-7.80,-0.43,0.13,,,,,,-8.10,-9.19,-3.66,-11.76,-0.775
황대인,21, 1B,-1.184,71,64,546.0,532,502,27,3,99.4,8.72,-6.92,,-0.55,,0.37,,,,-7.10,-11.88,-5.28,-12.38,-0.679
황대인,22, 1B,-1.194,129,127,1041.1,1030,955,68,7,99.3,8.84,-1.25,,-0.18,,-0.33,,,,-1.77,-1.97,-10.46,-12.23,-0.173
유민상,20, 1B,-1.521,119,108,932.2,890,830,51,9,99.0,8.50,-8.87,,0.31,,0.06,,,,-8.50,-9.71,-8.74,-17.24,-0.750
최원준,20, CF,-2.081,92,88,705.0,193,185,4,4,97.9,2.41,-22.24,-0.05,-1.30,,,,,,-23.59,-27.62,0.00,-23.59,-2.081
나지완,20, LF,-2.208,131,130,1019.1,210,206,3,1,99.5,1.85,-19.57,-0.86,0.80,,,,,,-19.63,-20.63,-5.40,-25.03,-1.732
터커,20, RF,-2.831,134,133,1108.0,227,222,4,1,99.6,1.84,-27.17,0.00,1.00,,,,,,-26.16,-26.53,-5.93,-32.09,-2.308
최정민,20, 3B,,1,0,1.0,0,0,0,0,,0.00,-0.02,,0.00,,,,,,-0.02,-0.11,,,-0.002
터너,19, P,,28,28,153.1,34,9,21,4,88.2,1.76,,,,,,,,,0.00,,,,0.000
임기영,20, P,,25,25,127.2,15,2,13,0,100.0,1.06,,,,,,,,,0.00,,,,0.000
이준영,21, P,,47,1,35.2,7,1,6,0,100.0,1.77,,,,,,,,,0.00,,,,0.000
김세현,19, P,,10,0,8.2,2,1,1,0,100.0,2.08,,,,,,,,,0.00,0.00,,,0.000
