이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
나성범,22, RF,7.80,7.66,0.14,144,649,643,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.320,0.402,0.508,0.910,0.068,160.8
최형우,20, DH,6.59,7.57,-0.98,140,600,596,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.590,1.023,0.089,169.8
최형우,19, DH,4.81,5.63,-0.81,136,555,550,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,0.300,0.413,0.485,0.898,0.054,149.1
박찬호,23, SS,4.71,3.04,1.67,130,507,500,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.006,109.2
소크라테스,23, CF,4.60,4.11,0.49,142,608,606,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.807,0.020,120.9
소크라테스,22, CF,4.54,4.75,-0.21,127,554,551,514,83,160,29,7,17,254,77,12,7,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.038,135.7
박찬호,22, SS,4.10,2.73,1.37,130,566,558,493,81,134,22,0,4,168,45,42,8,57,1,0,67,9,8,7,0.272,0.344,0.341,0.685,-0.005,98.7
박동원,22, C,4.00,2.84,1.17,112,407,397,352,51,86,18,0,17,155,53,1,0,38,9,4,87,9,7,1,0.244,0.333,0.440,0.773,0.023,121.8
김도영,24, 3B,4.00,3.51,0.48,61,272,270,246,55,85,9,3,16,148,41,21,2,18,3,1,50,1,1,4,0.346,0.391,0.602,0.993,0.073,153.1
최형우,23, DH,3.93,5.29,-1.36,121,508,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.400,0.487,0.887,0.057,152.4
김도영,23, 3B,3.88,3.31,0.57,84,385,382,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.028,128.0
나성범,23, RF,3.68,4.42,-0.74,58,253,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.123,208.2
최원준,21, CF,3.60,3.94,-0.34,143,668,664,589,82,174,21,6,4,219,44,40,13,61,11,0,68,7,4,3,0.295,0.370,0.372,0.742,0.008,110.0
김선빈,19, SS,3.57,2.70,0.87,121,447,442,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.360,0.371,0.731,0.015,116.2
터커,20, RF,3.46,5.96,-2.51,142,631,628,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.055,144.2
김선빈,22, 2B,3.35,3.42,-0.06,140,587,579,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.350,0.723,0.010,111.7
최형우,22, DH,3.30,4.12,-0.82,132,530,526,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.030,129.0
김선빈,21, 2B,2.70,3.43,-0.73,130,564,561,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5,0.307,0.375,0.401,0.776,0.015,115.8
김선빈,23, 2B,2.69,2.76,-0.07,119,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.320,0.381,0.358,0.739,0.012,114.1
