이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
이용규,24, LF,1.01,0.89,0.12,32,134,132,108,15,32,3,0,1,38,6,2,1,18,5,0,19,3,2,1,0.296,0.417,0.352,0.769,0.027,118.2
전병우,20, 3B,1.01,0.30,0.71,119,402,400,359,46,85,13,3,8,128,48,7,0,37,2,0,100,7,2,2,0.237,0.310,0.357,0.667,-0.046,68.1
허정협,20, LF,1.01,1.43,-0.43,111,360,357,314,45,84,12,0,10,126,43,0,0,40,2,0,73,7,3,1,0.268,0.353,0.401,0.754,-0.008,96.8
이형종,24, RF,0.93,0.93,0.00,21,87,87,71,18,19,3,0,4,34,17,1,0,15,1,0,17,0,0,0,0.268,0.402,0.479,0.881,0.057,141.3
이지영,23, C,0.86,-0.18,1.04,81,237,230,217,23,54,8,1,0,64,8,1,1,12,1,0,39,2,7,0,0.249,0.291,0.295,0.586,-0.057,57.2
변상권,21, CF,0.77,-0.23,1.00,72,171,171,159,19,38,5,4,0,51,20,0,0,9,0,0,40,2,0,3,0.239,0.275,0.321,0.596,-0.065,50.4
김웅빈,22, DH,0.74,0.56,0.17,45,135,132,115,17,26,5,1,1,36,11,0,2,13,4,1,38,2,3,0,0.226,0.326,0.313,0.639,-0.007,97.1
이지영,19, C,0.73,0.39,0.34,106,331,325,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,0.282,0.317,0.315,0.632,-0.038,71.9
전병우,21, 3B,0.71,0.50,0.22,115,261,257,214,35,40,8,0,6,66,31,3,1,33,9,0,83,0,4,1,0.187,0.319,0.308,0.627,-0.029,80.1
김규민,19, LF,0.69,0.66,0.03,94,250,250,222,33,55,8,1,3,74,24,2,4,22,4,0,68,4,0,2,0.248,0.324,0.333,0.657,-0.015,90.7
임지열,22, LF,0.57,0.61,-0.03,40,148,145,131,16,36,6,0,1,45,15,1,0,10,2,0,43,2,3,2,0.275,0.331,0.344,0.675,-0.009,95.4
러셀,20, SS,0.56,0.14,0.42,65,271,271,244,22,62,14,0,2,82,31,2,0,22,2,1,37,6,0,3,0.254,0.317,0.336,0.653,-0.045,68.2
김건희,24, C,0.52,0.48,0.04,13,41,41,35,4,14,1,0,1,18,6,0,0,5,0,0,8,2,0,1,0.400,0.463,0.514,0.977,0.077,156.8
김동헌,23, C,0.48,0.34,0.14,102,242,239,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,0.242,0.318,0.313,0.631,-0.030,79.0
임지열,23, 1B,0.45,1.23,-0.78,72,246,244,212,22,55,8,0,5,78,35,1,0,28,3,0,64,3,2,1,0.259,0.352,0.368,0.720,0.002,105.7
임병욱,23, RF,0.44,0.59,-0.15,80,223,222,208,30,54,11,1,6,85,36,4,0,10,1,0,75,1,1,3,0.260,0.293,0.409,0.702,-0.024,83.7
