이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
박정음,21, CF,0.133,17,0,27.0,10,10,0,0,100.0,3.33,1.69,-0.32,0.03,,,,,,1.40,2.87,0.00,1.40,0.133
이용규,24, LF,0.131,14,13,111.2,35,35,0,0,100.0,2.82,1.82,0.04,0.13,,,,,,1.99,8.97,-0.61,1.38,0.189
이정후,20, CF,0.126,44,34,284.2,93,90,2,1,98.9,2.91,2.33,-0.70,-0.21,,,,,,1.43,1.47,0.00,1.43,0.126
이용규,21, CF,0.123,12,8,62.0,24,23,1,0,100.0,3.48,1.38,-0.15,0.06,,,,,,1.29,1.39,0.00,1.29,0.123
허정협,20, 1B,0.119,7,1,25.0,34,31,3,0,100.0,12.24,1.49,,0.02,,0.06,,,,1.57,2.03,-0.22,1.35,0.138
박정음,19, LF,0.118,30,16,146.1,34,33,1,0,100.0,2.09,1.41,0.25,0.14,,,,,,1.80,4.32,-0.60,1.20,0.176
김휘집,22, 2B,0.115,6,0,10.0,10,1,9,0,100.0,9.00,0.85,,0.01,0.30,,,,,1.16,1.49,0.02,1.18,0.113
전병우,23, 3B,0.113,6,0,9.0,3,0,3,0,100.0,3.00,0.76,,0.03,0.37,,,,,1.17,4.09,0.00,1.17,0.113
문찬종,21, 2B,0.113,5,2,21.1,13,6,7,0,100.0,5.48,1.31,,0.03,-0.23,,,,,1.10,12.16,0.08,1.18,0.105
김은성,21, LF,0.112,6,5,44.0,17,17,0,0,100.0,3.48,1.29,0.03,0.04,,,,,,1.35,32.52,-0.18,1.17,0.130
이주형,23, CF,0.112,25,24,207.0,75,75,0,0,100.0,3.26,1.63,-0.76,0.28,,,,,,1.16,2.42,0.00,1.16,0.112
주성원,23, LF,0.109,4,4,29.0,8,8,0,0,100.0,2.48,1.08,0.11,0.05,,,,,,1.25,7.18,-0.12,1.13,0.121
전병우,22, 3B,0.109,14,3,36.1,15,3,11,1,93.3,3.47,1.35,,0.03,-0.26,,,,,1.12,1.40,0.00,1.12,0.109
송성문,19, 2B,0.107,39,29,263.2,134,53,78,3,97.8,4.47,-0.46,,-0.14,0.43,,,,,-0.17,-0.24,1.26,1.09,-0.017
김건희,24, C,0.106,12,11,82.0,57,50,6,1,98.2,6.15,-0.30,,-0.18,,-0.21,0.07,0.83,,0.20,2.24,0.91,1.11,0.019
김시앙,23, C,0.105,32,24,198.1,147,134,13,0,100.0,6.67,-0.02,,0.53,,0.01,-0.64,0.99,-1.77,-0.88,-3.85,1.97,1.08,-0.085
변상권,24, LF,0.095,12,11,86.0,23,23,0,0,100.0,2.41,1.30,-0.02,0.10,,,,,,1.39,5.87,-0.38,1.01,0.131
박주홍,23, 1B,0.095,9,9,55.0,53,51,2,0,100.0,8.67,1.39,,0.13,,,,,,1.52,8.09,-0.54,0.98,0.147
임병욱,23, CF,0.094,18,13,124.0,42,40,1,1,97.6,2.98,0.46,0.84,-0.33,,,,,,0.97,1.75,0.00,0.97,0.094
박정음,19, CF,0.089,10,5,43.0,12,12,0,0,100.0,2.51,0.96,-0.11,0.05,,,,,,0.91,2.19,0.00,0.91,0.089
모터,20, 3B,0.084,8,8,66.0,21,5,14,2,90.5,2.59,0.71,,0.04,0.11,0.10,,,,0.95,13.72,0.00,0.95,0.084
신준우,21, 2B,0.084,22,0,33.1,20,10,10,0,100.0,5.40,0.77,,0.04,,,,,,0.82,2.10,0.06,0.88,0.078
러셀,23, SS,0.082,51,49,407.2,184,68,113,3,98.4,4.00,-5.50,,1.35,0.92,,,,,-3.23,-7.88,4.08,0.85,-0.313
허정협,19, LF,0.081,13,11,77.0,12,12,0,0,100.0,1.40,1.72,-0.65,0.07,,,,,,1.15,4.47,-0.32,0.83,0.113
송성문,23, 1B,0.078,26,18,145.2,148,134,12,2,98.6,9.02,2.37,,-0.16,,,,,,2.21,3.06,-1.40,0.81,0.214
김은성,20, 3B,0.078,6,0,8.0,3,1,2,0,100.0,3.38,0.88,,0.00,,,,,,0.88,7.93,0.00,0.88,0.078
김태진,24, LF,0.078,4,2,18.0,7,7,0,0,100.0,3.50,0.79,0.09,0.02,,,,,,0.90,9.25,-0.08,0.82,0.085
김주형,20, SS,0.077,5,2,20.0,6,1,5,0,100.0,2.70,0.69,,0.03,,,,,,0.72,2.65,0.16,0.88,0.063
예진원,22, CF,0.077,3,0,4.0,2,2,0,0,100.0,4.50,0.69,0.10,0.01,,,,,,0.79,5.70,0.00,0.79,0.077
김수환,21, 3B,0.074,4,4,28.1,10,1,8,1,90.0,2.86,0.76,,0.02,,,,,,0.78,8.62,0.00,0.78,0.074
전병우,21, 2B,0.074,13,6,57.1,39,13,26,0,100.0,6.12,0.37,,0.07,0.10,,,,,0.54,0.68,0.23,0.77,0.052
박정음,20, CF,0.073,50,6,130.2,35,35,0,0,100.0,2.41,0.82,-0.14,0.14,,,,,,0.83,1.39,0.00,0.83,0.073
김혜성,19, 3B,0.073,6,4,27.0,9,1,7,1,88.9,2.67,0.98,,0.02,-0.26,,,,,0.75,0.88,0.00,0.75,0.073
추재현,19, RF,0.065,1,0,4.0,2,2,0,0,100.0,4.50,0.67,,0.01,,,,,,0.67,97.00,-0.01,0.66,0.066
송성문,21, 3B,0.059,38,33,265.0,90,18,67,5,94.4,2.89,0.47,,0.20,0.31,-0.36,,,,0.61,1.34,0.00,0.61,0.059
신준우,23, 2B,0.058,8,0,14.0,7,2,5,0,100.0,4.50,0.30,,0.05,0.19,,,,,0.54,3.23,0.06,0.60,0.052
박주홍,22, RF,0.057,3,1,18.0,3,3,0,0,100.0,1.50,0.43,0.18,0.03,,,,,,0.65,4.43,-0.06,0.59,0.063
김시앙,24, C,0.057,6,2,19.1,20,20,0,0,100.0,9.31,-0.04,,0.07,,,,0.40,,0.43,10.32,0.17,0.60,0.041
김주형,23, 3B,0.057,3,1,9.0,2,2,0,0,100.0,2.00,0.56,,0.03,,,,,,0.58,1.83,0.00,0.58,0.057
