이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
안우진,22, P,8.45,30,30,0,1,1,0,15,8,0,0,196.0,46,51,50.65,766,131,36,4,4,55,4,1,224,6,1,7,2.11,2.34,2.33,2.36,2.09,0.95
후라도,23, P,7.12,30,30,0,0,0,0,11,8,0,0,183.2,54,64,62.95,763,164,19,0,7,41,9,0,147,15,0,5,2.65,3.14,3.08,3.13,3.15,1.12
안우진,23, P,6.86,24,24,0,0,0,0,9,7,0,0,150.2,40,44,41.25,608,121,25,1,5,38,1,1,164,5,0,8,2.39,2.63,2.46,2.50,2.33,1.06
요키시,22, P,6.25,30,30,0,0,0,0,10,8,0,0,185.1,53,61,59.80,746,169,31,3,8,33,5,0,154,13,0,2,2.57,2.96,2.90,3.06,2.86,1.09
요키시,20, P,6.08,27,27,0,0,0,0,12,7,0,0,159.2,38,53,50.45,640,144,26,3,6,25,6,0,115,15,1,3,2.14,2.99,2.84,3.00,3.24,1.06
요키시,21, P,5.58,31,31,0,0,0,0,16,9,0,0,181.1,59,71,69.45,739,171,24,0,12,46,4,2,131,18,0,9,2.93,3.52,3.45,3.48,3.59,1.20
요키시,19, P,5.12,30,30,0,1,1,1,13,9,0,0,181.1,63,72,71.50,746,166,33,5,9,39,11,0,141,6,0,6,3.13,3.57,3.55,3.66,3.31,1.13
브리검,19, P,4.72,28,28,0,0,0,0,13,5,0,0,158.1,52,62,60.80,669,148,32,2,5,46,12,0,130,8,1,7,2.96,3.52,3.46,3.55,3.27,1.23
최원태,19, P,4.23,27,27,0,0,0,0,11,5,0,0,157.1,59,68,65.80,666,165,28,2,5,36,5,0,105,13,0,5,3.38,3.89,3.76,3.82,3.33,1.28
최원태,23, P,3.74,17,17,0,0,0,0,6,4,0,0,102.1,37,38,38.00,422,90,11,0,7,29,5,0,78,4,0,5,3.25,3.34,3.34,3.31,3.79,1.16
브리검,20, P,3.16,21,21,0,0,0,0,9,5,0,0,107.0,43,45,41.90,456,98,7,2,6,42,5,1,105,2,0,8,3.62,3.79,3.52,3.69,3.57,1.31
