Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20190731,LG,"이천웅, 오지환, 김현수, 페게로, 채은성, 박용택, 김민성, 이성우, 정주현, 류제국",키움,"이정후, 김하성, 샌즈, 박병호, 송성문, 박동원, 임병욱, 박정음, 김혜성, 김선기",8 , 0
20190731,SK,"노수광, 한동민, 최정, 로맥, 이재원, 고종욱, 정의윤, 최준우, 김성현, 문승원",KIA,"안치홍, 박찬호, 터커, 최형우, 유민상, 나지완, 이창진, 김민식, 황윤호, 윌랜드",6 , 2
20190731,KT,"심우준, 오태곤, 조용호, 윤석민, 로하스, 박경수, 문상철, 장성우, 강민국, 김민",한화,"정은원, 오선진, 호잉, 이성열, 김태균, 송광민, 정근우, 최재훈, 장진혁, 임준섭",5 , 2
20190731,삼성,"김상수, 박해민, 김헌곤, 러프, 이원석, 윌리엄슨, 김동엽, 강민호, 이학주, 김윤수",롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 윌슨, 신본기, 안중열, 강로한, 박세웅",8 , 4
20190731,NC,"이명기, 김태진, 박민우, 스몰린스키, 박석민, 모창민, 김찬형, 김성욱, 김형준, 최성영",두산,"박건우, 페르난데스, 오재일, 김재환, 최주환, 허경민, 김재호, 박세혁, 정수빈, 이용찬",4 , 8
20190801,LG,"이천웅, 오지환, 김현수, 페게로, 채은성, 박용택, 김민성, 유강남, 정주현, 이우찬",키움,"이정후, 김하성, 샌즈, 박병호, 송성문, 박동원, 임병욱, 이지영, 김혜성, 브리검",5 , 11
20190801,SK,"노수광, 한동민, 최정, 로맥, 이재원, 고종욱, 정의윤, 최준우, 김성현, 김광현",KIA,"박찬호, 김선빈, 터커, 최형우, 이우성, 안치홍, 이창진, 백용환, 황윤호, 홍건희",1 , 10
20190801,KT,"심우준, 오태곤, 조용호, 문상철, 로하스, 박경수, 장성우, 박승욱, 배정대, 배제성",한화,"정은원, 오선진, 호잉, 이성열, 김태균, 송광민, 정근우, 최재훈, 장진혁, 채드벨",3 , 1
20190801,삼성,"김상수, 박해민, 김헌곤, 러프, 이원석, 이학주, 김동엽, 강민호, 이성곤, 맥과이어",롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 윌슨, 신본기, 안중열, 강로한, 박시영",9 , 4
20190801,NC,"이명기, 김태진, 박민우, 스몰린스키, 박석민, 모창민, 김찬형, 김성욱, 정범모, 루친스키",두산,"박건우, 최주환, 오재일, 김재환, 페르난데스, 허경민, 김재호, 박세혁, 정수빈, 후랭코프",3 , 2
20190803,LG,"이천웅, 오지환, 김현수, 페게로, 채은성, 박용택, 김민성, 유강남, 정주현, 윌슨",삼성,"김상수, 박해민, 러프, 이원석, 윌리엄슨, 김헌곤, 김동엽, 강민호, 이학주, 원태인",10 , 13
20190803,키움,"이정후, 김하성, 샌즈, 박병호, 송성문, 서건창, 박동원, 임병욱, 김혜성, 최원태",KT,"김진곤, 오태곤, 조용호, 유한준, 로하스, 박경수, 박승욱, 안승한, 심우준, 쿠에바스",7 , 1
20190803,한화,"정은원, 정근우, 호잉, 이성열, 김태균, 송광민, 오선진, 최재훈, 장진혁, 장민재",SK,"노수광, 한동민, 최정, 로맥, 이재원, 고종욱, 정의윤, 최준우, 김성현, 소사",3 , 0
20190803,KIA,"박찬호, 김선빈, 터커, 최형우, 안치홍, 김주찬, 이우성, 한승택, 이창진, 임기영",NC,"박민우, 이명기, 스몰린스키, 박석민, 이원재, 노진혁, 김태진, 김성욱, 김형준, 구창모",1 , 5
20190803,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 윌슨, 신본기, 안중열, 강로한, 레일리",두산,"박건우, 최주환, 오재일, 김재환, 페르난데스, 허경민, 김재호, 장승현, 정수빈, 유희관",1 , 2
20190804,LG,"이천웅, 오지환, 김현수, 페게로, 채은성, 박용택, 김민성, 유강남, 정주현, 켈리",삼성,"박해민, 이학주, 러프, 이원석, 윌리엄슨, 김헌곤, 김동엽, 김민수, 김호재, 윤성환",2 , 1
20190804,키움,"이정후, 김하성, 서건창, 박병호, 샌즈, 송성문, 임병욱, 이지영, 김혜성, 이승호",KT,"배정대, 오태곤, 조용호, 유한준, 로하스, 박경수, 윤석민, 장성우, 심우준, 김민수",5 , 3
20190804,한화,"정은원, 강경학, 김태균, 호잉, 이성열, 송광민, 장진혁, 최재훈, 오선진, 서폴드",SK,"노수광, 한동민, 최정, 로맥, 이재원, 고종욱, 김강민, 나주환, 김성현, 산체스",2 , 8
20190804,KIA,"박찬호, 김선빈, 터커, 최형우, 안치홍, 김주찬, 이우성, 한승택, 이창진, 양현종",NC,"이상호, 이명기, 박민우, 스몰린스키, 모창민, 강진성, 김찬형, 손시헌, 김형준, 프리드릭",0 , 1
20190804,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 윌슨, 문규현, 안중열, 강로한, 장시환",두산,"정수빈, 최주환, 오재일, 김재환, 페르난데스, 오재원, 정진호, 장승현, 류지혁, 이영하",4 , 9
