Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20210403,키움,"이용규, 프레이타스, 이정후, 박병호, 서건창, 김수환, 김혜성, 박동원, 송우현, 요키시",삼성,"박해민, 김상수, 구자욱, 피렐라, 이원석, 강민호, 김헌곤, 이학주, 김호재, 뷰캐넌",1 , 6
20210404,두산,"허경민, 페르난데스, 박건우, 김재환, 양석환, 박세혁, 오재원, 김재호, 정수빈, 로켓",KIA,"최원준, 김선빈, 터커, 최형우, 나지완, 류지혁, 김호령, 한승택, 박찬호, 브룩스",1 , 4
20210404,키움,"이용규, 김혜성, 이정후, 박병호, 서건창, 프레이타스, 송우현, 김수환, 박동원, 안우진",삼성,"박해민, 김상수, 구자욱, 피렐라, 이원석, 강한울, 강민호, 이학주, 김호재, 라이블리",4 , 7
20210404,SSG,"최지훈, 로맥, 추신수, 최정, 최주환, 한유섬, 오태곤, 이재원, 박성한, 르위키",롯데,"안치홍, 손아섭, 전준우, 이대호, 정훈, 추재현, 김준태, 한동희, 마차도, 스트레일리",3 , 5
20210404,KT,"조용호, 황재균, 알몬테, 강백호, 유한준, 장성우, 박경수, 배정대, 심우준, 소형준",한화,"정은원, 박정현, 하주석, 힐리, 노시환, 임종찬, 장운호, 최재훈, 유로결, 김민우",2 , 3
20210404,NC,"이명기, 박민우, 나성범, 양의지, 알테어, 권희동, 박석민, 강진성, 김찬형, 루친스키",LG,"홍창기, 라모스, 김현수, 이형종, 채은성, 김민성, 유강남, 정주현, 오지환, 켈리",2 , 1
20210406,두산,"허경민, 페르난데스, 박건우, 김재환, 양석환, 김재호, 오재원, 박세혁, 정수빈, 최원준",삼성,"박해민, 김상수, 구자욱, 피렐라, 김헌곤, 이원석, 이성곤, 이학주, 김민수, 백정현",3 , 6
20210406,키움,"이용규, 김혜성, 이정후, 박병호, 서건창, 프레이타스, 송우현, 김수환, 박동원, 최원태",KIA,"최원준, 김선빈, 터커, 최형우, 나지완, 김민식, 류지혁, 김호령, 박찬호, 멩덴",5 , 4
20210406,SSG,"최지훈, 로맥, 추신수, 최정, 최주환, 한유섬, 오태곤, 이재원, 박성한, 박종훈",한화,"정은원, 정진호, 하주석, 힐리, 이성열, 김민하, 임종찬, 이해창, 강경학, 카펜터",1 , 2
20210406,KT,"조용호, 황재균, 알몬테, 강백호, 유한준, 장성우, 박경수, 배정대, 심우준, 데스파이네",LG,"홍창기, 라모스, 김현수, 이형종, 채은성, 김민성, 유강남, 정주현, 오지환, 수아레즈",3 , 2
20210406,NC,"박민우, 이명기, 나성범, 양의지, 알테어, 박석민, 강진성, 김찬형, 권희동, 송명기",롯데,"안치홍, 손아섭, 전준우, 이대호, 정훈, 추재현, 김준태, 한동희, 마차도, 프랑코",10 , 5
