이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
송윤준,20, P,0.39,26,0,26,6,0,0,0,0,0,1,23.0,11,11,11.05,106,23,7,0,1,13,1,0,16,2,0,3,4.30,4.30,4.32,4.35,4.66,1.57
김기중,21, P,0.38,15,12,3,0,0,0,2,4,0,0,53.2,28,32,32.00,260,63,10,1,4,36,4,2,36,3,2,0,4.70,5.37,5.37,5.54,5.29,1.84
김규연,24, P,0.36,28,1,27,6,0,0,1,0,0,1,29.1,16,17,17.20,126,28,4,0,2,11,4,1,20,1,0,1,4.91,5.22,5.28,5.01,4.86,1.33
문동욱,20, P,0.34,19,0,19,6,0,0,0,1,1,1,18.0,9,10,8.45,83,12,2,0,2,17,2,1,9,0,0,1,4.50,5.00,4.22,4.07,7.34,1.61
김이환,20, P,0.33,17,15,2,1,0,0,2,7,0,0,64.2,49,50,46.20,312,75,13,0,9,44,4,0,41,1,0,4,6.82,6.96,6.43,6.76,6.37,1.84
임준섭,19, P,0.31,34,6,28,7,0,0,1,3,0,1,49.1,23,30,27.90,230,56,14,1,1,28,1,0,26,5,0,6,4.20,5.47,5.09,5.34,4.56,1.70
김진욱,20, P,0.31,22,6,16,6,0,0,3,4,1,0,44.2,28,29,28.50,206,50,12,1,9,25,5,0,29,2,0,3,5.64,5.84,5.74,6.07,6.85,1.68
페냐,24, P,0.31,9,9,0,0,0,0,3,5,0,0,37.1,26,28,27.30,171,41,6,0,6,20,0,0,29,1,0,1,6.27,6.75,6.58,6.45,5.80,1.63
송윤준,21, P,0.30,17,0,17,3,0,0,0,0,0,2,12.2,5,5,4.10,55,12,2,0,1,6,2,1,8,0,0,0,3.55,3.55,2.91,3.02,4.84,1.42
장민재,24, P,0.30,18,0,18,6,0,0,1,1,0,0,19.1,8,8,10.40,97,34,5,0,2,6,1,0,14,0,0,2,3.72,3.72,4.84,4.65,4.71,2.07
배동현,21, P,0.27,20,4,16,2,0,0,1,3,0,0,38.0,19,21,21.00,177,34,9,1,3,25,4,0,26,1,2,1,4.50,4.97,4.97,5.15,5.36,1.55
정우람,23, P,0.26,52,0,52,7,0,0,0,1,0,8,40.1,24,24,22.20,183,45,8,2,3,17,2,0,30,2,0,3,5.36,5.36,4.95,4.98,4.34,1.54
서균,20, P,0.25,7,0,7,2,0,0,0,0,0,0,7.1,0,0,1.35,34,7,0,0,0,6,1,0,1,1,0,0,0.00,0.00,1.66,1.66,6.61,1.77
장웅정,20, P,0.25,2,2,0,0,0,0,0,1,0,0,7.2,3,3,2.65,35,7,1,0,0,6,0,0,5,0,0,1,3.52,3.52,3.11,3.49,4.79,1.70
장시환,22, P,0.24,64,0,64,30,0,0,0,5,14,9,63.2,31,37,35.45,280,57,14,2,4,33,1,4,67,5,0,2,4.38,5.23,5.01,5.01,3.41,1.41
강재민,22, P,0.22,56,0,56,24,0,0,4,8,7,7,51.1,24,26,28.70,232,44,5,1,7,29,4,8,39,2,0,1,4.21,4.56,5.03,4.95,5.08,1.42
정우람,22, P,0.19,23,0,23,5,0,0,0,1,1,7,18.1,6,8,8.35,84,23,5,0,1,6,0,1,20,2,0,0,2.95,3.93,4.10,4.36,2.55,1.58
문동주,22, P,0.18,13,4,9,1,0,0,1,3,0,2,28.2,18,19,16.95,127,28,5,1,5,14,1,0,36,4,1,2,5.65,5.97,5.32,5.59,4.34,1.47
박상원,19, P,0.17,61,0,61,13,0,0,1,4,0,12,59.0,26,29,34.05,256,52,6,0,5,28,5,1,39,6,0,1,3.97,4.42,5.19,5.29,4.85,1.36
김범수,23, P,0.17,76,0,76,5,0,0,5,5,1,18,62.1,29,33,35.80,283,64,10,0,3,33,3,5,52,4,0,4,4.19,4.76,5.17,5.15,3.93,1.56
박상원,22, P,0.17,14,0,14,1,0,0,0,0,0,4,12.0,3,4,5.40,53,11,1,0,0,6,0,0,16,3,0,1,2.25,3.00,4.05,4.16,2.00,1.42
이민우,23, P,0.16,17,0,17,0,0,0,2,1,0,2,13.2,4,6,6.15,57,8,0,0,2,6,0,0,11,3,0,1,2.63,3.95,4.05,4.24,4.94,1.02
김범수,24, P,0.14,29,0,29,4,0,0,0,0,0,3,26.0,16,16,17.35,118,23,1,0,8,14,5,1,30,1,0,3,5.54,5.54,6.01,5.90,7.09,1.42
바리아,24, P,0.14,1,1,0,0,0,0,0,0,0,0,4.0,2,2,2.00,16,4,1,0,1,1,0,0,4,0,0,0,4.50,4.50,4.50,4.20,5.42,1.25
박윤철,19, P,0.13,15,3,12,4,0,0,0,1,0,0,30.0,17,19,19.15,145,22,3,0,4,30,3,0,21,4,0,2,5.10,5.70,5.74,5.78,7.06,1.73
송은범,19, P,0.13,37,0,37,5,0,0,0,3,1,4,35.0,20,22,20.65,159,44,2,1,4,13,1,2,15,2,0,3,5.14,5.66,5.31,5.19,5.16,1.63
박상원,20, P,0.12,62,0,62,10,0,0,1,0,1,10,58.0,30,35,40.15,256,62,14,1,8,20,4,4,52,6,1,2,4.66,5.43,6.23,6.47,4.62,1.41
스미스,23, P,0.09,1,1,0,0,0,0,0,0,0,0,2.2,2,2,0.80,12,3,0,0,0,0,1,0,2,0,0,0,6.75,6.75,2.70,2.82,3.14,1.13
한승혁,24, P,0.09,25,0,25,1,0,0,0,4,0,5,23.1,16,17,16.30,109,27,5,0,0,13,1,0,21,1,0,2,6.17,6.56,6.29,6.09,3.78,1.71
장민재,20, P,0.08,24,10,14,6,0,0,2,7,0,0,57.1,43,44,41.95,267,86,19,2,5,13,2,0,32,0,0,1,6.75,6.91,6.59,6.84,4.45,1.73
송창현,19, P,0.07,3,2,1,0,0,0,0,1,0,0,12.2,9,9,9.00,57,15,1,0,4,4,0,0,5,0,0,0,6.39,6.39,6.39,6.53,7.56,1.50
정진호,21, RF,0.07,3,0,3,3,0,0,0,0,0,0,1.2,0,0,0.00,6,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5.63,1.20
박윤철,22, P,0.07,11,7,4,2,0,0,0,3,0,0,33.1,17,22,21.70,164,41,7,0,5,23,2,0,16,2,1,2,4.59,5.94,5.86,5.90,6.69,1.92
김서현,24, P,0.06,6,0,6,0,0,0,0,0,0,0,7.0,2,3,4.55,37,5,1,0,0,9,2,0,4,1,0,0,2.57,3.86,5.85,5.87,7.61,2.00
문동욱,21, P,0.05,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.00,6,1,0,0,0,1,0,0,2,0,0,0,0.00,0.00,0.00,0.00,2.34,1.50
김종수,19, P,0.05,35,0,35,11,0,0,2,0,0,0,31.0,20,21,19.80,148,30,4,0,4,33,1,0,28,0,0,2,5.81,6.10,5.75,5.80,6.49,2.03
김진영,21, P,0.05,20,0,20,3,0,0,0,1,0,1,18.1,8,8,10.90,81,16,3,0,2,14,0,2,8,1,0,1,3.93,3.93,5.35,5.43,6.34,1.64
장민재,23, P,0.05,25,13,12,6,0,0,3,8,0,1,69.0,37,46,47.55,308,79,13,2,12,22,5,2,61,4,0,5,4.83,6.00,6.20,6.20,4.83,1.46
남지민,21, P,0.02,3,3,0,0,0,0,0,1,0,0,7.1,6,6,5.15,41,9,2,0,1,7,3,0,3,0,0,0,7.36,7.36,6.32,6.52,8.59,2.18
류원석,23, P,0.02,1,0,1,1,0,0,0,0,0,0,2.0,1,1,1.00,8,1,0,0,0,0,1,0,1,0,0,1,4.50,4.50,4.50,4.13,4.15,0.50
임준섭,22, P,0.01,5,0,5,1,0,0,0,0,0,0,3.2,1,1,2.05,18,5,1,0,0,1,1,0,0,0,0,2,2.45,2.45,5.03,5.49,5.48,1.64
한승주,22, P,0.01,7,2,5,0,0,0,0,0,0,0,15.2,11,11,10.50,76,25,3,0,0,4,3,0,12,0,0,0,6.32,6.32,6.03,6.07,3.25,1.85
신정락,20, P,0.01,16,0,16,4,0,0,0,1,0,0,12.0,12,12,8.05,57,15,3,1,2,7,2,0,14,0,0,2,9.00,9.00,6.04,6.32,5.39,1.83
김성훈,19, P,0.01,15,1,14,7,0,0,0,1,0,0,22.1,12,12,14.60,104,24,5,0,3,15,1,0,26,0,0,6,4.84,4.84,5.88,5.97,4.72,1.75
류희운,22, P,0.00,7,0,7,3,0,0,0,0,0,0,6.0,2,2,4.25,30,5,1,0,0,6,2,0,5,0,0,2,3.00,3.00,6.38,6.49,5.83,1.83
황영국,19, P,0.00,6,0,6,4,0,0,0,0,0,0,4.0,3,3,3.00,20,8,0,0,2,1,0,0,6,0,0,0,6.75,6.75,6.75,6.86,6.78,2.25
송윤준,22, P,-0.01,3,0,3,1,0,0,0,0,0,0,4.1,3,3,3.00,21,3,0,1,0,2,2,0,3,1,0,0,6.23,6.23,6.23,6.30,4.91,1.15
이승관,22, P,-0.03,7,0,7,2,0,0,0,0,0,0,5.1,6,6,4.60,28,8,1,0,0,4,1,0,3,0,0,0,10.13,10.13,7.76,7.85,5.28,2.25
