이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
노시환,23, 3B,6.82,6.32,0.51,131,595,590,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,0.298,0.388,0.541,0.929,0.058,152.7
호잉,19, RF,5.11,3.88,1.23,124,525,522,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,0.284,0.340,0.460,0.800,0.020,121.0
최재훈,19, C,4.96,3.29,1.68,135,451,447,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,4,4,0.290,0.398,0.362,0.760,0.030,128.7
최재훈,21, C,4.84,3.53,1.31,116,467,461,375,52,103,21,0,7,145,44,3,2,72,12,2,68,16,5,3,0.275,0.405,0.387,0.792,0.028,126.3
정은원,21, 2B,4.46,4.71,-0.25,139,608,604,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,0.283,0.407,0.384,0.791,0.031,128.6
노시환,21, 3B,4.21,3.76,0.46,107,458,451,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,0.271,0.386,0.466,0.852,0.035,131.0
터크먼,22, CF,4.06,4.66,-0.61,144,648,644,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.430,0.796,0.024,123.5
최재훈,23, C,3.90,2.14,1.76,125,417,407,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,0.248,0.392,0.294,0.686,0.005,107.9
이진영,23, RF,3.60,2.79,0.81,121,422,418,358,57,89,22,0,10,141,50,5,0,53,2,0,127,4,4,5,0.249,0.344,0.394,0.738,0.016,117.5
최재훈,20, C,3.52,2.30,1.22,126,389,384,339,46,102,19,0,3,130,36,0,0,29,16,0,44,7,5,0,0.301,0.383,0.383,0.766,0.015,114.1
최재훈,22, C,3.25,1.11,2.14,114,437,431,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,-0.021,85.6
하주석,21, SS,3.17,2.72,0.46,138,594,589,525,84,143,27,3,10,206,68,23,6,51,10,1,135,9,5,3,0.272,0.346,0.392,0.738,-0.004,100.0
정은원,22, 2B,2.80,3.73,-0.93,140,601,597,508,67,139,20,2,8,187,49,10,6,85,1,0,109,10,4,3,0.274,0.377,0.368,0.745,0.015,115.7
김태연,21, 3B,2.75,2.31,0.44,53,220,220,176,29,53,12,0,3,74,34,5,3,34,5,0,44,4,0,5,0.301,0.418,0.420,0.838,0.058,150.4
노시환,24, 3B,2.45,1.89,0.56,62,278,274,250,43,71,6,1,16,127,48,3,0,26,2,6,55,5,0,0,0.284,0.356,0.508,0.864,0.028,119.0
김인환,22, 1B,2.42,2.10,0.32,113,429,428,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.003,106.0
채은성,23, 1B,2.36,4.24,-1.88,137,596,593,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.024,124.6
이도윤,23, SS,2.27,0.56,1.70,106,346,331,309,36,78,13,2,1,98,13,11,3,18,4,1,55,6,15,0,0.252,0.302,0.317,0.619,-0.038,73.3
정은원,19, 2B,2.20,1.97,0.23,142,624,618,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,-0.017,89.7
페라자,24, RF,2.19,2.79,-0.60,56,248,246,215,41,68,16,0,15,129,42,5,4,30,1,3,61,4,0,2,0.316,0.399,0.600,0.999,0.083,160.3
정진호,20, RF,2.12,1.09,1.03,113,326,315,282,30,78,14,1,2,100,19,9,7,29,3,1,50,5,10,2,0.277,0.348,0.355,0.703,-0.009,96.2
노시환,22, 3B,2.06,2.73,-0.66,115,490,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.737,0.006,108.3
반즈,20, RF,2.01,1.67,0.34,74,319,318,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,0.265,0.342,0.428,0.770,0.005,106.6
김태균,19, DH,1.88,3.72,-1.84,127,500,497,433,47,132,21,0,6,171,62,3,0,54,5,5,94,15,0,8,0.305,0.382,0.395,0.777,0.025,124.8
문현빈,23, CF,1.87,1.77,0.10,137,481,470,428,47,114,22,2,5,155,49,5,1,33,6,2,84,7,9,5,0.266,0.324,0.362,0.686,-0.011,94.5
노수광,22, LF,1.68,0.97,0.72,117,361,351,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3,0.229,0.299,0.362,0.661,-0.023,84.1
김태연,22, 3B,1.55,1.54,0.02,119,464,461,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.240,0.325,0.337,0.662,-0.013,91.9
강경학,20, SS,1.55,0.88,0.67,94,238,233,193,25,44,7,1,4,65,19,1,2,35,3,0,64,2,5,2,0.228,0.352,0.337,0.689,-0.007,97.4
최인호,23, LF,1.49,1.12,0.37,41,148,146,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.790,0.024,124.3
박정현,22, SS,1.46,0.18,1.29,81,220,218,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,-0.042,67.0
최인호,24, LF,1.44,0.93,0.51,59,188,184,160,27,41,10,2,1,58,15,2,0,20,2,0,28,1,4,2,0.256,0.342,0.363,0.705,0.010,105.2
최재훈,24, C,1.42,0.97,0.45,47,161,157,126,18,38,8,0,0,46,15,0,0,15,12,0,26,2,4,4,0.302,0.414,0.365,0.779,0.024,115.6
김태연,23, 1B,1.41,0.92,0.49,91,280,278,245,25,64,13,0,4,89,25,5,1,27,3,1,59,3,1,4,0.261,0.337,0.363,0.700,-0.018,89.3
이성열,19, RF,1.30,3.49,-2.18,129,476,475,414,60,106,21,1,21,192,85,8,4,48,9,1,114,7,1,4,0.256,0.343,0.464,0.807,0.025,125.1
