이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김지수,20, RF,-0.026,1,1,9.0,5,4,0,1,80.0,4.00,0.31,-0.08,-0.50,,,,,,-0.27,-2.77,-0.03,-0.30,-0.024
이성곤,23, 1B,-0.030,1,0,3.0,3,3,0,0,100.0,9.00,-0.30,,0.01,,,,,,-0.29,-5.23,-0.02,-0.31,-0.028
오선진,19, 2B,-0.031,3,3,18.0,13,6,7,0,100.0,6.50,-0.45,,0.02,,,,,,-0.43,-0.51,0.11,-0.32,-0.042
정기훈,20, 2B,-0.032,3,1,17.0,9,5,3,1,88.9,4.24,-0.43,,0.02,,,,,,-0.42,-2.08,0.06,-0.36,-0.037
정은원,19, 2B,-0.033,142,137,1192.2,733,299,421,13,98.2,5.43,-5.68,,-0.86,-0.01,,,,,-6.55,-6.64,6.21,-0.34,-0.641
박정현,20, 3B,-0.033,3,2,12.0,2,1,1,0,100.0,1.50,-0.50,,0.01,,0.12,,,,-0.37,-1.79,0.00,-0.37,-0.033
김지수,20, LF,-0.033,5,3,27.0,6,4,2,0,100.0,2.00,-0.58,0.28,0.03,,,,,,-0.27,-2.77,-0.11,-0.38,-0.024
김태연,19, 3B,-0.034,5,0,11.0,4,2,1,1,75.0,2.45,-0.22,,0.01,-0.14,,,,,-0.34,-5.50,0.00,-0.34,-0.034
이진영,22, RF,-0.034,54,47,414.2,77,73,3,1,98.7,1.65,1.58,-0.22,0.25,,,,,,1.61,3.32,-1.96,-0.35,0.157
조한민,21, 1B,-0.035,7,6,43.0,40,36,4,0,100.0,8.37,0.02,,0.04,,,,,,0.06,0.15,-0.42,-0.36,0.005
장지승,21, LF,-0.035,3,2,17.0,4,4,0,0,100.0,2.12,-0.06,-0.26,0.02,,,,,,-0.30,-1.79,-0.07,-0.37,-0.028
정기훈,20, 1B,-0.036,2,0,5.2,3,2,1,0,100.0,4.76,-0.39,,0.01,,,,,,-0.38,-1.91,-0.02,-0.40,-0.034
이명기,23, RF,-0.037,2,1,9.0,3,3,0,0,100.0,3.00,-0.25,-0.10,0.02,,,,,,-0.33,-3.43,-0.05,-0.38,-0.032
김지수,21, CF,-0.038,1,1,9.0,0,0,0,0,,0.00,-0.40,,0.01,,,,,,-0.39,-5.16,0.00,-0.39,-0.038
안치홍,24, 2B,-0.038,2,2,16.0,9,5,4,0,100.0,5.06,-0.69,,0.06,0.15,,,,,-0.47,-1.10,0.07,-0.40,-0.045
정은원,21, SS,-0.039,1,1,9.0,1,1,0,0,100.0,1.00,-0.50,,0.01,,,,,,-0.48,-0.50,0.08,-0.40,-0.046
허관회,21, C,-0.039,17,9,94.0,78,74,3,1,98.7,7.37,-0.05,,-0.20,,,-0.31,-2.67,1.74,-1.49,-7.66,1.08,-0.41,-0.142
박정현,21, 3B,-0.041,3,3,24.0,8,2,5,1,87.5,2.63,-0.06,,0.02,-0.19,-0.19,,,,-0.43,-1.86,0.00,-0.43,-0.041
최인호,20, 1B,-0.044,1,1,6.0,6,6,0,0,100.0,9.00,-0.45,,0.01,,,,,,-0.44,-1.36,-0.06,-0.50,-0.039
박정현,20, 2B,-0.045,1,1,6.0,4,0,4,0,100.0,6.00,-0.54,,0.01,,,,,,-0.54,-2.58,0.03,-0.51,-0.047
이동훈,19, LF,-0.045,8,5,39.1,9,9,0,0,100.0,2.06,0.55,-0.86,0.04,,,,,,-0.27,-2.79,-0.19,-0.46,-0.027
허관회,22, C,-0.045,5,1,13.0,14,13,1,0,100.0,9.69,-0.03,,0.04,,,-0.40,-0.71,0.51,-0.58,-5.61,0.12,-0.46,-0.057
이원석,22, CF,-0.045,13,6,64.0,20,19,0,1,95.0,2.67,0.97,-1.04,-0.39,,,,,,-0.47,-3.35,0.00,-0.47,-0.045
노태형,21, 1B,-0.048,9,8,61.0,56,55,1,0,100.0,8.26,0.10,,0.05,,,,,,0.15,1.23,-0.66,-0.51,0.015
박정현,23, 1B,-0.050,8,1,16.0,13,13,0,0,100.0,7.31,-0.46,,0.04,,,,,,-0.42,-1.14,-0.10,-0.52,-0.041
힐리,21, 1B,-0.051,62,59,527.0,526,479,42,5,99.0,8.90,4.69,,-0.06,,-0.12,,,,4.51,9.69,-5.04,-0.53,0.431
양성우,20, LF,-0.051,4,3,24.0,1,1,0,0,100.0,0.38,-0.62,0.10,0.03,,,,,,-0.49,-14.22,-0.09,-0.58,-0.044
김민하,19, 1B,-0.053,1,0,2.0,1,1,0,0,100.0,4.50,-0.53,,0.00,,,,,,-0.52,-1.05,-0.02,-0.54,-0.051
김현민,20, 2B,-0.053,3,0,8.0,7,3,3,1,85.7,6.75,-0.14,,-0.51,0.00,,,,,-0.65,-23.24,0.04,-0.61,-0.057
강경학,21, 3B,-0.056,5,3,27.0,4,1,2,1,75.0,1.00,-0.61,,0.02,,,,,,-0.59,-3.40,0.00,-0.59,-0.056
유장혁,20, RF,-0.058,9,4,43.1,7,6,1,0,100.0,1.45,-0.08,-0.51,0.06,,,,,,-0.52,-2.51,-0.14,-0.66,-0.046
오선진,19, 3B,-0.059,4,0,9.0,3,1,2,0,100.0,3.00,-0.47,,0.01,-0.14,,,,,-0.60,-0.71,0.00,-0.60,-0.059
장운호,19, LF,-0.060,4,1,14.0,2,1,1,0,100.0,1.29,-0.69,0.11,0.01,,,,,,-0.56,-11.61,-0.05,-0.61,-0.055
김태연,21, LF,-0.060,4,4,25.0,10,10,0,0,100.0,3.60,0.33,-0.86,0.02,,,,,,-0.51,-1.38,-0.12,-0.63,-0.049
장진혁,20, RF,-0.062,6,4,39.0,10,10,0,0,100.0,2.31,-0.25,-0.35,0.05,,,,,,-0.54,-4.12,-0.16,-0.70,-0.048
이원석,21, LF,-0.063,2,0,4.0,1,1,0,0,100.0,2.25,-0.65,,0.00,,,,,,-0.64,-2.16,-0.01,-0.65,-0.062
장운호,21, LF,-0.063,34,23,216.0,49,49,0,0,100.0,2.04,0.33,-0.15,0.20,,,,,,0.37,0.52,-1.03,-0.66,0.036
유로결,24, LF,-0.063,1,1,5.0,1,1,0,0,100.0,1.80,-0.73,0.08,0.01,,,,,,-0.64,-18.48,-0.02,-0.66,-0.061
이성곤,21, 1B,-0.063,38,34,283.0,268,251,13,4,98.5,8.40,2.29,,-0.26,,0.06,,,,2.08,4.83,-2.74,-0.66,0.199
최승준,20, 1B,-0.065,1,0,5.0,3,3,0,0,100.0,5.40,-0.69,,0.00,,,,,,-0.68,-49.02,-0.06,-0.74,-0.060
권광민,23, LF,-0.066,27,6,97.2,20,20,0,0,100.0,1.84,-1.50,0.97,0.18,,,,,,-0.35,-0.76,-0.33,-0.68,-0.034
강경학,20, SS,-0.066,2,2,18.0,9,2,6,1,88.9,4.00,-0.92,,0.03,-0.02,,,,,-0.91,-1.40,0.16,-0.75,-0.081
노시환,22, 1B,-0.068,36,25,232.0,229,209,17,3,98.7,8.77,1.46,,0.17,,-0.20,,,,1.44,1.80,-2.14,-0.70,0.141
이도윤,21, SS,-0.069,21,6,81.0,30,11,16,3,90.0,3.00,-1.16,,-0.37,0.22,,,,,-1.30,-3.35,0.58,-0.72,-0.125
유상빈,22, RF,-0.071,3,3,23.0,3,3,0,0,100.0,1.17,-0.79,0.11,0.04,,,,,,-0.64,-5.41,-0.09,-0.73,-0.062
이원석,22, LF,-0.071,4,2,21.0,2,2,0,0,100.0,0.86,0.01,-0.70,0.03,,,,,,-0.65,-4.68,-0.08,-0.73,-0.064
노수광,20, LF,-0.072,24,17,155.0,38,36,1,1,97.4,2.15,0.34,-0.03,-0.32,,,,,,0.00,0.00,-0.82,-0.82,0.000
김회성,20, 3B,-0.073,4,3,30.0,7,3,3,1,85.7,1.80,-1.13,,0.02,0.29,,,,,-0.82,-7.91,0.00,-0.82,-0.073
강상원,21, CF,-0.073,10,6,60.0,15,15,0,0,100.0,2.25,0.35,-1.18,0.06,,,,,,-0.77,-3.16,0.00,-0.77,-0.073
장진혁,20, CF,-0.076,7,3,30.0,9,7,2,0,100.0,2.70,-1.92,1.03,0.03,,,,,,-0.86,-6.50,0.00,-0.86,-0.076
최진행,19, LF,-0.078,44,36,267.0,68,68,0,0,100.0,2.29,0.60,-0.45,0.26,,,,,,0.41,1.31,-1.21,-0.80,0.040
노시환,20, 3B,-0.079,82,73,629.0,182,64,108,10,94.5,2.46,0.33,,-0.14,-0.93,-0.16,,,,-0.90,-1.22,0.00,-0.90,-0.079
채은성,24, RF,-0.082,10,10,79.0,19,19,0,0,100.0,2.16,-0.15,-0.56,0.25,,,,,,-0.46,-1.49,-0.40,-0.86,-0.044
이상혁,23, CF,-0.082,2,0,6.0,2,2,0,0,100.0,3.00,-0.55,-0.31,0.01,,,,,,-0.85,-17.49,0.00,-0.85,-0.082
원혁재,22, RF,-0.083,4,4,26.0,6,6,0,0,100.0,2.08,-0.75,-0.05,0.05,,,,,,-0.76,-9.91,-0.09,-0.85,-0.074
장운호,20, RF,-0.087,10,4,46.2,10,10,0,0,100.0,1.93,-0.24,-0.62,0.06,,,,,,-0.79,-4.73,-0.20,-0.99,-0.070
이도윤,20, 2B,-0.088,10,3,39.0,12,3,9,0,100.0,2.77,-1.15,,0.04,,,,,,-1.11,-11.41,0.11,-1.00,-0.098
김인환,24, 1B,-0.090,1,1,6.0,5,3,1,1,80.0,6.00,-0.92,,0.01,,,,,,-0.90,-43.38,-0.04,-0.94,-0.086
백진우,19, RF,-0.092,5,5,25.2,6,6,0,0,100.0,2.10,-1.34,0.48,0.04,,,,,,-0.82,-7.42,-0.12,-0.94,-0.081
박정현,21, 1B,-0.095,7,7,52.0,47,42,3,2,95.7,7.79,-1.21,,0.04,,0.74,,,,-0.43,-1.89,-0.56,-0.99,-0.041
양성우,19, CF,-0.096,1,1,8.0,0,0,0,0,,0.00,-0.78,-0.21,0.01,,,,,,-0.98,-2.52,0.00,-0.98,-0.096
페레즈,21, 3B,-0.098,7,6,49.0,14,4,8,2,85.7,2.20,-1.32,,0.04,-0.21,0.46,,,,-1.03,-2.51,0.00,-1.03,-0.098
유로결,23, CF,-0.101,5,3,21.0,5,5,0,0,100.0,2.14,-1.05,-0.01,0.03,,,,,,-1.04,-5.55,0.00,-1.04,-0.101
허관회,23, C,-0.101,8,0,14.2,15,14,0,1,93.3,8.59,-0.83,,0.04,,,-0.19,-0.57,0.42,-1.14,-16.38,0.10,-1.04,-0.110
송광민,20, 1B,-0.101,31,27,222.1,210,196,12,2,99.0,8.42,1.68,,-0.83,,0.06,,,,0.91,1.39,-2.06,-1.15,0.080
장지승,21, RF,-0.102,18,16,129.0,29,28,0,1,96.6,1.95,0.40,-1.06,0.18,,,,,,-0.48,-2.90,-0.58,-1.06,-0.046
장운호,23, RF,-0.108,3,2,22.0,5,5,0,0,100.0,2.05,-0.88,-0.19,0.04,,,,,,-1.03,-37.16,-0.08,-1.11,-0.100
이진영,24, RF,-0.112,6,2,18.0,3,3,0,0,100.0,1.50,-0.50,-0.64,0.06,,,,,,-1.09,-6.82,-0.09,-1.18,-0.103
노태형,21, 3B,-0.114,3,2,14.0,6,1,3,2,66.7,2.57,-1.30,,0.01,,0.10,,,,-1.19,-9.54,0.00,-1.19,-0.114
이도윤,21, 2B,-0.119,16,2,38.0,16,5,11,0,100.0,3.79,-1.41,,0.05,,,,,,-1.37,-3.51,0.12,-1.25,-0.131
변우혁,22, 1B,-0.120,8,6,54.1,59,54,3,2,96.6,9.44,-0.47,,-0.44,,0.15,,,,-0.77,-5.27,-0.46,-1.23,-0.075
정기훈,20, SS,-0.123,4,2,21.0,7,3,3,1,85.7,2.57,-1.30,,0.03,-0.26,,,,,-1.53,-7.61,0.14,-1.39,-0.135
하주석,24, SS,-0.130,13,13,104.0,52,17,35,0,100.0,4.50,-2.68,,0.41,-0.08,,,,,-2.35,-21.12,0.98,-1.37,-0.223
이도윤,22, 2B,-0.133,18,9,95.0,46,19,24,3,93.5,4.07,-1.40,,0.11,-0.43,,,,,-1.72,-3.09,0.36,-1.36,-0.168
강경학,19, SS,-0.133,27,17,153.0,85,31,51,3,96.5,4.82,-2.92,,-0.28,0.34,,,,,-2.86,-7.92,1.50,-1.36,-0.280
박정현,23, 3B,-0.134,12,6,53.0,16,9,5,2,87.5,2.38,-0.57,,-0.82,,,,,,-1.39,-3.77,0.00,-1.39,-0.134
원혁재,22, LF,-0.137,5,3,29.0,10,10,0,0,100.0,3.10,-1.14,-0.18,0.04,,,,,,-1.28,-16.77,-0.12,-1.40,-0.125
강경학,19, 2B,-0.144,13,4,51.0,35,20,14,1,97.1,6.00,-1.79,,0.07,0.01,,,,,-1.71,-4.73,0.24,-1.47,-0.167
최인호,20, LF,-0.144,37,32,259.2,65,61,4,0,100.0,2.25,-1.19,0.32,0.34,,,,,,-0.54,-1.64,-1.10,-1.64,-0.047
정민규,22, 1B,-0.152,8,7,58.0,46,39,6,1,97.8,6.98,-0.54,,0.04,,-0.60,,,,-1.10,-17.55,-0.46,-1.56,-0.107
오선진,20, 2B,-0.155,24,7,105.1,57,22,34,1,98.2,4.78,-1.56,,0.10,-0.74,,,,,-2.20,-3.41,0.45,-1.75,-0.194
반즈,20, CF,-0.156,9,7,58.0,16,16,0,0,100.0,2.48,-1.77,-0.06,0.06,,,,,,-1.77,-3.44,0.00,-1.77,-0.156
백진우,19, LF,-0.157,11,11,81.0,17,16,1,0,100.0,1.89,-2.47,1.15,0.08,,,,,,-1.24,-11.17,-0.36,-1.60,-0.121
이원석,21, CF,-0.160,38,31,295.0,73,71,1,1,98.6,2.20,-1.29,-0.69,0.30,,,,,,-1.68,-5.62,0.00,-1.68,-0.160
유로결,21, CF,-0.161,29,25,223.0,71,70,1,0,100.0,2.87,-2.23,0.32,0.23,,,,,,-1.68,-7.13,0.00,-1.68,-0.161
조한민,21, RF,-0.166,15,13,96.2,21,21,0,0,100.0,1.96,-0.81,-0.66,0.13,,,,,,-1.34,-3.72,-0.39,-1.73,-0.128
정민규,21, 3B,-0.169,3,3,19.0,12,2,7,3,75.0,4.26,-1.97,,0.01,-0.19,0.38,,,,-1.77,-42.42,0.00,-1.77,-0.169
변우혁,19, 1B,-0.170,27,14,133.0,136,124,11,1,99.3,9.14,-0.26,,0.13,,-0.50,,,,-0.64,-3.16,-1.10,-1.74,-0.062
노시환,19, C,-0.173,1,0,3.0,2,2,0,0,100.0,6.00,0.00,,0.01,,,-0.09,-1.56,-0.18,-1.82,-2.88,0.05,-1.77,-0.178
유장혁,19, CF,-0.175,11,4,38.0,12,12,0,0,100.0,2.84,-1.94,0.11,0.05,,,,,,-1.79,-6.77,0.00,-1.79,-0.175
강경학,20, 1B,-0.178,13,7,66.0,65,58,4,3,95.4,8.45,-1.59,,0.06,,0.06,,,,-1.47,-2.26,-0.54,-2.01,-0.130
오그레디,23, RF,-0.184,4,2,19.0,4,3,0,1,75.0,1.42,-0.88,-0.49,-0.46,,,,,,-1.83,-11.99,-0.07,-1.90,-0.177
이성열,20, 1B,-0.185,5,5,37.0,35,33,1,1,97.1,8.27,-1.75,,0.03,,,,,,-1.71,-3.12,-0.38,-2.09,-0.151
김건,23, 1B,-0.186,1,1,9.0,4,2,1,1,75.0,3.00,-1.38,,-0.47,,,,,,-1.86,-38.22,-0.06,-1.92,-0.180
페레즈,21, 1B,-0.189,35,20,199.0,182,159,18,5,97.3,8.01,0.19,,0.16,,-0.51,,,,-0.15,-0.38,-1.82,-1.97,-0.015
채은성,24, 1B,-0.193,19,18,152.2,155,145,8,2,98.7,9.02,-0.90,,0.34,,0.02,,,,-0.53,-1.71,-1.50,-2.03,-0.051
하주석,22, SS,-0.193,110,104,899.0,430,135,276,19,95.6,4.11,-9.56,,-0.45,-0.31,,,,,-10.32,-11.89,8.34,-1.98,-1.008
송호정,21, SS,-0.198,4,2,22.0,5,0,4,1,80.0,1.64,-2.26,,0.04,0.00,,,,,-2.23,-32.05,0.16,-2.07,-0.213
장진혁,20, LF,-0.205,6,0,14.0,1,1,0,0,100.0,0.64,-2.30,,0.02,,,,,,-2.29,-17.32,-0.04,-2.33,-0.202
