이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
양의지,20, C,6.63,5.37,1.26,130,528,521,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,0.328,0.400,0.603,1.003,0.062,149.4
양의지,19, C,6.21,6.20,0.00,118,459,455,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,0.354,0.438,0.574,1.012,0.086,176.6
박민우,20, 2B,5.99,4.17,1.82,126,530,526,467,82,161,27,5,8,222,63,13,6,36,15,2,48,12,2,10,0.345,0.402,0.475,0.877,0.036,129.7
박민우,19, 2B,5.83,4.70,1.13,125,526,523,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,0.344,0.403,0.434,0.837,0.039,136.6
알테어,21, CF,5.81,5.10,0.71,143,565,564,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5,0.272,0.358,0.514,0.872,0.040,136.1
양의지,21, C,5.51,6.76,-1.25,141,570,566,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,0.325,0.414,0.581,0.995,0.074,163.0
양의지,22, C,5.31,4.78,0.54,130,510,507,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,0.283,0.380,0.480,0.860,0.045,141.2
박민우,23, 2B,5.25,3.97,1.28,124,509,501,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.025,124.7
나성범,20, DH,5.21,5.81,-0.60,130,584,582,525,115,170,37,2,34,313,112,3,1,49,9,2,148,6,0,1,0.324,0.390,0.596,0.986,0.058,146.4
손아섭,23, DH,4.62,5.44,-0.82,140,609,608,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,0.339,0.393,0.443,0.836,0.039,137.5
노진혁,20, SS,4.59,2.83,1.76,132,484,480,427,70,117,22,3,20,205,82,0,4,49,5,3,106,8,3,0,0.274,0.356,0.480,0.836,0.015,114.0
김주원,22, SS,4.29,1.46,2.83,96,326,316,273,35,61,9,3,10,106,47,10,3,30,14,1,89,4,9,0,0.223,0.331,0.388,0.719,-0.006,97.8
노진혁,19, SS,4.07,2.06,2.01,110,390,383,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,0.264,0.326,0.454,0.780,0.004,106.9
박건우,22, CF,3.95,4.54,-0.59,111,463,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,0.336,0.408,0.458,0.866,0.053,148.3
박건우,23, RF,3.92,5.03,-1.10,130,533,532,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,0.319,0.397,0.480,0.877,0.048,144.9
나성범,21, DH,3.41,4.19,-0.78,144,623,621,570,96,160,29,1,33,290,101,1,2,38,11,2,155,5,0,4,0.281,0.335,0.509,0.844,0.020,119.9
마틴,23, CF,3.28,3.40,-0.13,118,503,502,435,55,123,20,2,17,198,90,15,3,57,1,2,107,8,0,10,0.283,0.360,0.455,0.815,0.016,117.8
알테어,20, CF,3.22,4.27,-1.05,136,546,544,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,0.278,0.352,0.541,0.893,0.029,124.5
박석민,20, 3B,3.10,4.21,-1.11,123,448,444,356,58,109,15,0,14,166,63,0,1,75,10,2,62,11,2,4,0.306,0.436,0.466,0.902,0.054,143.2
노진혁,21, SS,3.09,2.56,0.54,107,384,380,330,41,95,22,0,8,141,58,1,1,42,5,0,90,3,4,3,0.288,0.374,0.427,0.801,0.020,119.6
손아섭,22, RF,3.08,2.94,0.14,138,617,615,548,72,152,29,4,4,201,48,7,3,59,3,2,76,9,1,6,0.277,0.347,0.367,0.714,-0.001,102.6
박석민,19, 3B,3.06,3.99,-0.93,112,444,439,360,49,96,17,1,19,172,74,1,2,65,12,2,69,17,4,3,0.267,0.393,0.478,0.871,0.045,141.8
