이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김주원,22, SS,2.009,79,70,636.1,356,139,206,11,96.9,4.88,14.85,,-0.88,1.01,,,,,14.97,22.46,5.60,20.57,1.462
박민우,20, 2B,1.918,123,116,943.2,538,250,278,10,98.1,5.04,14.65,,0.88,1.03,,,,,16.55,18.91,5.19,21.74,1.460
김주원,24, SS,1.710,60,54,476.0,207,84,117,6,97.1,3.80,13.70,,-0.13,0.21,,,,,13.79,32.56,4.24,18.03,1.308
노진혁,20, SS,1.516,125,115,955.2,456,174,274,8,98.2,4.22,7.71,,0.87,-0.53,,,,,8.05,8.78,9.14,17.19,0.710
김태군,21, C,1.502,100,76,666.0,622,568,48,6,99.0,8.32,0.27,,-0.84,,0.25,0.88,3.81,4.78,9.16,12.93,6.55,15.71,0.876
박민우,23, 2B,1.426,114,108,874.2,475,196,264,15,96.8,4.73,12.02,,-0.82,-1.18,,,,,10.02,11.64,4.71,14.73,0.970
양의지,20, C,1.381,106,97,792.0,694,645,47,2,99.7,7.86,-0.86,,2.10,,0.31,0.37,2.28,1.32,5.52,6.12,10.13,15.65,0.487
노진혁,19, 3B,1.252,52,31,301.0,104,19,82,3,97.1,3.02,13.20,,-0.23,-0.43,0.25,,,,12.79,16.74,0.00,12.79,1.252
박민우,19, 2B,1.148,116,112,928.1,542,232,301,9,98.3,5.17,8.30,,0.27,-1.79,,,,,6.78,7.81,4.95,11.73,0.664
양의지,22, C,1.095,96,89,736.2,744,688,54,2,99.7,9.07,0.66,,1.28,,0.31,1.46,0.46,-1.74,2.43,2.69,8.78,11.21,0.237
박민우,21, 2B,1.070,49,48,384.0,215,103,109,3,98.6,4.97,8.84,,0.48,-0.27,,,,,9.05,26.07,2.14,11.19,0.866
김태군,20, C,0.855,75,34,335.1,319,297,19,3,99.1,8.48,-0.17,,-0.44,,0.20,-0.44,-0.60,8.23,6.77,12.18,2.93,9.70,0.597
박민우,24, 2B,0.816,44,42,364.2,190,81,107,2,98.9,4.64,5.54,,1.26,-0.24,,,,,6.57,20.57,2.03,8.60,0.623
권희동,24, LF,0.770,56,50,418.0,125,117,8,0,100.0,2.69,9.08,0.72,0.48,,,,,,10.29,24.69,-2.17,8.12,0.976
김주원,23, SS,0.704,127,122,1030.0,519,177,313,29,94.4,4.28,2.11,,-4.50,0.32,,,,,-2.07,-2.35,9.34,7.27,-0.200
서호철,23, 3B,0.701,96,78,690.0,209,66,133,10,95.2,2.60,6.79,,-0.71,0.74,0.41,,,,7.24,9.14,0.00,7.24,0.701
김주원,22, 2B,0.671,20,11,94.0,56,28,28,0,100.0,5.36,5.71,,0.11,0.64,,,,,6.47,9.70,0.40,6.87,0.631
김태진,19, LF,0.666,50,37,311.0,84,81,3,0,100.0,2.43,8.04,-0.06,0.30,,,,,,8.28,9.69,-1.47,6.81,0.810
노진혁,19, SS,0.647,70,61,497.0,248,81,165,2,99.2,4.45,1.75,,0.69,-0.61,,,,,1.83,2.40,4.78,6.61,0.179
김형준,23, C,0.616,24,19,180.0,169,160,7,2,98.8,8.35,0.05,,-0.51,,-0.27,0.16,2.62,2.47,4.52,25.02,1.85,6.37,0.437
김형준,24, C,0.589,53,49,423.0,399,361,32,6,98.5,8.36,0.04,,-0.87,,0.55,0.12,1.50,,1.34,3.63,4.87,6.21,0.127
노진혁,21, SS,0.580,65,61,503.2,225,84,136,5,97.8,3.93,1.30,,-0.18,0.09,,,,,1.20,1.62,4.86,6.06,0.115
박민우,22, 2B,0.558,100,97,840.0,451,197,246,8,98.2,4.75,0.96,,0.01,0.32,,,,,1.30,1.80,4.42,5.72,0.127
도태훈,22, 3B,0.555,30,16,158.1,49,12,35,2,95.9,2.67,4.36,,0.14,1.07,0.12,,,,5.68,8.99,0.00,5.68,0.555
김기환,22, CF,0.532,44,20,209.0,62,60,1,1,98.4,2.63,5.67,-0.03,-0.19,,,,,,5.45,10.74,0.00,5.45,0.532
손시헌,19, SS,0.523,67,35,344.1,196,54,138,4,98.0,5.02,0.03,,0.48,2.02,,,,,2.52,5.34,2.82,5.34,0.247
최정원,21, 2B,0.498,65,56,451.1,232,92,133,7,97.0,4.49,3.21,,-0.93,0.63,,,,,2.92,5.84,2.29,5.21,0.279
손아섭,22, RF,0.487,108,108,894.2,203,193,7,3,98.5,2.01,8.98,0.69,0.13,,,,,,9.80,10.23,-4.81,4.99,0.957
알테어,21, CF,0.471,134,129,1078.2,325,319,4,2,99.4,2.69,4.34,0.47,0.11,,,,,,4.92,4.95,0.00,4.92,0.471
양의지,19, C,0.433,91,87,723.1,637,590,45,2,99.7,7.90,-0.36,,1.19,,0.04,-1.28,2.72,-6.50,-4.19,-5.12,8.62,4.42,-0.411
손아섭,24, RF,0.426,13,12,94.0,26,26,0,0,100.0,2.49,5.08,-0.37,0.29,,,,,,5.00,11.81,-0.51,4.49,0.474
김주원,21, SS,0.403,51,40,346.1,180,73,97,10,94.4,4.42,2.64,,-0.44,-0.91,,,,,1.30,2.70,2.92,4.22,0.124
지석훈,20, 2B,0.397,25,14,127.0,74,34,39,1,98.6,5.17,3.69,,0.12,0.19,,,,,4.00,6.61,0.50,4.50,0.352
김태진,19, 2B,0.364,14,10,92.0,62,21,41,0,100.0,6.07,2.62,,0.12,0.52,,,,,3.27,3.83,0.45,3.72,0.320
서호철,23, 2B,0.343,30,23,190.2,112,44,64,4,96.4,5.10,1.18,,0.68,0.62,,,,,2.49,3.14,1.05,3.54,0.241
도태훈,23, 3B,0.321,56,36,347.2,91,26,62,3,96.7,2.28,3.41,,0.15,-0.33,0.09,,,,3.32,4.08,0.00,3.32,0.321
한석현,23, LF,0.311,20,6,77.0,20,20,0,0,100.0,2.34,3.73,-0.33,0.14,,,,,,3.55,18.91,-0.33,3.22,0.343
김한별,23, SS,0.308,47,22,232.1,101,24,74,3,97.0,3.80,1.84,,-0.22,-0.18,,,,,1.44,2.63,1.74,3.18,0.139
천재환,23, LF,0.302,15,2,46.0,15,15,0,0,100.0,2.93,2.51,0.70,0.09,,,,,,3.29,6.08,-0.18,3.11,0.319
지석훈,20, SS,0.299,23,8,88.0,44,19,24,1,97.7,4.40,2.73,,-0.39,0.41,,,,,2.75,4.55,0.64,3.39,0.242
김태군,19, C,0.294,15,7,71.1,50,46,4,0,100.0,6.31,0.00,,0.21,,,0.53,1.46,0.20,2.41,19.25,0.60,3.01,0.235
김성욱,20, CF,0.279,27,7,94.0,29,29,0,0,100.0,2.78,2.78,0.28,0.10,,,,,,3.16,4.38,0.00,3.16,0.279
김성욱,24, CF,0.254,55,49,423.0,111,110,1,0,100.0,2.36,2.30,-0.33,0.71,,,,,,2.68,6.32,0.00,2.68,0.254
권희동,22, LF,0.245,25,17,146.2,40,40,0,0,100.0,2.45,2.70,0.30,0.22,,,,,,3.21,5.64,-0.70,2.51,0.314
지석훈,19, SS,0.244,16,12,103.0,63,23,39,1,98.4,5.42,3.22,,0.14,-1.72,,,,,1.64,3.10,0.86,2.50,0.160
최정원,24, CF,0.235,17,4,56.1,24,23,0,1,95.8,3.67,2.86,0.01,-0.40,,,,,,2.47,9.63,0.00,2.47,0.235
김주원,21, 2B,0.224,28,13,121.1,67,23,42,2,97.0,4.82,2.26,,0.15,-0.49,,,,,1.92,4.02,0.42,2.34,0.184
김태진,20, 3B,0.224,19,12,104.0,31,7,22,2,93.5,2.51,3.64,,0.06,-1.28,0.12,,,,2.54,4.46,0.00,2.54,0.224
김찬형,19, SS,0.220,58,36,340.0,171,62,106,3,98.2,4.45,-1.25,,0.47,0.31,,,,,-0.47,-0.89,2.72,2.25,-0.046
김성욱,23, LF,0.220,31,19,167.2,37,37,0,0,100.0,1.99,2.46,0.28,0.31,,,,,,3.06,4.73,-0.79,2.27,0.296
도태훈,23, 1B,0.215,59,23,287.0,280,260,19,1,99.6,8.75,4.04,,0.65,,-0.20,,,,4.50,5.54,-2.28,2.22,0.436
김성욱,19, CF,0.209,101,80,728.2,185,180,3,2,98.9,2.26,1.55,0.16,0.43,,,,,,2.14,2.65,0.00,2.14,0.209
최승민,21, LF,0.209,15,3,43.0,14,14,0,0,100.0,2.93,2.09,0.22,0.04,,,,,,2.34,7.03,-0.16,2.18,0.224
김응민,22, C,0.191,34,17,179.2,181,163,17,1,99.4,9.02,0.18,,0.06,,0.09,-0.13,-1.12,1.18,0.26,1.09,1.70,1.96,0.025
마틴,23, LF,0.190,29,26,232.1,55,53,1,1,98.2,2.09,2.32,0.84,-0.06,,,,,,3.09,3.77,-1.13,1.96,0.299
서호철,22, 2B,0.189,41,27,258.0,129,54,74,1,99.2,4.47,0.99,,0.30,-0.42,,,,,0.87,1.40,1.07,1.94,0.084
지석훈,21, 3B,0.188,5,1,19.0,11,5,6,0,100.0,5.21,2.22,,0.01,-0.27,,,,,1.96,10.10,0.00,1.96,0.188
최정원,23, 2B,0.176,11,5,62.0,34,11,23,0,100.0,4.94,1.85,,0.22,-0.56,,,,,1.52,5.60,0.30,1.82,0.147
천재환,23, CF,0.170,37,27,259.2,74,72,2,0,100.0,2.56,1.44,-0.03,0.35,,,,,,1.76,3.25,0.00,1.76,0.170
지석훈,20, 3B,0.170,50,13,165.2,65,17,45,3,95.4,3.37,2.05,,0.10,-0.35,0.12,,,,1.92,3.19,0.00,1.92,0.170
박세혁,23, C,0.169,86,72,620.0,566,524,41,1,99.8,8.20,0.26,,1.15,,0.35,-1.17,0.99,-6.48,-4.90,-8.02,6.65,1.75,-0.475
박준영,21, 3B,0.161,65,39,353.2,99,31,65,3,97.0,2.44,2.85,,-0.73,0.56,-0.99,,,,1.68,2.18,0.00,1.68,0.161
김찬형,21, 2B,0.150,8,2,30.2,19,5,14,0,100.0,5.58,0.52,,0.04,0.88,,,,,1.44,2.36,0.13,1.57,0.138
한석현,24, LF,0.149,4,0,8.0,4,3,1,0,100.0,4.50,0.53,1.06,0.01,,,,,,1.60,15.36,-0.03,1.57,0.152
최정원,20, LF,0.149,5,1,15.0,5,5,0,0,100.0,3.00,1.35,0.39,0.02,,,,,,1.76,5.16,-0.07,1.69,0.155
지석훈,19, 3B,0.148,48,21,235.2,79,19,56,4,94.9,2.86,2.71,,-0.28,-1.03,0.12,,,,1.52,2.87,0.00,1.52,0.148
김형준,19, C,0.146,51,31,286.2,239,216,22,1,99.6,7.47,0.03,,0.86,,-0.34,0.46,-2.87,0.69,-1.17,-3.07,2.66,1.49,-0.115
김한별,22, SS,0.141,23,4,75.0,31,9,19,3,90.3,3.36,1.30,,0.12,-0.40,,,,,1.03,6.17,0.42,1.45,0.100
김태진,19, CF,0.141,30,21,187.0,70,66,2,2,97.1,3.27,1.96,0.23,-0.75,,,,,,1.44,1.68,0.00,1.44,0.141
정범모,19, C,0.140,25,8,103.0,95,89,5,1,98.9,8.21,0.19,,-0.18,,,-0.13,0.23,0.31,0.42,2.41,1.01,1.43,0.041
도태훈,23, 2B,0.137,17,7,79.1,46,26,20,0,100.0,5.22,0.21,,0.28,0.56,,,,,1.05,1.29,0.36,1.41,0.102
정진기,22, LF,0.131,5,3,30.0,6,6,0,0,100.0,1.80,1.32,0.10,0.05,,,,,,1.47,5.41,-0.12,1.35,0.143
권희동,20, RF,0.129,65,56,453.2,113,105,7,1,99.1,2.22,2.86,0.76,0.11,,,,,,3.73,4.37,-2.27,1.46,0.329
박석민,21, 3B,0.120,47,44,330.2,118,29,81,8,93.2,2.99,3.32,,-0.75,-0.89,-0.42,,,,1.26,3.07,0.00,1.26,0.120
최정원,21, LF,0.118,5,1,15.2,7,7,0,0,100.0,4.02,1.29,0.00,0.01,,,,,,1.30,2.61,-0.07,1.23,0.125
도태훈,24, 1B,0.116,17,3,48.1,49,44,5,0,100.0,9.12,1.53,,0.11,,,,,,1.64,5.90,-0.42,1.22,0.155
도태훈,20, 3B,0.115,7,3,30.0,7,1,6,0,100.0,2.10,1.62,,0.02,-0.33,,,,,1.31,17.09,0.00,1.31,0.115
천재환,22, LF,0.114,5,1,17.1,6,6,0,0,100.0,3.12,0.80,0.43,0.03,,,,,,1.25,6.21,-0.08,1.17,0.122
이우성,19, LF,0.114,16,12,112.2,28,27,1,0,100.0,2.24,1.95,-0.39,0.11,,,,,,1.67,4.00,-0.50,1.17,0.163
김수윤,22, 3B,0.106,4,2,18.0,7,2,5,0,100.0,3.50,1.07,,0.02,,,,,,1.08,15.57,0.00,1.08,0.106
권희동,19, CF,0.104,3,2,11.0,3,3,0,0,100.0,2.45,0.92,0.13,0.01,,,,,,1.07,1.32,0.00,1.07,0.104
노진혁,20, 3B,0.104,17,4,46.1,18,5,12,1,94.4,3.30,0.75,,0.03,0.40,,,,,1.18,1.28,0.00,1.18,0.104
이재율,21, LF,0.098,7,2,26.0,5,5,0,0,100.0,1.73,0.77,0.34,0.02,,,,,,1.13,7.09,-0.11,1.02,0.108
도태훈,22, 2B,0.091,18,9,88.0,51,19,32,0,100.0,5.22,1.17,,0.10,-0.71,,,,,0.57,0.90,0.37,0.94,0.055
김준완,20, CF,0.089,15,5,53.0,20,19,1,0,100.0,3.40,0.79,0.16,0.06,,,,,,1.01,3.23,0.00,1.01,0.089
박영빈,23, LF,0.088,6,0,9.0,4,4,0,0,100.0,4.00,0.90,,0.02,,,,,,0.92,3.23,-0.01,0.91,0.089
윤형준,23, 1B,0.085,74,57,476.0,470,431,35,4,99.1,8.81,6.30,,-0.90,,-0.20,,,,5.20,9.13,-4.32,0.88,0.503
김휘집,24, 3B,0.080,6,4,39.0,18,5,12,1,94.4,3.92,0.81,,-0.35,0.38,,,,,0.84,2.01,0.00,0.84,0.080
권희동,20, LF,0.078,69,31,321.2,76,73,2,1,98.7,2.10,2.67,-0.13,-0.10,,,,,,2.44,2.86,-1.56,0.88,0.215
