이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
페디,23, P,7.95,30,30,0,0,0,0,20,6,0,0,180.1,40,46,44.95,708,137,16,0,9,35,4,0,209,13,0,5,2.00,2.30,2.24,2.25,2.22,0.95
루친스키,20, P,6.87,30,30,0,0,0,0,19,5,0,0,183.0,62,67,63.20,770,173,12,3,14,57,11,0,167,11,0,11,3.05,3.30,3.11,3.03,3.78,1.26
루친스키,21, P,5.79,30,30,0,0,0,0,15,10,0,0,178.2,63,76,73.95,754,160,24,1,12,55,10,0,177,17,2,6,3.17,3.83,3.73,3.64,3.22,1.20
루친스키,22, P,5.68,31,31,0,0,0,0,10,12,0,0,193.2,64,77,75.10,797,184,34,2,14,34,8,1,194,10,0,9,2.97,3.58,3.49,3.49,2.80,1.13
루친스키,19, P,5.55,30,30,0,2,2,0,9,9,0,0,177.1,60,68,65.25,731,164,20,1,13,45,11,0,119,9,0,7,3.05,3.45,3.31,3.23,3.98,1.18
구창모,20, P,4.89,15,14,1,0,0,0,9,0,0,1,93.1,18,20,20.00,348,58,12,0,7,18,0,0,102,6,0,2,1.74,1.93,1.93,1.85,2.75,0.81
구창모,22, P,4.85,19,19,0,0,0,0,11,5,0,0,111.2,26,32,30.10,451,92,16,0,7,29,4,0,108,5,0,7,2.10,2.58,2.43,2.43,3.03,1.08
파슨스,21, P,4.39,24,24,0,1,1,0,4,8,0,0,133.0,55,56,54.80,577,109,16,2,9,63,11,0,148,7,1,10,3.72,3.79,3.71,3.56,3.51,1.29
박진우,19, P,4.17,41,18,23,0,0,0,9,7,0,5,140.2,49,53,52.65,590,137,18,0,9,29,19,0,92,5,0,2,3.14,3.39,3.37,3.29,3.99,1.18
신민혁,21, P,3.51,30,25,5,2,0,0,9,6,0,0,145.0,71,75,72.80,625,155,28,3,17,44,5,0,107,4,2,2,4.41,4.66,4.52,4.46,4.36,1.37
라이트,20, P,3.37,29,29,0,0,0,0,11,9,0,0,157.2,82,87,82.05,696,164,27,2,12,63,10,0,125,7,2,5,4.68,4.97,4.68,4.60,4.35,1.44
구창모,19, P,3.30,23,19,4,2,0,0,10,7,0,1,107.0,38,40,38.65,449,85,15,2,10,41,6,0,114,4,0,7,3.20,3.36,3.25,3.23,3.62,1.18
프리드릭,19, P,2.75,12,12,0,2,2,1,7,4,0,0,72.0,22,22,21.30,294,63,6,0,4,22,3,1,56,1,0,2,2.75,2.75,2.66,2.64,3.56,1.18
이재학,19, P,2.75,24,23,1,0,0,0,10,4,0,0,129.2,54,62,59.95,560,133,24,2,6,43,9,0,91,7,0,6,3.75,4.30,4.16,3.97,3.85,1.36
류진욱,23, P,2.36,70,0,70,9,0,0,1,4,0,22,67.0,16,19,18.95,268,41,2,2,1,32,1,1,62,5,0,5,2.15,2.55,2.55,2.50,3.24,1.09
송명기,20, P,2.34,36,12,24,5,0,0,9,3,0,0,87.2,36,37,40.30,372,78,13,0,12,39,2,1,72,4,0,7,3.70,3.80,4.14,3.94,4.99,1.33
하트,24, P,2.34,12,12,0,0,0,0,5,2,0,0,74.1,24,28,28.00,302,63,12,1,3,20,3,0,74,5,0,1,2.91,3.39,3.39,3.51,3.12,1.12
이용찬,22, P,2.24,59,0,59,49,0,0,3,3,22,0,60.2,14,16,18.40,253,56,6,1,3,13,3,0,61,4,0,1,2.08,2.37,2.73,2.73,2.68,1.14
최성영,19, P,2.07,26,15,11,2,0,0,4,1,0,2,82.1,36,39,35.90,368,79,15,3,3,49,3,0,62,2,0,3,3.94,4.26,3.92,3.80,4.32,1.55
김시훈,22, P,1.98,59,7,52,8,0,0,4,5,0,11,83.1,30,35,33.65,365,75,10,0,7,43,4,0,79,3,1,2,3.24,3.78,3.63,3.53,4.16,1.42
태너,23, P,1.94,11,11,0,0,0,0,5,2,0,0,64.2,21,26,24.65,265,58,8,0,6,13,1,0,47,3,0,0,2.92,3.62,3.43,3.45,3.81,1.10
신민혁,23, P,1.91,29,24,5,2,0,0,5,5,0,0,122.0,54,63,63.00,519,122,27,2,14,25,6,0,97,11,0,3,3.98,4.65,4.65,4.60,4.01,1.20
신민혁,22, P,1.89,26,23,3,0,0,0,4,9,0,0,118.1,60,64,61.80,521,128,30,1,15,31,10,1,105,4,1,5,4.56,4.87,4.70,4.63,4.12,1.34
신민혁,24, P,1.74,13,13,0,0,0,0,5,4,0,0,66.0,28,32,29.75,285,81,14,1,8,5,2,0,42,3,0,1,3.82,4.36,4.06,4.12,4.35,1.30
구창모,23, P,1.70,11,9,2,0,0,0,1,3,0,0,51.2,17,19,17.80,205,38,3,0,4,16,0,0,56,5,0,0,2.96,3.31,3.10,3.06,3.02,1.05
이재학,21, P,1.65,17,17,0,2,2,1,6,6,0,0,83.0,48,50,44.85,370,74,16,1,14,52,6,0,65,2,0,3,5.20,5.42,4.86,4.69,5.84,1.52
송명기,21, P,1.48,24,24,0,0,0,0,8,9,0,0,123.1,81,83,77.65,574,147,39,2,12,58,9,1,102,3,1,2,5.91,6.06,5.67,5.61,4.52,1.66
김태경,22, P,1.45,16,7,9,3,0,0,3,2,0,1,44.1,16,16,16.00,194,36,6,0,4,21,5,0,31,2,0,2,3.25,3.25,3.25,3.11,4.93,1.29
임정호,20, P,1.40,69,0,69,1,0,0,2,2,0,22,41.0,21,23,16.75,175,32,3,0,3,20,7,0,38,0,0,0,4.61,5.05,3.68,3.61,4.59,1.27
이용찬,21, P,1.38,39,0,39,30,0,0,1,3,16,3,37.0,9,11,13.60,151,27,4,0,2,11,1,3,35,3,1,2,2.19,2.68,3.31,3.15,2.97,1.03
김시훈,24, P,1.34,12,12,0,0,0,0,2,1,0,0,58.0,27,28,27.30,253,58,11,1,4,33,1,0,44,2,0,1,4.19,4.34,4.24,4.40,4.91,1.57
송명기,22, P,1.33,25,22,3,2,0,0,5,7,0,0,107.2,54,67,62.05,496,116,21,4,14,54,15,0,106,6,0,9,4.51,5.60,5.19,5.15,4.75,1.58
김영규,22, P,1.27,72,0,72,11,0,0,2,7,1,13,66.0,25,26,29.55,269,56,8,2,5,22,7,4,46,3,0,3,3.41,3.55,4.03,3.90,4.16,1.18
홍성민,20, P,1.20,30,0,30,4,0,0,1,0,0,8,26.0,3,4,6.40,104,20,4,0,2,6,2,1,14,3,0,2,1.04,1.38,2.22,2.17,4.40,1.00
배재환,19, P,1.19,62,0,62,12,0,0,3,5,0,20,54.1,23,26,22.75,247,49,9,0,3,31,7,2,61,1,1,2,3.81,4.31,3.77,3.51,3.77,1.47
김재열,24, P,1.17,33,0,33,3,0,0,1,1,0,7,34.0,7,7,9.55,128,18,4,1,2,11,0,1,34,1,0,0,1.85,1.85,2.53,2.63,3.28,0.85
이재학,23, P,1.16,15,13,2,0,0,0,5,5,0,0,67.1,34,36,34.30,293,55,5,2,6,33,5,0,43,4,0,7,4.54,4.81,4.58,4.60,5.06,1.31
이용찬,24, P,1.14,30,0,30,22,0,0,2,4,11,1,31.0,8,9,10.75,130,31,5,1,2,11,1,1,29,1,0,4,2.32,2.61,3.12,3.13,3.80,1.35
파슨스,22, P,1.14,8,8,0,0,0,0,1,2,0,0,43.0,17,19,18.30,182,34,4,2,4,21,1,0,43,2,0,8,3.56,3.98,3.83,3.95,3.98,1.28
김진성,20, P,1.08,48,0,48,10,0,0,3,0,0,6,47.1,14,16,18.05,190,41,8,2,4,10,0,1,56,2,0,2,2.66,3.04,3.43,3.42,2.70,1.08
카스타노,24, P,1.08,12,12,0,0,0,0,4,3,0,0,71.2,31,41,40.65,304,70,13,2,7,14,7,0,58,6,0,0,3.89,5.15,5.10,5.19,4.22,1.17
홍성민,21, P,1.07,53,0,53,2,0,0,3,4,0,14,41.1,18,19,17.75,185,53,9,0,3,12,2,1,26,1,1,2,3.92,4.14,3.86,3.67,4.03,1.57
김영규,23, P,1.06,63,0,63,5,0,0,2,4,0,24,61.2,21,22,26.30,247,45,6,5,2,23,1,1,48,0,2,5,3.06,3.21,3.84,3.93,3.50,1.10
